Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Metanephric Capsule Specification -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Unknown
GO Term: Pattern Specification Involved In Metanephros Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle
GO Term: Proximal/Distal Pattern Formation Involved In Metanephric Nephron Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Unknown
GO Term: Metanephric Nephron Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Unknown, Proteostasis, Endolysosome
GO Term: Metanephric Glomerular Basement Membrane Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Unknown, Immune Response
GO Term: Metanephric Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Metanephric Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Endolysosome, Epigenetic
GO Term: Metanephric Renal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Unknown
GO Term: Metanephric S-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Unknown, Cell Cycle, Epigenetic
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephric Renal Vesicle Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Metanephric Connecting Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis
GO Term: Metanephric Distal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Metanephric Nephron Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Positive Regulation Of Metanephric Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Metanephric Glomerular Mesangial Cell Proliferation -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Glomerular Metanephric Mesangial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Unknown
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephric Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Vasculature, Unknown
GO Term: Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Clathrin Coat Disassembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Vesicle Uncoating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Volume-Sensitive Chloride Channel Activity -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Signal Transduction By P53 Class Mediator -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Udp-Galactose Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lactam Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Modified Amino Acid Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Rescue Of Stalled Ribosome -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Naadp-Sensitive Calcium-Release Channel Activity -> Biodomain: Endolysosome, Calcium Signaling, Intracellular Signaling, Ion Homeostasis, Cellular Response
GO Term: Response To Anesthetic -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Apoptosis
GO Term: Tricarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Histone H3T3 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Chromosome Passenger Complex Localization To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Ptw/Pp1 Phosphatase Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Unknown
GO Term: Circulatory System Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome
GO Term: Medium-Term Memory -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Protein Activation Cascade -> Biodomain: Proteostasis, Apoptosis, Immune Response, APP Metabolism, Synapse
GO Term: Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Blood Coagulation, Fibrin Clot Formation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Trc Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Unknown
GO Term: Plus-End-Directed Vesicle Transport Along Microtubule -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, APP Metabolism
GO Term: Organelle Transport Along Microtubule -> Biodomain: Vesicle Trafficking, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Minus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Plus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Flavin Adenine Dinucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Flavin Adenine Dinucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Microtubule Anchoring At Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Response To Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Response To G1 Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Msl Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Ammonium Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Methylammonium Transmembrane Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mesenchymal Stem Cell Differentiation -> Biodomain: Stem Cells, Developmental Biology, Cell Differentiation, Tissue Morphogenesis, Regenerative Processes
GO Term: Embryonic Skeletal Joint Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Immune Response
GO Term: Seminiferous Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Purine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Purine-Containing Compound Biosynthetic Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome, Lipid Metabolism
GO Term: Pyrimidine-Containing Compound Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pyrimidine-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism
GO Term: Pyrimidine-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Endolysosome, Autophagy
GO Term: Purine-Containing Compound Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Vasculature, Synapse
GO Term: Pyrimidine-Containing Compound Transmembrane Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic
GO Term: Perineuronal Net -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-23 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Fibroblast Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Proteostasis
GO Term: Peroxynitrite Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Phosphatase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: L-Dopa Binding -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: L-Tyrosine Binding -> Biodomain: Mitochondrial Metabolism, Synapse, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Emc Complex -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Terminal Button Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Blood Vessel Lumenization -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Ipaf Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Nlrp1 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nlrp3 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Type B Pancreatic Cell Maturation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Blood Microparticle -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Endothelial Microparticle -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Adp-D-Ribose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Mono-Adp-D-Ribose Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Poly-Adp-D-Ribose Binding -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Tolerance Induction To Lipopolysaccharide -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Hepatocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Liver Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Immune Response
GO Term: Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Neurotransmitter-Gated Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Glycine Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Vasculature
GO Term: Caveolin-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Vasculature, Structural Stabilization
GO Term: Box H/Aca Rnp Complex -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair
GO Term: Box H/Aca Scarnp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Cell Cycle
GO Term: N-Acetyl-L-Aspartate-L-Glutamate Ligase Activity -> Biodomain: Synapse, Myelination, Lipid Metabolism, Proteostasis, Unknown
GO Term: Citrate-L-Glutamate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Establishment Of Protein Localization To Organelle -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Maintenance Of Protein Localization In Organelle -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Myelination
GO Term: Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Maintenance Of Protein Location In Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Establishment Of Protein Localization To Peroxisome -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Establishment Of Protein Localization To Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Trna-Splicing Ligase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Epigenetic, Autophagy
GO Term: Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Unknown
GO Term: Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Multinuclear Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Osteoclast Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: T Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Synapse, Proteostasis
GO Term: Thymocyte Migration -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Mitotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Meiotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Cell Cortex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Cellular Response To Methyl Methanesulfonate -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Sodium Dodecyl Sulfate -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Sorbitol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cellular Response To Sorbitol -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Autophagy
GO Term: Cellular Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cellular Response To Selenite Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Response To Actinomycin D -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Actinomycin D -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Cellular Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Response To Dithiothreitol -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Dithiothreitol -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Amitrole -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Calcium Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Staurosporine -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Cellular Response To Tert-Butyl Hydroperoxide -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Diamide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Anisomycin -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Immune Response
GO Term: Cellular Response To Anisomycin -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Cellular Response To Cytochalasin B -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cellular Response To Leptomycin B -> Biodomain: Proteostasis, Epigenetic, Apoptosis, DNA Repair, Autophagy
GO Term: Cellular Response To Rapamycin -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To Glutathione -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Camptothecin -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Symbiont-Mediated Disruption Of Host Cell Pml Body -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Unknown
GO Term: Entry Of Viral Genome Into Host Nucleus Through Nuclear Pore Complex Via Importin -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Endocytosis Involved In Viral Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Unknown
GO Term: Clathrin-Dependent Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Microtubule-Dependent Intracellular Transport Of Viral Material Towards Nucleus -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Ires-Dependent Viral Translational Initiation -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Endolysosome
