Running with TEMP=0.9, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Signal Transduction, Receptors, Neuronal Signaling, Cellular Processes, Hormonal Signaling
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Vasculature
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: Calcitonin Receptor Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Signaling, Neuronal Signaling, GPCR Signaling, Neurotransmission
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Signal Transduction, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Apoptosis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Synapse, Oxidative Stress
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Signaling Receptor Activity, Immune Response, Apoptosis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis, Endolysosome
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Endolysosome, Apoptosis
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Immune Response
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Apoptosis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Ion Homeostasis, Receptor Signaling, Transporter Activity, Neuronal Signaling
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Melanocortin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Epigenetic, Proteostasis
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Immune Response, Apoptosis
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, GPCR Signaling, Inflammation, Cell Migration
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Signaling, Immune Response, Synapse, Vasculature, Proteostasis
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Signal Transduction, Neurotransmitter Receptors, Neurodegeneration, Neurogenesis
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Cell Cycle, Proteostasis, Vasculature, Immune Response
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Lipid Metabolism, Myelination
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Apoptosis
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Endolysosome
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Synapse
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Signaling, Kinase Activity, Endolysosome, Proteostasis
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Receptor Tyrosine Kinase Signaling, Angiogenesis, Cellular Proliferation and Migration, Immune Response
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Structural Stabilization
GO Term: Neurotrophin Receptor Activity -> Biodomain: Signaling Receptor, Apoptosis, Growth Factor, Synapse, Proteostasis
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Autophagy
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Apoptosis
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Vasculature
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Structural Stabilization
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Signaling, Kinase Signaling, Adaptor Activity, Protein Binding, Enzyme Binding
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Lipid Metabolism, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Immune Response, Endolysosome
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Synapse, Lipid Metabolism
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Cell Cycle
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Epigenetic
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Signaling, Cell Growth, Receptor Activity, Signal Transduction, Cell Communication
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Endolysosome, Autophagy
GO Term: Frizzled Binding -> Biodomain: Signaling Receptor Binding, G-Protein Coupled Receptor Binding, Cell Adhesion Molecules, Developmental Biology, Signal Transduction
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Signaling, Developmental Biology, Receptor Signaling, Growth Factor Signaling, Cell Adhesion and Migration
GO Term: Notch Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Synapse, Proteostasis
GO Term: Patched Binding -> Biodomain: Signaling Receptor Binding, Protein Binding, Cell Cycle, Cell Growth, Lipid Metabolism
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Signaling, Kinase, Receptor Signaling, Development, Cell Migration
GO Term: Smoothened Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Epigenetic, Apoptosis
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Signaling, Vasculature
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Growth Hormone Receptor Binding -> Biodomain: Hormone Signaling, Receptor Signaling, Peptide Hormone Signaling, Cell Communication, Neuroendocrine Signaling
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Binding, Immune Signaling, Immunoregulation
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Signaling, Cell Surface Receptor, Cytokine Signaling, Inflammatory Response
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Signaling, Inflammation, Cell Growth and Differentiation, Signal Transduction
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Proteostasis
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Signal Transduction, Cell Surface Receptor
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Signaling, Oxidative Stress, Apoptosis, Autophagy
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Cytokine Signaling, Receptor Antagonist Activity, Inflammatory Response, Cell Signaling
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Endolysosome
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Synapse, Myelination
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Endolysosome, Immune Response
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Signal Transduction, Neuronal Maintenance, Neurogenesis, Cell Growth and Differentiation
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, APP Metabolism, Proteostasis, Myelination
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Growth Factor Signaling, Cell Adhesion & ECM, Immune Response, Proteostasis
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Vasculature, Proteostasis, Structural Stabilization
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Apoptosis, Signaling Receptor Binding, Protein Binding
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Signaling, Apoptosis, Cell Cycle, Cytokine Signaling
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Signaling, Cell Growth, Protein-Protein Interaction, Immune Response, Structural Stabilization
GO Term: Integrin Binding -> Biodomain: Cell Adhesion, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Hormone Activity -> Biodomain: Signaling, Receptor Binding, Protein Binding, Binding, Molecular Function Regulator
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Immune Response
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Myelination
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Endolysosome
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis  
Lipid Metabolism  
Endolysosome  
Proteostasis  
Apoptosis
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Vasculature, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
