Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Macromolecule Depalmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Protein Insertion Into Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Import Across Plasma Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Vasculature
GO Term: Cell Aggregation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Myelination
GO Term: Fast, Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Cerebellar Neuron Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cellular Response To Interleukin-8 -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Interleukin-7 -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Cellular Response To Interleukin-7 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Fbxo Family Protein Binding -> Biodomain: Proteostasis, Autophagy, Protein Binding, Structural Stabilization, Synapse
GO Term: Inorganic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Skin Epidermis Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Mechanosensitive Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis
GO Term: Biofilm Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Golgi Apparatus Subcompartment -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Presynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Global Gene Silencing By Mrna Cleavage -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Autophagy, Proteostasis
GO Term: Membrane Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Plasma Membrane Protein Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Immune Response
GO Term: Outer Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Inner Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization
GO Term: Respiratory Chain Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Non-Motile Cilium Membrane -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Mrna Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Nitrite Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Neurotransmitter Reuptake -> Biodomain: Synapse, Transport, Neuronal Signaling, Neuronal Homeostasis, Vesicle Trafficking
GO Term: Nuclear Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Spontaneous Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Modulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Evoked Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Trans-Synaptic Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Bmp Receptor Activity -> Biodomain: Signal Transduction, Cell Growth, Cell Differentiation, Developmental Processes, Kinase Activity
GO Term: Endoplasmic Reticulum Tubular Network Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Subcompartment -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Structural Stabilization
GO Term: Modulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Metal Binding and Homeostasis
GO Term: Intestinal Folate Absorption -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Presynaptic Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Presynaptic Active Zone Cytoplasmic Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Postsynaptic Recycling Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Folate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Postsynaptic Density Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Transport Along Microtubule -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: Postsynaptic Early Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Postsynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, APP Metabolism
GO Term: Postsynaptic Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Podocyte Foot -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Sequence-Specific Single Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Cellular Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Extrinsic Component Of Synaptic Vesicle Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Lytic Vacuole Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Hcn Channel Complex -> Biodomain: Vasculature, Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Structural Stabilization, Autophagy
GO Term: Membrane Microdomain -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Actin-Based Cell Projection -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Cluster Of Actin-Based Cell Projections -> Biodomain: Structural Stabilization, Synapse, Immune Response, Proteostasis, Apoptosis
GO Term: Intramembranous Bone Growth -> Biodomain: Structural Stabilization, Cell Cycle, Developmental Process, Organ Growth, Skeletal System
GO Term: Bone Growth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Cellular Oxidant Detoxification -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Action Potential Propagation -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Proteostasis
GO Term: Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Epididymosome -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Vesicle-Mediated Transport To The Plasma Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Neurotransmitter Receptor Transport To Plasma Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Neurotransmitter Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Structural Constituent Of Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Maintenance Of Postsynaptic Specialization Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Synapse Pruning -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Extrinsic Component Of Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Extrinsic Component Of Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Extrinsic Component Of Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Postsynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Cardiac Muscle Cell Action Potential -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Regulation Of Membrane Depolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Membrane Repolarization During Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Myelination
GO Term: Regulation Of Av Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Purkinje Myocyte Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Regulation Of Cardiac Muscle Cell Action Potential Involved In Regulation Of Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Synapse, Oxidative Stress
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Membrane Depolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Structural Constituent Of Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Structural Constituent Of Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Retrograde Trans-Synaptic Signaling By Endocannabinoid -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Retrograde Trans-Synaptic Signaling By Nitric Oxide, Modulating Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Signaling, Neurotransmission, Retrograde Signaling
GO Term: Postsynaptic Signal Transduction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Presynaptic Signal Transduction -> Biodomain: Synapse, Proteostasis, Neurotransmission, Neuronal Function, Cellular Response to Stimulus
GO Term: Axonal Transport -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Anterograde Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis
GO Term: Retrograde Trans-Synaptic Signaling By Trans-Synaptic Protein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Neurotransmitter Receptor Transport, Postsynaptic Endosome To Lysosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Postsynaptic Recycling Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Presynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retrograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, RNA Spliceosome, Tau Homeostasis, Proteostasis, Structural Stabilization
GO Term: Anterograde Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Extracellular Matrix Of Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Perisynaptic Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Neurotransmitter Receptor Transport Postsynaptic Membrane To Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Neurotransmitter Receptor Transport To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Cell Cycle
GO Term: Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Anterograde Dendritic Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy
GO Term: Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Excitatory Chemical Synaptic Transmission -> Biodomain: Synapse, Neuronal Signaling, Cell Communication, Synaptic Signaling, Regulation of Biological Process
GO Term: Inhibitory Chemical Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Glutamatergic Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Cholinergic Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Gaba-Ergic Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Symmetric, Gaba-Ergic, Inhibitory Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Neuron To Neuron Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Asymmetric, Glutamatergic, Excitatory Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Modification Of Synapse Structure, Modulating Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Nmda Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Ampa Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Neuronal Dense Core Vesicle -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Extrinsic Component Of Postsynaptic Early Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Vesicle-Mediated Transport In Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Modification Of Postsynaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Neuronal Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Neuronal Dense Core Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Neuronal Dense Core Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Maintenance Of Protein Localization At Cell Tip -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Perinuclear Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Vesicle Tethering -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Vesicle Tethering Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Ceramide Floppase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Sphingolipid Translocation -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Ceramide Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Vesicle Tethering To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Vesicle Tethering To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Clathrin Coat Assembly Involved In Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Vesicle Scission -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Postsynaptic Membrane Neurotransmitter Receptor Levels -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Endolysosome
GO Term: Mitochondrion-Derived Vesicle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Mitochondrion To Lysosome Vesicle-Mediated Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Histone-Dependent Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Borc Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Supramolecular Complex -> Biodomain: Structural Stabilization, RNA Spliceosome, DNA Repair, Epigenetic, Proteostasis
GO Term: Postsynaptic Specialization Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Axonal Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Endolysosome
GO Term: Postsynaptic Specialization, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Density, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ligand-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Ligand-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Immune Response, Endolysosome, Oxidative Stress, Autophagy
GO Term: Channel Activator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Potassium Channel Activator Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Ion Channel Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Microtubule-Based Transport -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Autophagy, Cell Cycle
