Running with TEMP=0.9, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Golgi Trans Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Exocyst -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Microfilament Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Snare Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Rrna Modification -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome
GO Term: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Mapk Cascade -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Oxidative Stress, Synapse
GO Term: Nucleotide Binding -> Biodomain: Metal Binding and Homeostasis, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Ribonuclease Mrp Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, DNA Repair
GO Term: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome, Cell Cycle
GO Term: Rdna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Protein Polyubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Endolysosome
GO Term: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Nuclear Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Pericentriolar Material -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: C-4 Methylsterol Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Allantoin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Allantoin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Apoptosis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Peroxisome Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Polysaccharide Biosynthetic Process -> Biodomain: Glycosylation, Carbohydrate Metabolism, Structural Stabilization, Extracellular Matrix Organization, Lipid Metabolism
GO Term: Polysaccharide Catabolic Process -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Immune Response
GO Term: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Spermine Transport -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Endopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Immune Response
GO Term: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Autophagy
GO Term: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Storage Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: Telomere Maintenance, DNA Replication, Chromatin Organization, Cell Cycle, DNA Repair
GO Term: Telomerase Catalytic Core Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Protein Deneddylation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Immune Response
GO Term: Rna Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Transcription Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Tho Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, Epigenetic
GO Term: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, APP Metabolism, DNA Repair
GO Term: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Four-Way Junction Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Y-Form Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Heteroduplex Dna Loop Binding -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Bubble Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Phagophore Assembly Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ekc/Keops Complex -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Hir Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Autophagosome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Pexophagy -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Dna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Transcription Factor Tfiih Core Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Mis12/Mind Type Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Rrna 2'-O-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Cell Cycle
GO Term: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: Ribosome Biogenesis, RNA Processing, Nucleic Acid Processing, Translation Machinery, RNA Metabolism
