Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Protein Localization To Pericentriolar Material -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Puromycin -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Intraciliary Retrograde Transport -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Excitatory Synapse Pruning -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Synapse Pruning -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Excitatory Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Regulation Of Prostaglandin Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Cellular Response To Pyrimidine Ribonucleotide -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Autophagy, Immune Response
GO Term: Negative Regulation Of Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Cell Cycle, Mitochondrial Metabolism
GO Term: Epididymis Development -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Immune Response
GO Term: Positive Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Cell Migration, Cell Motility, Cellular Dynamics, Cellular Organization, Signal Transduction
GO Term: Negative Regulation Of Postsynaptic Density Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Negative Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Cellular Response To Very-Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Smooth Muscle Tissue Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Mesoderm Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Immune Response
GO Term: Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Amyloid Fibril Formation -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Negative Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Synapse, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Cell Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Immune Response, Autophagy
GO Term: Regulation Of Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Response To Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Synapse, Immune Response, Vasculature
GO Term: Negative Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Apoptosis
GO Term: Positive Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Amyloid Fibril Formation -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Synapse, Autophagy
GO Term: Methylglyoxal Reductase (Nadph) (Acetol Producing) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: Idp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Unknown
GO Term: Granular Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Neurosecretory Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Retinal Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Mitotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Hippocampal Mossy Fiber Expansion -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Vasomotion -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Pericellular Basket -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Unknown, Autophagy
GO Term: Pinceau Fiber -> Biodomain: Synapse, Structural Stabilization, Unknown, Myelination, Tau Homeostasis
GO Term: Parallel Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Unknown
GO Term: Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Lewy Body Core -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Endolysosome, Synapse
GO Term: Lewy Body Corona -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Localization To Lipid Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Stress-Induced Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle Matrix -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Anterograde Neuronal Dense Core Vesicle Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Retrograde Neuronal Dense Core Vesicle Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Phosphatidic Acid Transfer Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Activation Of Protein Kinase C Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Cell Cycle
GO Term: Rpap3/R2Tp/Prefoldin-Like Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Trappi Protein Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Trappii Protein Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Unknown
GO Term: Trappiii Protein Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Polyuridylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Periciliary Membrane Compartment -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Cartilage Homeostasis -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Trimethylamine Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Lens Fiber Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To Nerve Growth Factor -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Cellular Response To Nerve Growth Factor Stimulus -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Calcium-Dependent Self Proteolysis -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Linear Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair
GO Term: Spermatoproteasome Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Endolysosome
GO Term: Rqc Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Rna Polymerase I Assembly -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome, Unknown
GO Term: Rna Polymerase Ii Core Complex Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Rna Polymerase Iii Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Ribosome-Associated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: B Cell Receptor Apoptotic Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Gator1 Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Gtr1-Gtr2 Gtpase Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Epithelial Cell Apoptotic Process Involved In Palatal Shelf Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Linoleate 9S-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Neuron Projection Extension -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Molybdopterin Synthase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Oxidative Stress, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Maintenance Of Translational Fidelity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Talin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Vasculature
GO Term: Vegf-A Complex -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Single-Strand Break-Containing Dna Binding -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Protein Localization To Site Of Double-Strand Break -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Protein K27-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Protein K33-Linked Deubiquitination -> Biodomain: Proteostasis, Immune Response, Apoptosis, Oxidative Stress, Epigenetic
GO Term: G Protein-Coupled Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Protein Localization To Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Phosphodiesterase Decapping Endonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Eh Domain Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Epigenetic, APP Metabolism
GO Term: Mitochondrial Trna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Amino Acid Transport Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Euchromatin Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Protein N-Terminal-Serine Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, APP Metabolism
GO Term: Protein-N-Terminal-Glutamate Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Oxidoreductase Complex -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Cysteine Desulfurase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Histone Methyltransferase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Immune Response
GO Term: Paranodal Junction Maintenance -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Iron-Sulfur Cluster Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Unknown
GO Term: Sting Complex -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Transferase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Double-Stranded Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Endolysosome
GO Term: Steroid Hormone Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Epigenetic, Proteostasis
GO Term: Histone H2At120 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Uniplex Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: N6-Methyladenosine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Leucine Starvation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Keratin Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Signal Clustering -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Histone H2Aq104 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Pre-Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Anti-Mullerian Hormone Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Peptidyl-Tyrosine Dephosphorylation Involved In Inactivation Of Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Complex -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Unknown
