Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Regulation Of Production Of Molecular Mediator Of Immune Response -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Synapse, Apoptosis, Autophagy
GO Term: Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cytokine Production Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of B Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of T Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Cytokine Production -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Myeloid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Plasmacytoid Dendritic Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Antigen Processing And Presentation Following Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Surface Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammation, Proteostasis, Autophagy, Apoptosis
GO Term: Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Innate Immune Response-Activating Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Antimicrobial Humoral Response -> Biodomain: Immune Response, Antimicrobial, Immune Regulation, Adaptive Immunity, Defense Response
GO Term: Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Immune Response-Regulating Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Immune Response-Inhibiting Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Immune Response-Regulating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Natural Killer Cell Inhibitory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Fc Receptor Mediated Inhibitory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Antibacterial Peptide Secretion -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Antibacterial Peptide Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Peptide Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Negative Regulation Of Peptide Secretion -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Peptide Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Antibacterial Peptide Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Biosynthetic Process Of Antibacterial Peptides Active Against Gram-Negative Bacteria -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Type 2 Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Proteostasis, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of T Cell Tolerance Induction To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Synapse, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammation, Signal Transduction, Cell Activation, Immune Signaling
GO Term: T Cell Anergy -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Positive Regulation Of Acute Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Chronic Inflammatory Response To Non-Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Hypersensitivity -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Central B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Mature B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of B Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Mature B Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Humoral Immune Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Endolysosome, Vasculature, Cell Cycle, Epigenetic
GO Term: Trna Wobble Base 5-Methoxycarbonylmethyl-2-Thiouridinylation -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trabecular Meshwork Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Response To Ischemia -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Lipid Hydroxylation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Desmosome Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle, Apoptosis
GO Term: Bradykinin Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Trna N1-Guanine Methylation -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Trna N2-Guanine Methylation -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna Dihydrouridine Synthesis -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cyclin K-Cdk12 Complex -> Biodomain: Cell Cycle, RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair
GO Term: Cyclin K-Cdk13 Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Trna C5-Cytosine Methylation -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Tumor Necrosis Factor Receptor Superfamily Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Trna Threonylcarbamoyladenosine Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ceramide Phosphoethanolamine Synthase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Leukotriene-C(4) Hydrolase -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Vasculature, Oxidative Stress
GO Term: 5'-Deoxynucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Regionalization -> Biodomain: Epigenetic, Vasculature, Cell Cycle, Structural Stabilization, Synapse
GO Term: Developmental Process Involved In Reproduction -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Apoptosis, Immune Response
GO Term: Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: System Process -> Biodomain: Immune Response, Vasculature, Myelination, Lipid Metabolism, Structural Stabilization
GO Term: Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Involuntary Skeletal Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Synapse, Lipid Metabolism
GO Term: Muscle System Process -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Circulatory System Process -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Renal System Process -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Heart Process -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Respiratory System Process -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Lymph Circulation -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Vascular Process In Circulatory System -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Systemic Arterial Blood Pressure By Baroreceptor Feedback -> Biodomain: Vasculature, Synapse, Oxidative Stress, Structural Stabilization, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure By Aortic Arch Baroreceptor Feedback -> Biodomain: Vasculature, Synapse, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Detection Of Hypoxic Conditions In Blood By Carotid Body Chemoreceptor Signaling -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Detection Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Systemic Arterial Blood Pressure Mediated By A Chemical Signal -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Systemic Arterial Blood Pressure By Atrial Natriuretic Peptide -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Angiotensin-Mediated Drinking Behavior -> Biodomain: Vasculature, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Hormonal Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Heart Rate By Chemical Signal -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic
GO Term: Regulation Of Heart Rate By Hormone -> Biodomain: Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Heart Rate By Epinephrine -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Acetylcholine-Mediated Vasodilation Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Renal System Process Involved In Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Epigenetic
GO Term: Negative Regulation Of Systemic Arterial Blood Pressure -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Epigenetic, Myelination
GO Term: Renal Water Homeostasis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Renal Water Retention -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Pressure Natriuresis -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Renal Sodium Ion Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Renal Water Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Epigenetic
GO Term: Regulation Of Systemic Arterial Blood Pressure By Endothelin -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Glomerular Filtration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Glomerular Filtration By Angiotensin -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Autophagy, Apoptosis
GO Term: Negative Regulation Of The Force Of Heart Contraction By Chemical Signal -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Detection Of Nodal Flow -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Heart Field Specification -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair
GO Term: Heart Induction -> Biodomain: Developmental Biology, Cardiovascular, Cell Differentiation, Signaling Pathways, Morphogenesis
GO Term: Mesodermal-Endodermal Cell Signaling -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Endodermal-Mesodermal Cell Signaling -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Primary Heart Field Specification -> Biodomain: Vasculature, Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Secondary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Determination Of Left/Right Asymmetry In Lateral Mesoderm -> Biodomain: Epigenetic, Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Cardiogenic Plate Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Embryonic Heart Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
