Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Generation Of Neurons -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Embryonic Cranial Skeleton Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Embryonic Neurocranium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Embryonic Viscerocranium Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Vasculature
GO Term: Embryonic Skeletal System Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Skeletal System Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Endolysosome
GO Term: Embryonic Skeletal System Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Endolysosome
GO Term: Astrocyte Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Oligodendrocyte Differentiation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Synapse
GO Term: Regulation Of Astrocyte Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Positive Regulation Of Astrocyte Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Negative Regulation Of Astrocyte Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Positive Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Oligodendrocyte Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Epidermis Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: System Development -> Biodomain: Synapse, Myelination, Vasculature, Immune Response, Structural Stabilization
GO Term: Gland Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Sebaceous Gland Development -> Biodomain: Lipid Metabolism, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Cardiac Muscle Tissue Development -> Biodomain: Muscle System, Developmental Biology, Cardiovascular, Cell Growth And Division, Epigenetic
GO Term: Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Skeletal Muscle Fiber Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Epigenetic, Vasculature
GO Term: Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Semicircular Canal Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Pigment Granule Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Branching Morphogenesis Of An Epithelial Tube -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Branching Morphogenesis Of A Nerve -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, Autophagy
GO Term: Pigment Granule Maturation -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Mesenchymal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Calcium-Induced Calcium Release Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Sarcomerogenesis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tissue Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Autophagy
GO Term: Erythrophore Differentiation -> Biodomain: Lipid Metabolism, Endolysosome, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Presynaptic Active Zone -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Presynaptic Active Zone Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cytoskeleton Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cytoskeletal Matrix Organization At Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Maintenance Of Presynaptic Active Zone Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium Ion-Regulated Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Spontaneous Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Pronephros Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Genitalia Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Female Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Male Genitalia Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Neuron Projection Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Hair Follicle Maturation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Erythrocyte Development -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Enucleate Erythrocyte Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Inner Ear Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Otolith Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Synapse, Cell Cycle, Epigenetic
GO Term: Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Venous Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Hypophysis Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Epigenetic, Mitochondrial Metabolism
GO Term: Diencephalon Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Epigenetic
GO Term: Forebrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Brain Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Vasculature, Synapse, Mitochondrial Metabolism
GO Term: Neural Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cell Projection Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Formation Of Anatomical Boundary -> Biodomain: Structural Stabilization, Developmental Processes, Extracellular Matrix Organization, Morphogenesis, Cell Adhesion
GO Term: Leukemia Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Stem Cell Development -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Stem Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Cellular Developmental Process -> Biodomain: Cell Cycle, Epigenetic, Myelination, Immune Response, Apoptosis
GO Term: Cell Motility -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Multicellular Organismal-Level Homeostasis -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Homeostasis Of Number Of Cells -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Homeostasis Of Number Of Cells Within A Tissue -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Host-Mediated Regulation Of Intestinal Microbiota Composition -> Biodomain: Immune Response, Microbiome, Innate Immunity, Adaptive Immunity, Inflammation
GO Term: Homeostasis Of Number Of Retina Cells -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Endolysosome, Proteostasis
GO Term: Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Efferent Axon Development In A Lateral Line Nerve -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Peripheral Nervous System Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Peripheral Nervous System Neuron Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Peripheral Nervous System Neuron Axonogenesis -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Lipid Metabolism
GO Term: Itaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: L-Fuconate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Pipecolate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: L-Xylulose Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Delta7-Sterol 5(6)-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Leukotriene-B4 20-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Long-Chain Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Methionine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: L-Gulonate 3-Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Inositol Oxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Myosin-Light-Chain-Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Cell Cycle, Apoptosis
GO Term: N-Acetylglucosamine Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Vasculature, Synapse
GO Term: N-Acylglucosamine 2-Epimerase Activity -> Biodomain: Lipid Metabolism, Myelination, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: N-Acylneuraminate-9-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Proteostasis, Autophagy
GO Term: N-Formylglutamate Deformylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Nadp+ Nucleosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nadh Dehydrogenase (Quinone) (Non-Electrogenic) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Nadph Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy, Lipid Metabolism
GO Term: Nucleoside Monophosphate Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome
GO Term: Nucleoside Phosphotransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Omega-Amidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Omega-Hydroxydecanoate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oxaloacetate Tautomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phenylpyruvate Tautomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol Deacylase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Phosphoamidase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: [Phosphorylase] Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Phytanate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Fucokinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Plasmanylethanolamine Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Procollagen Galactosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Propionate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Prostaglandin-E Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Prostaglandin E2 9-Reductase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Putrescine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Retinol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Retinol O-Fatty-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Retinyl-Palmitate Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Rhodopsin Kinase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Ribitol 2-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Ribosylnicotinamide Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Rna Uridylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sedoheptulokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Sphingomyelin Phosphodiesterase D Activity -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Sphingosine N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Steroid Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Steryl-Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Sulfur Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Tau-Protein Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, APP Metabolism, Oxidative Stress, Apoptosis
GO Term: Thiamine Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Thiosulfate-Thiol Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Trans-L-3-Hydroxyproline Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Trimethyllysine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Triokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Inorganic Triphosphate Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Nitrite Reductase (No-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Myelination, Vasculature
GO Term: Calcium-Dependent Phospholipase C Activity -> Biodomain: Lipid Metabolism, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Transforming Growth Factor Beta Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Catecholamine Secretion -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Amyloid-Beta Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Microfibril Binding -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, APP Metabolism
GO Term: Ethanolamine-Phosphate Phospho-Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: N-Acetylneuraminate Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Synapse, Cell Cycle
GO Term: Arachidonate 15-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Vasculature
GO Term: Glyceryl-Ether Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
