Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Proteostasis
GO Term: Kynurenine-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response, Lipid Metabolism
GO Term: Acyl-Coa 6-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Acyl-Coa Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Procollagen-Proline 4-Dioxygenase Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Beta-Alanine:Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Steroid Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Sphingomyelin Phosphodiesterase Activator Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Beta-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Hnk-1 Sulfotransferase Activity -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Telomere Capping -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Inclusion Body -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Aggresome -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Microautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Macroautophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Autophagosome Membrane Docking -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Autophagosome Size -> Biodomain: Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Oxidative Stress
GO Term: Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Vasculature
GO Term: N-Sulfoglucosamine Sulfohydrolase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Attachment Of Gpi Anchor To Protein -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: N-Glycan Processing To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Selenocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Selenocysteine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Selenocysteine Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Protein N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Glycoprotein-N-Acetylgalactosamine 3-Beta-Galactosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome
GO Term: Gap Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Core O-Glycan Biosynthetic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, Autophagy
GO Term: Core 2 O-Glycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Core 3 O-Glycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Autophagy, Epigenetic
GO Term: Prefoldin Complex -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, RNA Spliceosome
GO Term: Protein-Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Metal Binding and Homeostasis
GO Term: Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, APP Metabolism, Cell Cycle
GO Term: Protein-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Eukaryotic Translation Initiation Factor 4F Complex -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Eukaryotic 43S Preinitiation Complex -> Biodomain: Translation, Protein Synthesis Regulation, Ribosome Biogenesis, Translational Control, RNA Binding
GO Term: Alanyl Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Small Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Glycerone-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fatty Acyl-[Acp] Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Trna (Uridine) Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, RNA Spliceosome
GO Term: Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: 1-Phosphatidylinositol-3-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Cell Cycle, Apoptosis
GO Term: 1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: 1-Phosphatidylinositol-5-Phosphate 4-Kinase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Cellular Processes, Post-Translational Modifications, Lipid Binding
GO Term: Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair
GO Term: Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Inositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Cell Cycle, Autophagy, Apoptosis
GO Term: Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Endoplasmic Reticulum Membrane Fusion -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Female Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Neuron Remodeling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Apical Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Apicolateral Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Lateral Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Morphogenesis Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Establishment Or Maintenance Of Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Calcium-Dependent Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Apoptosis
GO Term: Catenin Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Epigenetic
GO Term: Meiotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, DNA Repair
GO Term: Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Activin Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Activin Receptor Activity, Type Ii -> Biodomain: Signal Transduction, Cell Growth and Differentiation, Apoptosis, Receptor Signaling, Developmental Pathways
GO Term: Nuclear Matrix -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Palmitoyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pristanoyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dimethylargininase Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 15-Hydroxyprostaglandin Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature
GO Term: Coa-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Acetyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy
GO Term: N-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Serine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: O-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Mrna (2'-O-Methyladenosine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Trna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism, DNA Repair
GO Term: Trna (Adenine) Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Trna (Cytidine) Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trna-Uridine Aminocarboxypropyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rrna (Adenine) Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Rrna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Trna-Queuosine(34) Beta-Mannosyltransferase Activity -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Proteostasis, Autophagy
GO Term: Risc Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Somatic Cell Dna Recombination -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Apoptosis, Epigenetic
GO Term: Somatic Diversification Of Immunoglobulins -> Biodomain: Immune Response, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Somatic Hypermutation Of Immunoglobulin Genes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Somatic Recombination Of Immunoglobulin Gene Segments -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Myosin Ii Complex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Immune Response
GO Term: Unconventional Myosin Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Proton-Transporting Two-Sector Atpase Complex -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Embryonic Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Synapse, Myelination
GO Term: Negative Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Cytosolic Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Peptide Hormone Processing -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Farnesol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Neurotensin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: C-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: C-X-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: C-X3-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Apoptosis
GO Term: Substance P Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Substance K Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Orexin Receptor Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Protein-Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Prostacyclin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Pheromone Receptor Activity -> Biodomain: Signal Transduction, Cell Adhesion and Communication, Neuronal Signaling, Behavioral and Cognitive, Receptor Activity
GO Term: Peptidase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Peptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mitochondrial Fatty Acid Beta-Oxidation Multienzyme Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Core-Binding Factor Complex -> Biodomain: Epigenetic, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Swi/Snf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-13 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Interleukin-12 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Gastric Inhibitory Peptide Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Growth Hormone-Releasing Hormone Receptor Activity -> Biodomain: Receptor Signaling, Peptide Hormone Signaling, GPCR Pathways, Hormonal Regulation, Cell Communication
GO Term: Pituitary Adenylate Cyclase Activating Polypeptide Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Mitochondrial Metabolism
GO Term: Latrotoxin Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Sarcoplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Metallochaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Copper Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Superoxide Dismutase Copper Chaperone Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein Kinase 5 Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Structural Stabilization
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Intein-Mediated Protein Splicing -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Protein Autoprocessing -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Apoptosis, Structural Stabilization
GO Term: Base Conversion Or Substitution Editing -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Immune Response
GO Term: Cytidine To Uridine Editing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis, Immune Response
GO Term: Mrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, APP Metabolism
GO Term: Peroxisome Membrane Biogenesis -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Protein Import Into Peroxisome Matrix -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Peroxisome Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein Import Into Peroxisome Matrix, Docking -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Import Into Peroxisome Matrix, Translocation -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Protein Import Into Peroxisome Matrix, Receptor Recycling -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Nurd Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Rsc-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Nurf Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Acf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Rna Polymerase Ii, Holoenzyme -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Mediator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Cdc73/Paf1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Glycine Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Glutamate Binding -> Biodomain: Synapse, Neurotransmission Processes, Signaling Pathways, Neuronal Communication, Cellular Metabolism
GO Term: Amino Acid Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Protein Arginylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Flotillin Complex -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Vasculature, Synapse
GO Term: Ccaat-Binding Factor Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism
