Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Immune Response
GO Term: Positive Regulation Of Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Endodeoxyribonuclease Activity -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Endodeoxyribonuclease Activity -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Nf-Kappab Transcription Factor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Nacht Domain Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Pyrin Domain Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Protein Binding -> Biodomain: Proteostasis, Apoptosis, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Structural Stabilization
GO Term: Sam Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Epigenetic
GO Term: Response To Food -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Response To Food -> Biodomain: Lipid Metabolism, Autophagy, Immune Response, Epigenetic, Endolysosome
GO Term: Positive Regulation Of Response To Food -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Appetite -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Appetite -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Positive Regulation Of Appetite -> Biodomain: Lipid Metabolism, Epigenetic, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Smc Loading Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Dense Core Granule Membrane -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Histone H3K9 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Chromosome Passenger Complex -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Guanine/Thymine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Single Base Insertion Or Deletion Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Unknown
GO Term: Dinucleotide Insertion Or Deletion Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Single Guanine Insertion Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Single Thymine Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: 4-Aminobutyrate Transaminase Complex -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Succinate-Semialdehyde Dehydrogenase Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Activation Of Protein Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Synapse, Autophagy
GO Term: Activation Of Protein Kinase B Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Cell Division Site -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Cleavage Furrow -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Septin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Septin Collar -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Unknown
GO Term: Dinucleotide Repeat Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Ubiquitin-Like Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Sumo Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Sumo Polymer Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Septin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Endolysosome
GO Term: Acrosin Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Transposition -> Biodomain: DNA Repair, Epigenetic, Immune Response, Cell Cycle, Unknown
GO Term: Retrotransposition -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Immune Response
GO Term: Telomere Organization -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Telomere Assembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Telomere Formation Via Telomerase -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Positive Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Negative Regulation Of Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Glucosaminyl-Phosphatidylinositol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Unknown
GO Term: Riboflavin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Riboflavin Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Activation Of Store-Operated Calcium Channel Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Adenosine Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Nucleoside Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Secretory Granule Localization -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Vasculature
GO Term: Methylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Purine Nucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Gmp Salvage -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Imp Salvage -> Biodomain: Cell Cycle, Autophagy, Mitochondrial Metabolism, Unknown, Proteostasis
GO Term: Phosphatidylinositol-3-Phosphate Binding -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Positive Regulation Of Protein Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Gonadotropin Secretion -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Luteinizing Hormone Secretion -> Biodomain: Unknown, Immune Response, Endolysosome, Vasculature, Proteostasis
GO Term: Negative Regulation Of Gonadotropin Secretion -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Asymmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Ampa Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Central Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Peripheral Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Myelin Assembly -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Central Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Unknown
GO Term: Peripheral Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Cell Cycle
GO Term: Positive Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Ribonuclease H2 Complex -> Biodomain: DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Mismatch Repair Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Mutsalpha Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Mutsbeta Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Icosanoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Icosanoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Endolysosome
GO Term: Negative Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Positive Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Prostaglandin Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Angiogenin-Pri Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Molybdopterin Cofactor Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Unknown
GO Term: Alanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Serine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Negative Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Aldosterone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Negative Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Epigenetic, Endolysosome
GO Term: Response To Follicle-Stimulating Hormone -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis, Apoptosis
GO Term: Response To Estradiol -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Oxidized Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Oxidized Purine Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Oxidized Pyrimidine Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Pyridoxal Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Intracellular Oxygen Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Intracellular Sterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: Negative Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature, Endolysosome
GO Term: Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Positive Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Mutlalpha Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Photoreceptor Connecting Cilium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Dna Geometric Change -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Mhc Class I Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Endolysosome, Autophagy
GO Term: Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Mhc Class Ii Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Synapse, Proteostasis
GO Term: Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Mhc Class Ib Protein Complex -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Hect Domain Binding -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Post-translational Modification, Cell Cycle Regulation
GO Term: Melanosome Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Establishment Of Melanosome Localization -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy, Unknown
GO Term: Melanosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Mutlalpha Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Mutlbeta Complex Binding -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Mutsalpha Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Mutsbeta Complex Binding -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Negative Regulation Of Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Regulation Of Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Sodium:Proton Antiporter Activity -> Biodomain: Vasculature, Endolysosome, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Lysosome Localization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Stereocilium -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Unknown
GO Term: Stereocilium Bundle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Purine-Rich Negative Regulatory Element Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Unknown
GO Term: Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Stereocilium Tip -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Gbd Domain Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Unknown
GO Term: Beta-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Actin Filament Bundle -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Vasculature
GO Term: Filopodium Tip -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Cuticular Plate -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Melanosome Organization -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: 2-Alkenal Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Activin Responsive Factor Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Protein Modification By Small Protein Conjugation -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Protein Urmylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Unknown, Apoptosis
GO Term: Dna Hairpin Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Cbm Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Histone Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Unknown
GO Term: Histone H3K4 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Proteostasis, Cell Cycle
GO Term: Histone H3K9 Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Cell Cycle
GO Term: Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Slow Endocytic Recycling -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Synapse
