Running with TEMP=0.5, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor Signaling, Cellular Response, Cell Surface
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor, Inflammation, Cytokine
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Signaling, Ion Transport, Purinergic Signaling, Receptor Activity, Membrane Transport
GO Term: Adrenergic Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Autophagy
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Signal Transduction, GPCR Signaling, Neurotransmission, Cardiac Function, Vasculature
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Signaling, Receptor Activity, GPCR Signaling, Vasculature, Immune Response
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Synapse
GO Term: Calcitonin Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Vasculature, Autophagy
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Proteostasis, Autophagy
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Neurotransmitter Signaling, GPCR Signaling, Neuronal Function, Cellular Signaling
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Signaling, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Synapse
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, GPCR Signaling, Neuroendocrine, Neuropeptide, Receptor Activity
GO Term: Glucagon Receptor Activity -> Biodomain: Signaling, Metabolism, GPCR Signaling, Endocrine Signaling, Cell Communication
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Autophagy
GO Term: Melanocortin Receptor Activity -> Biodomain: Signaling, GPCR Signaling, Receptor, Metabolism, Neuropeptide
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: Olfactory Receptor Activity -> Biodomain: Signaling, Neurotransmission, Receptor, Sensory Perception, Membrane Trafficking
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Immune Response, Endolysosome, Proteostasis, Apoptosis
GO Term: Oxytocin Receptor Activity -> Biodomain: Signaling, Neurotransmitter Receptors, Receptors, Peptide Binding, Cell Surface Receptor
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Signaling, Immune Response, Proteostasis, Vasculature
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Vasculature, Proteostasis
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Synapse
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Apoptosis, Immune Response
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Cell Cycle
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Signal Transduction, Tissue Repair and Regeneration, Receptor Activity, Kinase Activity, Growth Factor Activity
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Endolysosome
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Epigenetic
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Osmosensor Activity -> Biodomain: Signaling, Ion Homeostasis, Stress Response, Receptor Activity, Membrane
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, APP Metabolism
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Cell Cycle, Immune Response
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Signaling, Signal Transduction, Receptor Activity, Cellular Response, Cell Migration
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Vasculature
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Structural Stabilization
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Endolysosome, Structural Stabilization, Cell Cycle, Autophagy, Immune Response
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Cell Cycle
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Gtpase Inhibitor Activity -> Biodomain: Cell Cycle, Immune Response, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Autophagy
GO Term: Signaling Receptor Binding -> Biodomain: Signal Transduction, Protein Binding, Receptor Signaling, Cell Communication, Molecular Interaction
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Synapse, Myelination, Proteostasis
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Frizzled Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Immune Response
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Notch Binding -> Biodomain: Synapse, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Patched Binding -> Biodomain: Signaling Receptor Binding, Protein Binding, Receptor Activity, Cell Communication, Developmental Signaling
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Structural Stabilization, Vasculature
GO Term: Smoothened Binding -> Biodomain: Signaling, Receptor Binding, Protein Binding, GPCR Pathways, Cell Communication
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Synapse, Endolysosome
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Oxidative Stress
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Growth Hormone Receptor Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Cytokine Activity, Cell Proliferation, Cell Communication
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Growth Factor Signaling, Signal Transduction, Cell Proliferation
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Binding, Signaling Pathways, Growth Factor Activity
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Cell Surface Receptor, Signal Transduction, Protein Binding
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Interactions, Signal Transduction, Inflammatory Response
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Signaling Pathways, Protein Interaction, Cytokine Signaling, Cell Surface Receptor
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Binding, Signal Transduction, Inflammation
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cell Surface Receptor, Signal Transduction
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Inflammation, Signaling, Vasculature, Proteostasis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Vasculature
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Receptor Signaling, Growth Factor Signaling, Metabolism, Cell Growth And Proliferation, Nutrient Sensing
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Immune Response, Epigenetic, Proteostasis
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Cell Cycle
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Growth Factor Signaling, Receptor Signaling, Angiogenesis, Cell Surface Receptor
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Cd27 Receptor Binding -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Epigenetic
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Cell Adhesion, Immune Response, Vasculature, Synapse
GO Term: Hormone Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Epigenetic
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Synapse, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Hormone Activity, Receptor Signaling, Peptide Signaling, Molecular Regulation
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Tau Homeostasis
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Calcium Signaling, Ion Transport, Lipid Signaling, Cell Signaling, Intracellular Transport
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis
