Running with TEMP=0.5, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Immune Response, DNA Repair, Oxidative Stress
GO Term: Tetrahydrobiopterin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Arginine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cellular Response To Unfolded Protein -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Fatty Acid Elongation, Monounsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Fatty Acid Elongation, Polyunsaturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Retinol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Retinol Transport -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Epigenetic
GO Term: Glutathione Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glutathione Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Mitochondrion Migration Along Actin Filament -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle
GO Term: Histone H3K4Me/H3K4Me2/H3K4Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Autophagy
GO Term: Cortisol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cortisol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Retinoic Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Nucleobase-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Nucleobase-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis
GO Term: Nucleobase-Containing Small Molecule Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Autophagy
GO Term: Gid Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Endoplasmic Reticulum Chaperone Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Apoptosis
GO Term: Integrin Alpha1-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Immune Response
GO Term: Integrin Alpha2-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Integrin Alpha3-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Integrin Alpha4-Beta1 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Integrin Alpha4-Beta7 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Chemotaxis To Arachidonate -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Inhibin-Betaglycan-Actrii Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Integrin Alpha5-Beta1 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Integrin Alpha6-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Integrin Alpha6-Beta4 Complex -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Immune Response, Proteostasis
GO Term: Integrin Alpha7-Beta1 Complex -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Synapse, Immune Response
GO Term: Integrin Alpha8-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Synapse
GO Term: Integrin Alpha9-Beta1 Complex -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Integrin Alpha10-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Integrin Alpha11-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Integrin Alphav-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alphav-Beta3 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Apoptosis
GO Term: Integrin Alphav-Beta5 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alphav-Beta6 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Integrin Alphav-Beta8 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Integrin Alphal-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Integrin Alpham-Beta2 Complex -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Proteostasis
GO Term: Integrin Alphax-Beta2 Complex -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Autophagy
GO Term: U11/U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Response To Prostaglandin E -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Response To Prostaglandin F -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Autophagy
GO Term: Response To Gonadotropin -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To Luteinizing Hormone -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Monoatomic Ion Channel Complex -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Myelination
GO Term: Cation Channel Complex -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response, Endolysosome
GO Term: Calcium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Potassium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis, Immune Response
GO Term: Sodium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Chloride Channel Complex -> Biodomain: Endolysosome, Synapse, Vasculature, Immune Response, Structural Stabilization
GO Term: Methyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Methylosome -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Inhibin Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Immune Response
GO Term: Type I Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Structural Stabilization
GO Term: Type Iii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Vasculature
GO Term: Picln-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Smn-Gemin2 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Smn-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Gamma-Glutamyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Piecemeal Microautophagy Of The Nucleus -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Nucleosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Cholesterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Histone H4K16 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Scrib-Apc-Beta-Catenin Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Aryl Hydrocarbon Receptor Complex -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Cytosolic Aryl Hydrocarbon Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Nuclear Aryl Hydrocarbon Receptor Complex -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Apoptosis, Cell Cycle
GO Term: Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Transmembrane Transport -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Endolysosome, Vasculature
GO Term: Negative Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Positive Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Basement Membrane Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Vasculature
GO Term: Secretory Granule Lumen -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Vasculature
GO Term: Glutathione Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Response To Histamine -> Biodomain: Immune Response, Vasculature, Synapse, Autophagy, Oxidative Stress
GO Term: Recycling Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Caffeine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Trimethylamine Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: Endothelin Maturation -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Set3 Complex -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Proteostasis
GO Term: Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Nad-Dependent Protein Lysine Deacetylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Mitochondrial Protein Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Peptidyl-Lysine Deacetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Iron Chaperone Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Immunoglobulin Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Fc-Gamma Receptor I Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Meiotic Nuclear Membrane Microtubule Tethering Complex -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Subapical Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: 1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylinositol 3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Rac Protein Signal Transduction -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Autophagy
GO Term: Positive Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Synapse
GO Term: Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cellular Processes, Cell Cycle, Vasculature, Immune Response
GO Term: Negative Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Autophagy
GO Term: Leading Edge Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii -> Biodomain: Autophagy, Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Histone Deacetylase Regulator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone Acetyltransferase Regulator Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone Acetyltransferase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Sperm-Egg Recognition -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Cell Cycle
GO Term: Sperm Entry -> Biodomain: Endolysosome, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Female Pronucleus Assembly -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Male Pronucleus Assembly -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Autophagy
GO Term: Sperm Dna Decondensation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Embryonic Heart Tube Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Embryonic Heart Tube Anterior/Posterior Pattern Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Brahma Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Interchromatin Granule -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Nuclear Speck Organization -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Establishment Or Maintenance Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Cell Cycle
GO Term: Establishment Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle, Lipid Metabolism
GO Term: Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Sperm Dna Condensation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Behavioral Response To Nicotine -> Biodomain: Synapse, Neuroinflammation, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone Methyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Esc/E(Z) Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Fact Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Prc1 Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Operant Conditioning -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Limb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Synapse
GO Term: Post-Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Post-Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Autophagy
GO Term: Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Exon-Exon Junction Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Regulation Of Tube Size -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Embryonic Hemopoiesis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Post-Embryonic Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Metal Binding and Homeostasis, Vasculature, Epigenetic
GO Term: Histone Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3S10 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Social Behavior -> Biodomain: Synapse, Immune Response, Epigenetic, Proteostasis, Autophagy
GO Term: Rb-E2F Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulatory Ncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Immune Response, Autophagy
GO Term: Mirna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Immune Response
GO Term: Sirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Mirna Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, RNA Spliceosome
GO Term: Cell Competition In A Multicellular Organism -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Glutamate-Cysteine Ligase Catalytic Subunit Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Ectopic Germ Cell Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ionotropic Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Vitamin A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Dopamine Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Protein-Arginine Omega-N Monomethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Structural Stabilization
GO Term: Protein-Arginine Omega-N Asymmetric Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, RNA Spliceosome, Structural Stabilization
GO Term: Protein-Arginine Omega-N Symmetric Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Peptidyl-Arginine N-Methylation -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Apoptosis
GO Term: Alpha-1,4-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Epigenetic
GO Term: Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Udp-Galactosyltransferase Activity -> Biodomain: Glycosylation, Sugar Metabolism, Carbohydrate Metabolism, Lipid Metabolism, Proteostasis
GO Term: Udp-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome, Autophagy
GO Term: Udp-Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Ciliary Rootlet -> Biodomain: Structural Stabilization, Cytoskeleton, Organelle Biogenesis and Maintenance, Cell Adhesion and Motility, Cell Morphogenesis
GO Term: Glutamate Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Ionotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: G Protein-Coupled Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Nuclear Glucocorticoid Receptor Binding -> Biodomain: Epigenetic, Immune Response, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: External Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Gonad Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Multicellular Organism Growth -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Organ Growth -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
