Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress, Immune Response
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Vasculature, Endolysosome
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Immune Response, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Synapse, Immune Response, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Synapse
GO Term: Calcitonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Tau Homeostasis
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Endolysosome, Synapse, Proteostasis, Vasculature
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Vasculature
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Synapse, Vasculature
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Signaling Pathways, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Signaling, Immune Response, Lipid Metabolism, Inflammation
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Immune Response, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Endolysosome, Synapse
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, Oxidative Stress
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Apoptosis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Structural Stabilization, Tau Homeostasis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Corticotropin Receptor Activity -> Biodomain: Stress Response, Synapse, Immune Response, Proteostasis, Neurotransmission
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, APP Metabolism
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, APP Metabolism
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Somatostatin Receptor Activity -> Biodomain: APP Metabolism, Synapse, Proteostasis, Immune Response, Apoptosis
GO Term: Tachykinin Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Lipid Metabolism, Tau Homeostasis
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Immune Response, Apoptosis
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Tau Homeostasis
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, APP Metabolism
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Insulin Receptor Activity -> Biodomain: APP Metabolism, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Apoptosis
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, APP Metabolism
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Tau Homeostasis
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, APP Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Synapse, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, APP Metabolism, Apoptosis, Autophagy, Oxidative Stress
GO Term: Neurotrophin Receptor Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Immune Response
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, APP Metabolism, Proteostasis
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Scavenger Receptor Activity -> Biodomain: APP Metabolism, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Synapse
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Signal Sequence Binding -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, Oxidative Stress, RNA Spliceosome
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Laminin Receptor Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, APP Metabolism, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, APP Metabolism
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Synapse
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Synapse, Autophagy, APP Metabolism, Immune Response
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Autophagy, Endolysosome, Proteostasis, Synapse, Tau Homeostasis
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, APP Metabolism, Autophagy
GO Term: Gtpase Activator Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Autophagy
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Endolysosome
GO Term: Frizzled Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Notch Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Patched Binding -> Biodomain: Signaling Receptor Binding, Protein Binding, Synapse, Cell Cycle, Proteostasis
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, APP Metabolism, Vasculature, Tau Homeostasis
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Synapse, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Toll Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Cytokine Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Erythropoietin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Apoptosis, Neuroinflammation, Growth Factor Activity
GO Term: Growth Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Apoptosis
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Autophagy, Oxidative Stress
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Synapse
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Proteostasis, Synapse
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Oxidative Stress, Vasculature, Apoptosis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Cell Cycle
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, APP Metabolism, Apoptosis
GO Term: Insulin Receptor Binding -> Biodomain: APP Metabolism, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, APP Metabolism, Lipid Metabolism, Synapse
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Oxidative Stress
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Synapse
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Tau Homeostasis, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Integrin Binding -> Biodomain: Synapse, Immune Response, Structural Stabilization, Proteostasis, APP Metabolism
GO Term: Hormone Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Lipid Metabolism, Autophagy
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: APP Metabolism, Signaling, Neuroendocrine, Cell Surface Receptor, Proteostasis
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, APP Metabolism
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Vasculature, Endolysosome
GO Term: Structural Molecule Activity -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Synapse, Endolysosome
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Synapse, Endolysosome
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Tau Homeostasis, Proteostasis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis, Proteostasis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Tau Homeostasis
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis
