Running with TEMP=0.5, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Intracellular Transport Of Viral Protein In Host Cell -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Virion Attachment To Host Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Synapse, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Receptor-Mediated Endocytosis Of Virus By Host Cell -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Virion Assembly -> Biodomain: Immune Response, Proteostasis, Autophagy, Epigenetic, Synapse
GO Term: Viral Rna Genome Packaging -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Virus Maturation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Viral Release From Host Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Viral Genome Replication -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Epigenetic
GO Term: Viral Translation -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Viral Protein Processing -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Viral Transcription -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Early Viral Transcription -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Late Viral Transcription -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Reproductive Behavior -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Male Germ-Line Sex Determination -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Female Somatic Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Male Somatic Sex Determination -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Developmental Process, Reproductive Process
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Lipid Metabolism
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Myristoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D-Ribulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Mannokinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Myelination, Proteostasis
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: Nadp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, DNA Repair
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Apoptosis
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Nucleoside Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Kinase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Phosphatase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Autophagy, Oxidative Stress
GO Term: Intermediate Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Synapse
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Epigenetic, Oxidative Stress
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: RNA Metabolism, Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Metabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Nervous System, Cell Communication, Cellular Process, Membrane Potential
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Proprioception -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Sensory Perception, Nervous System, Proteostasis, Structural Stabilization
GO Term: Response To Pheromone -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Oxidative Stress
GO Term: Centromeric Dna Binding -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Deaminase Activity -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Citrulline Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Inositol Catabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Hexose Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Hexose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pentose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Pentose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Cysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Transsulfuration -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Arachidonate Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Synapse
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Cyclooxygenase Pathway -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature, Autophagy
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Myelination, Synapse, Proteostasis, Autophagy
GO Term: Glycolipid Catabolic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Galactose Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Galactitol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Sulfur Oxidation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: L-Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis, Structural Stabilization
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Pentitol Metabolic Process -> Biodomain: Carbohydrate Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Taurine Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Oxalate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Protein Metabolic Process -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Epigenetic
GO Term: Propionate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Propionate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Butyrate Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Urea Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Urate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse
GO Term: Organophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ammonia Assimilation Cycle -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Choline Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Structural Stabilization
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Structural Stabilization, Epigenetic
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Calcium-Mediated Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Cellular Homeostasis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Defense Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Defense Response, Response to Biotic Stimulus, Response to External Stimulus, Endolysosome
GO Term: Nitrogen Utilization -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Secondary Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Proteostasis, Autophagy
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: One-Carbon Compound Transport -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Epigenetic
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Cell Cycle, Synapse
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Synapse, Apoptosis
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Apoptosis
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Proteasome Core Complex, Synapse
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Epigenetic
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Apoptosis
