Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Telomere Assembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Telomere Formation Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Glucosaminyl-Phosphatidylinositol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Riboflavin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Proteostasis
GO Term: Riboflavin Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, APP Metabolism
GO Term: Positive Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Neurotransmission, Neuronal Signaling, Neurological Disorders, Signaling Pathways
GO Term: Positive Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Neuronal Signaling, Neurotransmission, Neurodegeneration, Cell Signaling
GO Term: Positive Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Positive Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Activation Of Store-Operated Calcium Channel Activity -> Biodomain: Immune Response, Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Adenosine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy, Proteostasis
GO Term: Negative Regulation Of Nucleoside Transport -> Biodomain: Cell Cycle, Immune Response, Synapse, Vasculature, DNA Repair
GO Term: Positive Regulation Of Nucleoside Transport -> Biodomain: Cell Cycle, Immune Response, Vasculature, Synapse, DNA Repair
GO Term: Secretory Granule Localization -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: Methylation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Purine Nucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Synapse, Endolysosome
GO Term: Gmp Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Imp Salvage -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Phosphatidylinositol-3-Phosphate Binding -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Gonadotropin Secretion -> Biodomain: Endocrine System, Hormone Secretion, Proteostasis, Autophagy, Epigenetic
GO Term: Luteinizing Hormone Secretion -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Gonadotropin Secretion -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Asymmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Ampa Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Central Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Peripheral Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse
GO Term: Myelin Assembly -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Central Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Peripheral Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Ribonuclease H2 Complex -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Mismatch Repair Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Mutsalpha Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Mutsbeta Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Icosanoid Secretion -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Icosanoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Prostaglandin Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Prostaglandin Secretion -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Autophagy
GO Term: Angiogenin-Pri Complex -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Molybdopterin Cofactor Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Alanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Serine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Chondrocyte Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Aldosterone Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Negative Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Regulation Of Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Response To Follicle-Stimulating Hormone -> Biodomain: Endocrine, Reproductive System, Cell Signaling, Cell Cycle, Developmental Processes
GO Term: Response To Estradiol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Oxidized Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Apoptosis
GO Term: Oxidized Purine Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Metal Binding and Homeostasis
GO Term: Oxidized Pyrimidine Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Pyridoxal Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Oxygen Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Sterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Cell Cycle
GO Term: Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Negative Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mutlalpha Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Photoreceptor Connecting Cilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Dna Geometric Change -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Mhc Class Ii Receptor Activity -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Mhc Class Ib Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Hect Domain Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Melanosome Localization -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Establishment Of Melanosome Localization -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Melanosome Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Mutlalpha Complex Binding -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Mutlbeta Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Mutsalpha Complex Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Mutsbeta Complex Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transporter Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Synapse, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Sodium:Proton Antiporter Activity -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Lysosome Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Stereocilium -> Biodomain: Synapse, Structural Stabilization, Cytoskeleton, Mechanosensation, Sensory Transduction
GO Term: Stereocilium Bundle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Purine-Rich Negative Regulatory Element Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Stereocilium Tip -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Gbd Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Synapse
GO Term: Beta-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Actin Filament Bundle -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Endolysosome
GO Term: Filopodium Tip -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Proteostasis
GO Term: Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Cellular Quality Control, Autophagy
GO Term: Cuticular Plate -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Melanosome Organization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: 2-Alkenal Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Activin Responsive Factor Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Protein Modification By Small Protein Conjugation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Protein Urmylation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Ubiquitin-Proteasome System
GO Term: Dna Hairpin Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Cbm Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone Demethylase Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Histone H3K4 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Histone H3K9 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Slow Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
