Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Growth Hormone Receptor Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Cytokine Receptor Activity, Transmembrane Signaling Receptor Activity, Interferon Receptor Activity
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Signaling, Membrane Trafficking, Receptor Signaling, Inflammatory Response
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Signaling, Cytokine Signaling, Receptor Activity, Innate Immunity
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Prolactin Receptor Activity -> Biodomain: Hormone Signaling, Cytokine Signaling, Cell Signaling, Receptor Signaling, Immune Response
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Signaling Receptor Activity, Molecular Transducer Activity, Transmembrane Signaling Receptor Activity, G Protein-Coupled Receptor Activity
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Signaling Receptor Activity, GPCR Signaling, Neurotransmission, Cardiovascular Function, Hormone Signaling
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse,Vasculature,Immune Response,Autophagy,Lipid Metabolism
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Autophagy
GO Term: Calcitonin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Oxidative Stress
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Glucagon Receptor Activity -> Biodomain: Signaling Receptor Activity, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Signaling, Oxidative Stress
GO Term: Melanocortin Receptor Activity -> Biodomain: Signaling, Metabolism, Immune Response, Endocrine System, Cell Signaling
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Apoptosis, Oxidative Stress
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Proteostasis
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Autophagy
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Signaling Receptor, Hormone Activity, GPCR Pathways, Calcium Regulation, Cell Signaling
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Structural Stabilization
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Signaling, Immune Response, Proteostasis, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Vasculature, Immune Response, Lipid Metabolism, Autophagy
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Insulin Receptor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Cell Cycle
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Immune Response, Autophagy
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Vasculature
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Autophagy
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Osmosensor Activity -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Apoptosis, Vasculature, Immune Response, Proteostasis
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, RNA Spliceosome, Structural Stabilization
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Cell Cycle
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Structural Stabilization
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Vasculature, Immune Response
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Cell Cycle
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Oxidative Stress, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Immune Response, Vasculature
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Frizzled Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Notch Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Patched Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Signaling, Receptor Binding, Cell Surface, Protein Binding, Kinase
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Signaling Receptor Binding, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Cell Cycle, Structural Stabilization
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Growth Hormone Receptor Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Structural Stabilization
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Signaling Receptor Binding, Cell Cycle, Autophagy, Apoptosis
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Cell Signaling, Receptor Binding, Inflammation
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Signaling Receptor Binding, Cytokine Receptor Binding, Protein Binding, Apoptosis
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Signaling, Apoptosis, Proteostasis, Autophagy
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Signaling, Inflammation, Cell Surface Interactions
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Vasculature, Proteostasis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Signaling Receptor Binding, Signal Transduction, Cell Growth and Proliferation, Metabolic Processes, Hormonal Regulation
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Signaling Receptor Binding, Cell Cycle, Vasculature, Immune Response, Structural Stabilization
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Apoptosis, Autophagy, Myelination, Cell Cycle
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Autophagy
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Vasculature
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Hormone Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Immune Response, Proteostasis
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Autophagy
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Calcium Signaling, Cell Signaling, Intracellular Transport, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Signal Transduction, Ion Homeostasis, Neurotransmission, Phototransduction, Ion Channels
