Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Cytokine Signaling, Cell Surface Receptor, Inflammatory Response
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Unknown
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Unknown
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Signaling Receptor, Oxidative Stress, Apoptosis
GO Term: Calcitonin Receptor Activity -> Biodomain: Vasculature, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Synapse
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Vasculature, Apoptosis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Neurotransmission, Signaling, Membrane Trafficking, Learning and Memory
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Hormone Signaling, Signal Transduction, Reproductive System, Cell Surface Receptor, Intracellular Signaling
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Apoptosis
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Tau Homeostasis, Vasculature
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Autophagy
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Melanocortin Receptor Activity -> Biodomain: Signaling, GPCR Signaling, Neuropeptide Signaling, Hormone Signaling, Metabolism
GO Term: Corticotropin Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Apoptosis, Epigenetic
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Autophagy
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Vasculature
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Unknown, Oxidative Stress, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Epigenetic, Proteostasis
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Apoptosis, Proteostasis
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Apoptosis, Immune Response
GO Term: Ephrin Receptor Activity -> Biodomain: Vasculature, Synapse, Cell Cycle, Immune Response, Proteostasis
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Myelination
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Autophagy, Immune Response
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Unknown
GO Term: Insulin Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Endolysosome
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Epigenetic, Structural Stabilization
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Signaling, Kinase Activity, Receptor Activity, Transmembrane Signaling, Phosphorylation
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Myelination, Immune Response, Proteostasis
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Osmosensor Activity -> Biodomain: Structural Stabilization, Autophagy, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Signaling, Neuronal Signaling, Axon Guidance, Neuronal Development
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Signaling Receptor, Vasculature, Immune Response, Proteostasis
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization, Epigenetic
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Cell Cycle, Vasculature, Immune Response, Autophagy
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Epigenetic
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Frizzled Binding -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Notch Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Synapse
GO Term: Patched Binding -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle, Apoptosis
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Unknown
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Smoothened Binding -> Biodomain: Lipid Metabolism, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Toll Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cytokine Activity -> Biodomain: Immune Response, Signaling, Receptor Binding, Cell Growth, Inflammation
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Hematopoiesis, Cell Surface Receptor, Growth Factor Signaling
GO Term: Growth Hormone Receptor Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Signaling, Protein Interaction, Receptor Binding, Cytokine Signaling
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Unknown
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Unknown, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Unknown, Proteostasis, Cell Cycle
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Unknown
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Signaling, Cytokine Signaling, Cell Surface Receptor, Protein Interaction
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Cell Cycle
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Unknown
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Signaling Receptor Binding, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Insulin Receptor Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Metal Binding and Homeostasis
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Cell Cycle, Epigenetic, Immune Response
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Cell Cycle, Immune Response
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Myelination, Apoptosis, Cell Cycle, Proteostasis
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Proteostasis
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Synapse, Cell Cycle, Myelination, Apoptosis, Unknown
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Adhesion, Synapse
GO Term: Hormone Activity -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Cell Cycle, Apoptosis
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Endocrine, Neurotransmitter, Signaling, Receptor Binding, Peptide Hormone
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Endolysosome, Immune Response
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Mitochondrial Metabolism, Endolysosome
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Immune Response
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Synapse, Immune Response
