Running with TEMP=0.9, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Convergent Extension Involved In Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Developmental Biology, Cell Adhesion, Morphogenesis
GO Term: Convergent Extension Involved In Organogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Epigenetic
GO Term: Notochord Regression -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Anatomical Structure Regression -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Notochord Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Pharyngeal System Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Oxidative Stress, Apoptosis
GO Term: Pericardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Retinal Bipolar Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Retina Development In Camera-Type Eye -> Biodomain: Synapse, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Regulation Of Acrosome Reaction -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Heart Contraction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Vasculature
GO Term: Cardiac Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Glycosylation, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, APP Metabolism, Immune Response
GO Term: Negative Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Structural Stabilization
GO Term: Neurofilament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Neurofilament Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Myelination
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Immune Response, Structural Stabilization
GO Term: Angiogenesis Involved In Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Mitochondrial Metabolism
GO Term: Mammary Gland Involution -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Structural Stabilization
GO Term: Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Autophagy, Proteostasis
GO Term: Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Post-Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Spemann Organizer Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Spemann Organizer Formation At The Anterior End Of The Primitive Streak -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Uterus Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, DNA Repair
GO Term: Oviduct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Cervix Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Vasculature, Structural Stabilization
GO Term: Vagina Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Canonical Wnt Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Endolysosome
GO Term: Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Micturition -> Biodomain: Synapse, Mitochondrial Metabolism, Vasculature, Structural Stabilization, Proteostasis
GO Term: Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Resting Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Excitatory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Inhibitory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Eye Blink Reflex -> Biodomain: Synapse, Myelination, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Smooth Muscle Contraction Involved In Micturition -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Synaptic Transmission Involved In Micturition -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Circadian Temperature Homeostasis -> Biodomain: Thermoregulation, Circadian Regulation, General Homeostasis, Metabolic Processes, Neuronal Processes
GO Term: Relaxation Of Vascular Associated Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Auditory Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Molecular Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, APP Metabolism
GO Term: Kinocilium -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Cytoskeletal Rearrangement Involved In Phagocytosis, Engulfment -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Generation Of Ovulation Cycle Rhythm -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Inner Ear Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Auditory Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Vestibular Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Inner Ear Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Vestibular Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Inner Ear Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Regulation Of Growth Hormone Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Growth Hormone Secretion -> Biodomain: Synapse, Epigenetic, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Growth Hormone Secretion -> Biodomain: Endocrine, Signaling, Cell Communication, Developmental Processes, Metabolic Processes
GO Term: Somatotropin Secreting Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, RNA Spliceosome
GO Term: Prolactin Secreting Cell Differentiation -> Biodomain: Cell Differentiation, Endocrine Processes, Developmental Biology, Hormone Regulation, Cellular Specialization
GO Term: Corticotropin Hormone Secreting Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Thyroid-Stimulating Hormone-Secreting Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Somatotropin Secreting Cell Development -> Biodomain: Cell Cycle, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Prepulse Inhibition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Maternal Process Involved In Female Pregnancy -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Embryonic Process Involved In Female Pregnancy -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Vasculature, Lipid Metabolism
GO Term: Maternal Process Involved In Parturition -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Regulation Of Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Cell Cycle
GO Term: Microtubule-Based Peroxisome Localization -> Biodomain: Structural Stabilization, Tau Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Platelet Dense Granule Organization -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Urinary Bladder Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Phospholipase C-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Subpallium Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Regulation Of Timing Of Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Autophagy
GO Term: Regulation Of Timing Of Subpallium Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Synapse, Autophagy, RNA Spliceosome
GO Term: Olfactory Pit Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Synapse
GO Term: Positive Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Ciliary Membrane -> Biodomain: Structural Stabilization, Cellular Organization, Signaling, Cellular Processes, Lipid Metabolism
GO Term: Stereocilium Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Limb Development -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Limb Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Brain-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Neurotrophic Factors, Signaling Pathways, Cell Survival, Neuronal Function
GO Term: Regulation Of Angiotensin Metabolic Process -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Regulation Of Exocyst Localization -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Male Mating Behavior -> Biodomain: Reproduction, Behavior, Neuronal Signaling, Hormonal Regulation, Cell Communication
GO Term: Female Mating Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Apelin Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Apelin Receptor Signaling Pathway -> Biodomain: Vasculature, Proteostasis, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Cell Pole -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cloacal Septation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Clathrin-Sculpted Acetylcholine Transport Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Vasculature
GO Term: Clathrin-Sculpted Glutamate Transport Vesicle Membrane -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cytoplasmic Vesicle Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Endocardium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Primitive Hemopoiesis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Definitive Hemopoiesis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Endolysosome
GO Term: Hemangioblast Cell Differentiation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Vasculature, Apoptosis
GO Term: Camera-Type Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Camera-Type Eye Photoreceptor Cell Fate Commitment -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Retinal Rod Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activator Activity -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Lipase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Lipoprotein Lipase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Mesenchymal To Epithelial Transition -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Delamination -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Neuroblast Delamination -> Biodomain: Developmental Biology, Cell Migration, Neurogenesis, Cell Adhesion, Cell Differentiation
GO Term: Lens Induction In Camera-Type Eye -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Vasculature
GO Term: Regulation Of Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Vasculature
GO Term: Negative Regulation Of Cell Growth Involved In Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Cell Proliferation Involved In Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Detection Of Cell Density -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Anatomical Structure Homeostasis -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Glial Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Synapse, Immune Response, Endolysosome
GO Term: Positive Regulation Of Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Immune Response, Structural Stabilization, Synapse
GO Term: Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, DNA Repair, RNA Spliceosome
GO Term: Regulation Of Feeding Behavior -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Endolysosome, Synapse
GO Term: Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of N-Terminal Protein Palmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Endolysosome
GO Term: Embryonic Skeletal Joint Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Ovulation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Ovulation -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Oocyte Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Oocyte Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Cilium-Dependent Cell Motility -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Transdifferentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cilium Movement Involved In Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Cilium Beat Frequency Involved In Ciliary Motility -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Cytokine Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Cytokine Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Phosphorylation, Signal Transduction, Cell Signaling, Proteostasis
GO Term: Regulation Of Cell Diameter -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Myelination
GO Term: Regulation Of Membrane Repolarization -> Biodomain: Synapse, Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
