Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Hexose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pentose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pentose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Autophagy, Endolysosome
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Cysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Transsulfuration -> Biodomain: Oxidative Stress, APP Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Arachidonate Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature
GO Term: Cyclooxygenase Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Synapse
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Proteostasis, Autophagy
GO Term: Glycolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Galactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Galactitol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sulfur Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, APP Metabolism
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Cysteine Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: L-Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pentitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Metabolite Management, Lipid Metabolism, Oxidative Stress
GO Term: Taurine Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Oxalate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Protein Metabolic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Propionate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Propionate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Epigenetic
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Butyrate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Immune Response
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Urea Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Urate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Organophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ammonia Assimilation Cycle -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Synapse
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Myelination
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Autophagy, Proteostasis
GO Term: Choline Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Calcium-Mediated Signaling -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, APP Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Homeostasis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Defense Response, Response to External Stimulus, Response to Biotic Stimulus, Biological Process Involved in Interspecies Interaction
GO Term: Nitrogen Utilization -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Secondary Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: One-Carbon Compound Transport -> Biodomain: Epigenetic, Lipid Metabolism, DNA Repair, Oxidative Stress, Mitochondrial Metabolism
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Apoptosis
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Vasculature, Oxidative Stress
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
