Running with TEMP=0.9, sub_array_index=34
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 34: rows 16500 to 16999
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transporter Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Negative Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Autophagosome Maturation -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Gentamycin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Carbohydrate Derivative Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Carbohydrate Derivative Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Carbohydrate Derivative Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Insulin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Insulin Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Gene Expression Involved In Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Synapse, Endolysosome
GO Term: D-Xylulose 5-Phosphate Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Regulation Of Trophoblast Cell Migration -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Trophoblast Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Trophoblast Cell Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Neural Crest Cell Migration Involved In Autonomic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Naphthalene Catabolic Process -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Lycopene Catabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Erbb Signaling Pathway -> Biodomain: APP Metabolism, Synapse, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Erbb Signaling Pathway -> Biodomain: Synapse, APP Metabolism, Proteostasis, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Proteostasis, Immune Response
GO Term: Negative Regulation Of Formation Of Translation Preinitiation Complex -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Immune Response, Vasculature
GO Term: Negative Regulation Of Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Positive Regulation Of Extracellular Matrix Assembly -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Heart Looping -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cardiac Chamber Formation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: (R)-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Cell Cycle, Developmental Process, Cellular Process, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Lung Ciliated Cell Differentiation -> Biodomain: Autophagy, Endolysosome, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Positive Regulation Of Intracellular Transport Of Viral Material -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Nucleotide-Excision Repair Involved In Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle, Apoptosis
GO Term: Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, APP Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Carbohydrate Derivative Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Tartrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Succinyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Succinyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Nucleoside Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Nucleoside Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Negative Regulation Of Hydrogen Peroxide-Mediated Programmed Cell Death -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Hydrogen Peroxide-Mediated Programmed Cell Death -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Cargo Loading Into Copii-Coated Vesicle -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Negative Regulation Of Cargo Loading Into Copii-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Synapse
GO Term: Positive Regulation Of Spermidine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Flagellated Sperm Motility -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Flagellated Sperm Motility -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Structural Stabilization, Immune Response
GO Term: Response To Tacrolimus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Odontoblast Differentiation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Odontoblast Differentiation -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Odontoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Lactone Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Store-Operated Calcium Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Store-Operated Calcium Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Vasculature Development -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Vasculature Development Involved In Avascular Cornea Development In Camera-Type Eye -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Response To Rapamycin -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Heterocyclic Compound Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Lipid Hydroperoxide Transport -> Biodomain: Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis
GO Term: Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Immune Response, Proteostasis
GO Term: Positive Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Immune Response, Proteostasis
GO Term: Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Azole Transmembrane Transporter Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pyruvate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oleate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Synapse
GO Term: Regulation Of Cysteine Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Diphenyl Ether -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Carbohydrate Derivative Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Positive Regulation Of Anion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Fenofibrate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Response To Metformin -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Tau Homeostasis, Proteostasis
GO Term: Response To Paraquat -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Fatty Acid Derivative Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Vasculature
GO Term: Fatty Acid Derivative Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Fatty Acid Derivative Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dendritic Microtubule -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Response To Capsazepine -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Alpha-Amino Acid Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Vesicle Transport Along Microtubule -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Phosphatidylglycerol Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Cardiolipin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Negative Regulation Of Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Lymphocyte Chemotaxis -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Cellular Response To Ergosterol -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Postsynaptic Membrane Organization -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Nucleoside Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Synoviocyte Proliferation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Synoviocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Vasculature, Apoptosis
GO Term: Response To Peptide -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Cellular Response To Peptide -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Ketone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Calcium Ion Export -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Quinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Quinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Regulation Of Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Nucleotide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Sulfur Compound Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Arsenate Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Glutathione Derivative Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Proton Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Cannabinoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Oxidative Stress, Synapse
GO Term: Cellular Response To Oxygen-Containing Compound -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Mesenchymal Cell Differentiation Involved In Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Leptomycin B Binding -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, APP Metabolism, Synapse
GO Term: Negative Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Vasculature, Immune Response
GO Term: Positive Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Quercetin Catabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Myoblast Fusion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Myoblast Fusion -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Myoblast Fusion -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Leukotriene D4 Catabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Leukotriene D4 Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Leukotriene A4 Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Leukotriene A4 Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Benzoyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Apoptosis
GO Term: Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Beta-Glucoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Beta-Carotene Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Zeaxanthin Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Zeaxanthin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Positive Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
