Running with TEMP=0.9, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Cytoplasmic Microtubule Bundle -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Mitotic Spindle Astral Microtubule End -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of L-Proline Import Across Plasma Membrane -> Biodomain: Amino Acid Metabolism, Membrane Trafficking and Transport, Proteostasis, Cellular Response to Stress, Cell Growth and Proliferation
GO Term: Positive Regulation Of Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Saliva Secretion -> Biodomain: Synapse, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Hard Palate Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Scf Ubiquitin Ligase Complex Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Ccr4-Not Complex Binding -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Regulation Of Mesodermal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Mesodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Endolysosome
GO Term: 8-Hydroxy-2'-Deoxyguanosine Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Protein Localization To Pericentriolar Material -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Cellular Response To Puromycin -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Oxidative Stress
GO Term: Regulation Of Intraciliary Retrograde Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Excitatory Synapse Pruning -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synapse Pruning -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Synapse Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Excitatory Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Chromosome Separation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Chromosome Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Regulation Of Prostaglandin Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Cellular Response To Pyrimidine Ribonucleotide -> Biodomain: Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair
GO Term: Negative Regulation Of Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, Cell Cycle, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Pentose-Phosphate Shunt -> Biodomain: Oxidative Stress, Lipid Metabolism, Cell Cycle, Immune Response, DNA Repair
GO Term: Epididymis Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Negative Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Negative Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Cell Adhesion and Migration, Cytoskeletal Reorganization, Signal Transduction, Intracellular Trafficking
GO Term: Positive Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Vasculature
GO Term: Negative Regulation Of Postsynaptic Density Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: Regulation Of Cellular Response To Very-Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Oxidative Stress
GO Term: Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Smooth Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Mesoderm Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Amyloid Fibril Formation -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cell Fate Determination -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Immune Response, Autophagy
GO Term: Positive Regulation Of Cell Fate Determination -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Regulation Of Germ Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Response To Calcium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Negative Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Apoptosis, Cell Cycle
GO Term: Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Positive Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Amyloid Fibril Formation -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Methylglyoxal Reductase (Nadph) (Acetol Producing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Idp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Granular Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Neurosecretory Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: Retinal Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Mitotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Hippocampal Mossy Fiber Expansion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Lipid Metabolism
GO Term: Vasomotion -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Pericellular Basket -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Pinceau Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Parallel Fiber -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Metal Binding and Homeostasis, Proteostasis
GO Term: Calcium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Synapse, Vasculature, Immune Response
GO Term: Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Lewy Body Core -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Mitochondrial Metabolism
GO Term: Lewy Body Corona -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Endolysosome
GO Term: Protein Localization To Lipid Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Stress-Induced Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Spindle Matrix -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Anterograde Neuronal Dense Core Vesicle Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Retrograde Neuronal Dense Core Vesicle Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidic Acid Transfer Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Activation Of Protein Kinase C Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Apoptosis, Vasculature
GO Term: Rpap3/R2Tp/Prefoldin-Like Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Trappi Protein Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Trappii Protein Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Trappiii Protein Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Polyuridylation-Dependent Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Periciliary Membrane Compartment -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Cartilage Homeostasis -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Trimethylamine Receptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Lens Fiber Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Nerve Growth Factor -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Cellular Response To Nerve Growth Factor Stimulus -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Calcium-Dependent Self Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Linear Deubiquitination -> Biodomain: Proteostasis, Apoptosis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Spermatoproteasome Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Rqc Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rna Polymerase I Assembly -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii Core Complex Assembly -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Rna Polymerase Iii Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Ribosome-Associated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: B Cell Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Gator1 Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Gtr1-Gtr2 Gtpase Complex -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Epithelial Cell Apoptotic Process Involved In Palatal Shelf Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Epigenetic, Endolysosome
GO Term: Linoleate 9S-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism
GO Term: Neuron Projection Extension -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Molybdopterin Synthase Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hypoxia -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Maintenance Of Translational Fidelity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Talin Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Autophagy, Endolysosome
GO Term: Vegf-A Complex -> Biodomain: Vasculature, Proteostasis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Single-Strand Break-Containing Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Protein Localization To Site Of Double-Strand Break -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Protein K27-Linked Deubiquitination -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Post-Translational Modification, Cell Signaling
GO Term: Protein K33-Linked Deubiquitination -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Protein Degradation, Post-translational Modification, Enzymatic Activity
GO Term: G Protein-Coupled Receptor Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Protein Localization To Nucleoplasm -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Phosphodiesterase Decapping Endonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Endolysosome, Epigenetic
GO Term: Eh Domain Binding -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Mitochondrial Trna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Amino Acid Transport Complex -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Euchromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Protein N-Terminal-Serine Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein-N-Terminal-Glutamate Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Oxidoreductase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Cysteine Desulfurase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone Methyltransferase Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Paranodal Junction Maintenance -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Iron-Sulfur Cluster Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Sting Complex -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Transferase Complex -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Double-Stranded Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Steroid Hormone Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Histone H2At120 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Uniplex Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: N6-Methyladenosine-Containing Rna Reader Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Cellular Response To Leucine Starvation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Keratin Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Signal Clustering -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Histone H2Aq104 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Pre-Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Immune Response, Autophagy
GO Term: Anti-Mullerian Hormone Receptor Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
