Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Autophagy, Immune Response
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor, Cytokine, Interferon
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Signaling, Cytokine Signaling, Receptor Activity, Cell Surface Receptor
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Epigenetic, Apoptosis, Vasculature, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Signal Transduction, Cell Surface Receptor, Neurotransmission, Cell Signaling, Vasculature
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Proteostasis, Synapse, Immune Response, Unknown
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Synapse
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Synapse
GO Term: Calcitonin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Epigenetic
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Signaling Receptor, GPCR Signaling, Cardiovascular, Immune Response
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Apoptosis, Proteostasis
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Glucagon Receptor Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse,Vasculature,Immune Response,Endolysosome,Proteostasis
GO Term: Histamine Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Melanocortin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Vasculature, Autophagy
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Autophagy
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Signaling, Chemotaxis, GPCR, Innate Immunity
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: Oxytocin Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Endolysosome, Proteostasis
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Unknown
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Unknown, Vasculature, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Proteostasis, Autophagy, Unknown, Oxidative Stress, Immune Response
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Immune Response, Oxidative Stress
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Synapse, Cell Cycle
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse,Vasculature,Immune Response,Proteostasis,Structural Stabilization
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Myelination, Epigenetic, Proteostasis
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Oxidative Stress
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Signaling, Proteostasis, Apoptosis, Vasculature
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Neurotrophin Receptor Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Vasculature
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Signaling Receptors, Cell Death, Immune Response, Proteostasis
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Apoptosis
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Unknown
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Cell Adhesion, Vasculature, Extracellular Matrix Organization, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Synapse
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Apoptosis, Autophagy
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle, Immune Response
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Autophagy, Immune Response
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Immune Response, Autophagy
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Cell Cycle
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Unknown
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Endolysosome
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Vasculature
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Synapse, Immune Response
GO Term: Frizzled Binding -> Biodomain: Cell Cycle, Vasculature, Autophagy, Epigenetic, Proteostasis
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Notch Binding -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Proteostasis
GO Term: Patched Binding -> Biodomain: Signaling Receptor Binding, Protein Binding, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Smoothened Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Vasculature, Immune Response
GO Term: Toll Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Vasculature
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Vasculature, Cell Cycle
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Vasculature
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Neuroinflammation, Proteostasis, Immune Response, Structural Stabilization
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Growth Hormone Receptor Binding -> Biodomain: Hormone Activity, Receptor Signaling, Metabolism, Cell Growth And Proliferation, Development
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Vasculature
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Cell Cycle
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Proteostasis, Cell Cycle, Vasculature, Endolysosome, Autophagy
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Proteostasis
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Immune Response, Structural Stabilization, Proteostasis
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Myelination, Immune Response, Proteostasis
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Apoptosis, Myelination, Proteostasis, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Endolysosome, Immune Response
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Apoptosis, Myelination, Proteostasis, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Autophagy, Cell Cycle
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Synapse
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Hormone Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Vasculature
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Myelination
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Synapse, Mitochondrial Metabolism
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis, Synapse
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Calcium Signaling, Ion Channel and Transporter, Cell Signaling, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Vasculature, Mitochondrial Metabolism
