Running with TEMP=0.9, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Urm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Isg15 Transferase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Vocal Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Phosphate Ion Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Positive Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Epigenetic, Apoptosis
GO Term: Homoiothermy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Vasodilation -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Protein Kinase C Deactivation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Immune Response, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Epigenetic, Myelination, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Phosphorylation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Synapse
GO Term: Positive Regulation Of Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Apoptosis
GO Term: Heparan Sulfate N-Acetylglucosaminyltransferase Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Cuticle Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Keratan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Keratan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Gdp-L-Fucose Biosynthetic Process -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: 'De Novo' Gdp-L-Fucose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Gdp-L-Fucose Salvage -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: L-Fucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Gdp-4-Dehydro-D-Rhamnose Reductase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Thiamine Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Vitamin D Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Immune Response
GO Term: Vitamin E Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Menaquinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Vitamin D Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Vitamin K Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Vitamin K Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phylloquinone Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Phylloquinone Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Vasculature
GO Term: Vitamin K Catabolic Process -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Paraspeckles -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Sarcolemma -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Membrane Potential -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Sphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Histone Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Biogenic Amine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Thyroid Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Thyroid Hormone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Nuclear Inclusion Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Extrinsic Component Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cristae Formation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Taurine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Epinephrine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Norepinephrine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Dopamine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Epinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Dopamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Norepinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Catecholamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Catecholamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Choline Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Serotonin Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Serotonin Metabolic Process -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Indole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Melanin Biosynthetic Process -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Pigment Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Hormone Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Progesterone Metabolic Process -> Biodomain: Steroid Hormone Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: L-Arginine Biosynthetic Process Via Ornithine -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Pathways, Biosynthesis, Metabolic Regulation
GO Term: Photoreceptor Cell Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Eye Photoreceptor Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Melanosome -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, DNA Repair
GO Term: Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Proteostasis
GO Term: Inner Ear Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Vasculature
GO Term: Outer Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Middle Ear Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Proteostasis
GO Term: Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Regulation Of Eye Photoreceptor Cell Development -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Vasculature
GO Term: Negative Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Mechanoreceptor Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Detection Of Bacterial Lipoprotein -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Detection Of Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Detection Of Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Triacyl Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Diacyl Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Aspartic Endopeptidase Activity, Intramembrane Cleaving -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Benzene-Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Hemoglobin Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic
GO Term: Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Mcm Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Pteridine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Pteridine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Hormone Binding -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nls-Dependent Protein Nuclear Import Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Rna Nuclear Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Insulin-Like Growth Factor Ternary Complex -> Biodomain: Growth Factor Signaling, Protein Complex Assembly, Hormone Signaling, Development, Signal Transduction
GO Term: Insulin-Like Growth Factor Binary Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy, Synapse
GO Term: Immunoglobulin Complex, Circulating -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Retinol Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Autophagy, Cell Cycle
GO Term: Retinoic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Immune Response
GO Term: Retinal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Lipid Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Myelination
GO Term: Phosphoric Ester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Specific Granule -> Biodomain: Immune Response, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Azurophil Granule -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Chromaffin Granule -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Chromaffin Granule Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, Structural Stabilization, Mitochondrial Metabolism
GO Term: Germinal Vesicle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Peptide Deformylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Glycogen Granule -> Biodomain: Autophagy, Proteostasis, Endolysosome, Structural Stabilization, Cell Cycle
GO Term: Zymogen Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Zymogen Granule Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Homeostatic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Response To Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Behavioral Response To Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Fear Response -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: Lamellar Body -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Riboflavin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Peptide Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: T Cell Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Cd4 Receptor Binding -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Cd8 Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Photoreceptor Outer Segment Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Atpase-Coupled Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Atpase-Coupled Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response
GO Term: Chylomicron -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Mating Plug Formation -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Mast Cell Granule -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Cellular Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Cholesterol Homeostasis -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Autophagy, Endolysosome
GO Term: Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Hair Cycle -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Actomyosin -> Biodomain: Cytoskeleton, Structural Stabilization, Cell Motility, Cell Cycle, Vasculature
GO Term: Mitochondrial Nucleoid -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Mhc Class Ii Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, DNA Repair
GO Term: Negative Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Regulation Of Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Endodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Ectodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Synapse, Structural Stabilization
GO Term: Auditory Receptor Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Auditory Receptor Cell Fate Determination -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Epigenetic, Autophagy
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Retinal Cone Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Muscle Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Muscle Cell Fate Specification -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis, Proteostasis
GO Term: Ovulation Cycle -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis, Vasculature
GO Term: Follicle-Stimulating Hormone Signaling Pathway -> Biodomain: Reproductive Hormone Signaling, GPCR Signaling, Reproductive System, Cellular Response, Hormone Binding
GO Term: Luteinizing Hormone Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Uterine Wall Breakdown -> Biodomain: Apoptosis, Immune Response, Vasculature, Oxidative Stress, Autophagy
