Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Adenohypophysis Development -> Biodomain: Endocrine System Development, Gland Development, Nervous System Development, Brain Development, Animal Organ Development
GO Term: Neurohypophysis Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Proteostasis
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Olfactory Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Developmental Process, Embryogenesis, Morphogenesis, Tissue Morphogenesis, Nervous System Development
GO Term: Neural Plate Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Synapse
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Proteostasis
GO Term: Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Apoptosis
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Synapse, Mitochondrial Metabolism
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Synapse
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Myelination
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, DNA Repair
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Myelination
GO Term: Telencephalon Cell Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Metencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Lipid Metabolism
GO Term: Corpus Callosum Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Immune Response
GO Term: Hair Cycle Process -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Membrane Docking -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Autophagy
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Synapse
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Cell Cycle
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Epigenetic, Synapse, Autophagy, Proteostasis, Oxidative Stress
GO Term: Reproductive Process -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Apoptosis
GO Term: Digestive System Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Ovulation Cycle Process -> Biodomain: Cell Cycle, Lipid Metabolism, Oxidative Stress, Apoptosis, Vasculature
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Cell Cycle
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Lipid Metabolism
GO Term: Mammalian Oogenesis Stage -> Biodomain: Cell Cycle, Reproductive Process, Developmental Process, Cellular Process, Epigenetic
GO Term: Cellular Component Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Myelination, RNA Spliceosome
GO Term: Gland Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Membrane To Membrane Docking -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Protein To Membrane Docking -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Cell Cycle
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome, Endolysosome
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Wide Pore Channel Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Vasculature, Structural Stabilization
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Gated Channel Activity -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Cell Cycle, Vasculature, Oxidative Stress
GO Term: Leak Channel Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Apoptosis, Mitochondrial Metabolism
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Neurotransmission, Signaling, Ion Homeostasis, Proteostasis
GO Term: Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Synapse, Apoptosis
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Immune Response, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Termination Of Signal Transduction -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Cell Cycle
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Synapse, Endolysosome
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Signaling, Cell Surface Receptor, Receptor Binding
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Signal Transduction, Cell Communication, Cellular Response to Stimulus, Regulation of Biological Process
GO Term: Regulation Of Signaling -> Biodomain: Immune Response, Synapse, Cell Cycle, Autophagy, Apoptosis
GO Term: Signaling -> Biodomain: Immune Response, Apoptosis, Synapse, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Synapse, Proteostasis
GO Term: Signal Release -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Endolysosome
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Trapp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Myelination
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Ccr4-Not Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Ccr4-Not Core Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Apoptosis
GO Term: Myofibril -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Z Disc -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Cell Cycle
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Immune Response, Synapse
GO Term: Cell Projection Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Microspike Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Endolysosome
GO Term: Actin Cytoskeleton Organization -> Biodomain: Cytoskeleton, Structural Stabilization, Cell Motility, Cell Adhesion, Synapse
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Vasculature
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton Organization, Cell Motility, Cell Cycle
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton, Cell Adhesion and Motility, Synapse
GO Term: Actin Modification -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Immune Response, Vasculature
GO Term: Muscle Filament Sliding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Endolysosome, Autophagy, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Vasculature
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Desmosome -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Processing -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Peptide Hormone Secretion -> Biodomain: Hormone Secretion, Signal Release, Cell-Cell Signaling, Regulation of Biological Process, Transport
GO Term: Insulin Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Immune Response
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Vasopressin Secretion -> Biodomain: Endolysosome, Synapse, Proteostasis, Structural Stabilization, Vasculature
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Structural Stabilization  
Cell Cycle  
Epigenetic  
Immune Response  
Proteostasis
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Membrane Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Clathrin Coat -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, APP Metabolism
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ap-4 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Copi Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Copii Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Endolysosome, Proteostasis, Plasma Membrane, Structural Stabilization, Autophagy
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Copi-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Secretory Granule -> Biodomain: Proteostasis, Immune Response, Synapse, Endolysosome, Vasculature
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Protein Processing, Glycan Metabolism, Metabolic Pathways, Enzyme Activities
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Myelination, Lipid Metabolism
GO Term: Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Synapse
GO Term: Pancreatic Juice Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, APP Metabolism, Synapse, Autophagy
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, APP Metabolism, Autophagy
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Platelet Activation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Troponin C Binding -> Biodomain: Structural Stabilization, Proteostasis, Calcium Signaling, Metal Binding and Homeostasis, Cytoskeleton
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Filopodium -> Biodomain: Structural Stabilization, Synapse, Actin Cytoskeleton, Cell Motility, Cell Adhesion
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Synapse
GO Term: Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
