Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: L-Kynurenine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: L-Kynurenine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Synapse
GO Term: Inhibition Of Non-Skeletal Tissue Mineralization -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Mannose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Fructose:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature, Unknown
GO Term: 5'-(N(7)-Methyl 5'-Triphosphoguanosine)-[Mrna] Diphosphatase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Unknown
GO Term: 5'-(N(7)-Methylguanosine 5'-Triphospho)-[Mrna] Hydrolase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Histone H2B Deubiquitinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Metal Binding and Homeostasis
GO Term: Histone H4K12 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H4 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Histone H4K20Me Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Histone H4K20 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H4K20 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K4 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Histone H3K4 Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Histone H3K9Me2 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K9 Monomethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K9 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H2A Deubiquitinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K27 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K27 Dimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K36 Dimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Histone H3K36 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Histone H3K79 Trimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Target-Directed Mirna Degradation -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Multicellular Organismal-Level Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: Secondary Pirna Processing -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Unknown
GO Term: Polyspecific Organic Cation:Proton Antiporter Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, DNA Repair, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Aim2 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mitochondrial Large Ribosomal Subunit Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Medium-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Calcium:Manganese Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Histone H4K12 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Atp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Adp:Phosphate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Unknown, Unknown, Unknown
GO Term: Primary Pirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Pirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Histone H2A Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Histone H3K4 Trimethyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H4K91 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2Ax Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Transposable Element Silencing By Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Unknown
GO Term: Transposable Element Silencing By Pirna-Mediated Heterochromatin Formation -> Biodomain: Epigenetic, Immune Response, DNA Repair, RNA Spliceosome, Oxidative Stress
GO Term: Transposable Element Silencing By Mrna Destabilization -> Biodomain: Epigenetic, DNA Repair, Immune Response, RNA Spliceosome, Proteostasis
GO Term: Purine Nucleotide Import Into Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ribosome Hibernation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Apoptosis
GO Term: G/T Mismatch-Specific Thymine-Dna Glycosylase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Phosphatidylinositol 3-Kinase Activator Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphatidylinositol 3-Kinase Inhibitor Activity -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Autophagy, Immune Response
GO Term: Very-Long-Chain 3-Oxoacyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Myelination, Structural Stabilization
GO Term: Atg8-Family Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Histone H3K Deacetylase Activity -> Biodomain: Epigenetic,Metal Binding and Homeostasis,Proteostasis,Autophagy,Cell Cycle
GO Term: Histone H2A Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2B Ubiquitin Ligase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3 Ubiquitin Ligase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Zygotic Genome Activation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Maternal Mrna Clearance -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Autosome Genomic Imprinting -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Autophagy
GO Term: Receptor Ligand Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Inflammasome-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Glucose Sensor Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Oxidative Stress, Autophagy
GO Term: Protein Serine Pyrophosphorylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Trna (Guanine(18)-2'-O)-Methyltransferase Activity -> Biodomain: Epigenetic, Unknown, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Trna(Ser) (Uridine(44)-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Unknown, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna Methyltransferase Activator Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Unknown
GO Term: Methyltransferase Regulator Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Transporter Regulator Activity -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Transporter Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Transporter Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Broken Chromosome Clustering -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Unknown
GO Term: Nitric Oxide Dioxygenase Activity, Heme Protein As Donor -> Biodomain: Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: Chromosomal Dna Methylation Maintenance Following Dna Replication -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Intracellular Signaling Cassette -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Trna-Queuosine(34) Galactosyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Dna N6-Methyladenine Demethylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Diphthine Methyl Ester Synthase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Unknown
GO Term: Positive Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Enoyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Nitric Oxide-Cgmp Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Glycerol-3-Phosphate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Camp/Pka Signal Transduction -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Tau Homeostasis
GO Term: Positive Regulation Of Camp/Pka Signal Transduction -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Vasculature
GO Term: Mitochondrial Protein Quality Control -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation Pathway -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Unknown
GO Term: Chromosomal 5-Methylcytosine Dna Demethylation, Oxidation Pathway -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Dsdna-Rna Triple Helix-Forming Chromatin Adaptor Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Ufm1-Modified Protein Reader Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Hri-Mediated Signaling -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Unknown
GO Term: Atp:Atp Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Nuclear Receptor-Mediated Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Transposable Element Silencing By Pirna-Mediated Dna Methylation -> Biodomain: Epigenetic, DNA Repair, Immune Response, Structural Stabilization, Unknown
GO Term: Protein Branched Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Utp Thiamine Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Unknown, Unknown
GO Term: Pyroptotic Cell Death -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Dipeptide Transmembrane Transport From Lysosomal Lumen To Cytosol -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Peptide Lactyltransferase (Atp-Dependent) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Nad-Dependent Protein Lysine Delactylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress, Lipid Metabolism
GO Term: Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Synapse
GO Term: Positive Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Vasculature, Proteostasis
GO Term: N-Acetyltaurine Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Rna Glycosylation -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Histone Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy, DNA Repair
GO Term: Primary Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Spontaneous Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Enzyme Activator Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Clathrin-Dependent Synaptic Vesicle Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Apical Distal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Basal Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Basal Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Basal Dendrite Arborization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Apical Dendrite Arborization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Myelination
GO Term: Oxidised Low-Density Lipoprotein Particle Clearance -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Oxidised Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature, Immune Response
GO Term: Positive Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Distal Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome
GO Term: Structural Constituent Of Synapse-Associated Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Postsynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cerebellar Granule Cell To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Postsynaptic Golgi Apparatus -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Climbing Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Amylin Receptor Complex 1 -> Biodomain: Proteostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Amylin Receptor Complex 2 -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, APP Metabolism, Synapse
GO Term: Amylin Receptor Complex 3 -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis, Synapse
GO Term: Amylin Receptor 1 Signaling Pathway -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Synapse, APP Metabolism
GO Term: Amylin Receptor 2 Signaling Pathway -> Biodomain: Vasculature, Apoptosis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Amylin Receptor 3 Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Synapse, APP Metabolism
GO Term: Complement-Mediated Synapse Pruning -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Visual System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Vertebrate Eye-Specific Patterning -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Unknown
GO Term: Positive Regulation Of Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Neurodegeneration, Synapse, Endolysosome, Vasculature
