Running with TEMP=0.9, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Synapse
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Termination Of Signal Transduction -> Biodomain: Signal Transduction, Regulatory Pathways, Cell Communication, Signal Release, Cellular Processes
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Regulation Of Signaling -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Vasculature
GO Term: Signaling -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Signal Release -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Synapse, Oxidative Stress
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Trapp Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Establishment Of Cell Polarity -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Myelination, Epigenetic
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Ccr4-Not Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Ccr4-Not Core Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Z Disc -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Autophagy
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Synapse
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Extracellular Matrix, Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Proteostasis
GO Term: Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Proteostasis
GO Term: Cell Projection Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Microspike Assembly -> Biodomain: Cytoskeleton, Cell Adhesion and Migration, Cell Morphogenesis, Actin Cytoskeleton Organization, Cell Motility
GO Term: Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Cell Cycle
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Apoptosis
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Actin Modification -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Immune Response
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Muscle Filament Sliding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Cell Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Cell Cycle
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Apoptosis
GO Term: Desmosome -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Apoptosis
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Processing -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Peptide Hormone Secretion -> Biodomain: Vasculature, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Vasopressin Secretion -> Biodomain: Vasculature, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Membrane Coat -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Immune Response
GO Term: Clathrin Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Vasculature, Synapse, Immune Response
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Ap-4 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Copi Vesicle Coat -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Vasculature
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Copi-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Secretory Granule -> Biodomain: Proteostasis, Endolysosome, Vasculature, Immune Response, Structural Stabilization
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation,Protein Modification,Carbohydrate Metabolism,Endolysosome,Lipid Metabolism
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Synapse
GO Term: Pancreatic Juice Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Signal Transduction, Structural Stabilization, Proteostasis, Immune Response, Synapse
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Platelet Activation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: Troponin C Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Filopodium -> Biodomain: Structural Stabilization, Cell Adhesion and Migration, Neuronal Activities, Signal Transduction, Cytoskeletal Organization
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Synapse, Mitochondrial Metabolism, Oxidative Stress
