Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Abscisic Acid-Activated Signaling Pathway -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Post-Embryonic Development -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Embryo Development Ending In Birth Or Egg Hatching -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Coumarin Metabolic Process -> Biodomain: Oxidative Stress, Vasculature, Apoptosis, Lipid Metabolism, Immune Response
GO Term: Flavonoid Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Alkaloid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Alkaloid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy, Immune Response
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Embryonic Pattern Specification -> Biodomain: Developmental Biology, Cell Differentiation, Morphogenesis, Tissue Development, Gene Regulation
GO Term: Photoreceptor Activity -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, DNA Repair, Proteostasis
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Synapse, Immune Response
GO Term: Tissue Development -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, APP Metabolism
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: External Side Of Plasma Membrane -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Structural Stabilization
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Apoptosis, APP Metabolism
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response
GO Term: Hormone Transport -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Cell Cycle
GO Term: Cell Tip Growth -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Proximal/Distal Axis Specification -> Biodomain: Developmental Biology, Pattern Specification, Morphogenesis, Cell Differentiation, Signal Transduction
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Lipid Metabolism
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, Autophagy
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Radial Pattern Formation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Synapse
GO Term: Epidermal Cell Fate Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, DNA Repair
GO Term: Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Signal Transduction, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Cell Surface -> Biodomain: Immune Response, APP Metabolism, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Cell-Cell Recognition -> Biodomain: Synapse, Immune Response, Structural Stabilization, Vasculature, Proteostasis
GO Term: Intracellular Water Homeostasis -> Biodomain: Endolysosome, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Oocyte Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Cardioblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Proteostasis, Synapse
GO Term: Response To Aluminum Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Nickel Cation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Mycotoxin -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Polarity Specification Of Proximal/Distal Axis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Specification Of Animal Organ Identity -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: L-Arginine Catabolic Process To Proline Via Ornithine -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Phenylacetate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: L-Proline Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Pyrimidine Ribonucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy, Proteostasis
GO Term: Farnesyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metabolism, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Proton Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Chlorate -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Specification Of Animal Organ Position -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Response To Cesium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Response To X-Ray -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Fmn Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Cellular Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Vitamin E Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Ozone -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, DNA Repair, Proteostasis
GO Term: Response To Ionizing Radiation -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Lithium Ion -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Synapse, Proteostasis
GO Term: Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Autophagy, Oxidative Stress
GO Term: Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Endomembrane System Organization -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, APP Metabolism
GO Term: Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Scf Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Selenium Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Response To Silver Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Detoxification Of Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Lead Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Acireductone Dioxygenase (Ni2+-Requiring) Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Acireductone Dioxygenase [Iron(Ii)-Requiring] Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Detoxification Of Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Phosphatidylinositol-5-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Membrane Invagination -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization, Myelination
GO Term: Response To Gamma Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Lithium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Lithium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Chromocenter -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Perinucleolar Chromocenter -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, RNA Spliceosome
GO Term: Double-Stranded Methylated Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Cop9 Signalosome Assembly -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Immune Response
GO Term: Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Regulation of Cell Cycle, DNA Repair, Apoptosis, Proteostasis
GO Term: Polyprenyldihydroxybenzoate Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Methyl-Cpnpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Fatty Acid Omega-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Carotenoid Dioxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 9,10 (9', 10')-Carotenoid-Cleaving Dioxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Response To Acidic Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Autophagy
GO Term: Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Exit From Mitosis -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Immune Response, Autophagy
GO Term: Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, Vasculature
GO Term: Nerve Growth Factor Receptor Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Gene Expression -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Gastrulation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis, DNA Repair
GO Term: Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Regulation Of Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Endolysosome
GO Term: Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Cytoplasmic Stress Granule -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Immune Response
GO Term: Intercellular Transport -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Proteasomal Ubiquitin-Independent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Telomerase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Negative Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Transposable Element Silencing -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Apoptosis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, RNA Spliceosome, APP Metabolism
GO Term: Positive Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Epigenetic, Proteostasis, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Negative Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Regulation Of Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
