Running with TEMP=0.1, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Carnitine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: Epinephrine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Norepinephrine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Dopamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Dopamine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Epinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Dopamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Norepinephrine Biosynthetic Process -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Catecholamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Catecholamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Choline Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Endolysosome
GO Term: Serotonin Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Serotonin Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Indole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Melanin Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Pigment Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Hormone Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Progesterone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: L-Arginine Biosynthetic Process Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Eye Photoreceptor Cell Development -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Melanosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Inner Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Outer Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Immune Response, Cell Cycle
GO Term: Middle Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Apoptosis, Vasculature
GO Term: Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Eye Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Odontogenesis -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Mechanoreceptor Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Detection Of Bacterial Lipoprotein -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Detection Of Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Detection Of Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Triacyl Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Diacyl Lipopeptide Binding -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Aspartic Endopeptidase Activity, Intramembrane Cleaving -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Benzene-Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, DNA Repair, Mitochondrial Metabolism
GO Term: Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis, Endolysosome
GO Term: Hemoglobin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Myelination -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Autophagy
GO Term: Mcm Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Pteridine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Pteridine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress
GO Term: Hormone Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Nls-Dependent Protein Nuclear Import Complex -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Rna Nuclear Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Insulin-Like Growth Factor Ternary Complex -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin-Like Growth Factor Binary Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Structural Stabilization
GO Term: Immunoglobulin Complex, Circulating -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Retinol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Retinoic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Retinal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Lipid Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phosphoric Ester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Apoptosis, Cell Cycle
GO Term: Specific Granule -> Biodomain: Immune Response, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Azurophil Granule -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Chromaffin Granule -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Chromaffin Granule Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Structural Stabilization
GO Term: Germinal Vesicle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Peptide Deformylase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Glycogen Granule -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Zymogen Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Zymogen Granule Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Homeostatic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Behavioral Response To Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Fear Response -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Lamellar Body -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Riboflavin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptide Antigen Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: T Cell Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Cd4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Cell Cycle
GO Term: Cd8 Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Photoreceptor Outer Segment Membrane -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Atpase-Coupled Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Oxidative Stress, Vasculature
GO Term: Atpase-Coupled Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Chylomicron -> Biodomain: Lipid Metabolism, APP Metabolism, Vasculature, Endolysosome, Proteostasis
GO Term: Mating Plug Formation -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Immune Response
GO Term: Mast Cell Granule -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Cellular Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Cholesterol Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Apoptosis
GO Term: Hair Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Hair Cycle -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, Structural Stabilization
GO Term: Actomyosin -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Mitochondrial Nucleoid -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Mhc Class Ii Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Vasculature
GO Term: Regulation Of Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Endodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Ectodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Auditory Receptor Cell Fate Specification -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Epigenetic, Autophagy
GO Term: Auditory Receptor Cell Fate Determination -> Biodomain: Developmental, Regionalization, Sensory, Signaling, Cell Differentiation
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Retinal Cone Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Muscle Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Muscle Cell Fate Specification -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Ovulation Cycle -> Biodomain: Reproductive System, Endocrinology, Cell Cycle, Hormone Signaling, Developmental Process
GO Term: Follicle-Stimulating Hormone Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Luteinizing Hormone Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Apoptosis, Epigenetic
GO Term: Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Immune Response
GO Term: Uterine Wall Breakdown -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Endolysosome
