Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Tau Homeostasis
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: APP Metabolism, Synapse, Proteostasis, Structural Stabilization, Immune Response
GO Term: Scavenger Receptor Activity -> Biodomain: APP Metabolism, Immune Response, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, APP Metabolism, Endolysosome
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Laminin Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Synapse, Immune Response, Proteostasis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, APP Metabolism, Autophagy
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis, Apoptosis
GO Term: Protein Kinase C Binding -> Biodomain: Protein Kinase C Binding is critically implicated in Alzheimer’s disease through its regulation of APP cleavage (generating Aβ), tau phosphorylation, synaptic dysfunction, oxidative stress, and impaired autophagy.  

Top five Biodomains:  
APP Metabolism, Tau Homeostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, APP Metabolism
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Tau Homeostasis
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Tau Homeostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Immune Response, Apoptosis
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, APP Metabolism
GO Term: Signaling Receptor Binding -> Biodomain: Synapse, Immune Response, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Structural Stabilization
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Oxidative Stress
GO Term: Frizzled Binding -> Biodomain: APP Metabolism, Synapse, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Notch Binding -> Biodomain: APP Metabolism, Proteostasis, Apoptosis, Synapse, Immune Response
GO Term: Patched Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, APP Metabolism
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Oxidative Stress, Tau Homeostasis, Apoptosis
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Synapse, Immune Response, Tau Homeostasis, Proteostasis, APP Metabolism
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Oxidative Stress, Autophagy
GO Term: Toll Binding -> Biodomain: Immune Response, APP Metabolism, Tau Homeostasis, Oxidative Stress, Proteostasis
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, APP Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Cytokine Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Growth Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Vasculature, Apoptosis
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Neuroinflammation, Proteostasis, Synapse
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, APP Metabolism
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: APP Metabolism, Autophagy, Endolysosome, Cell Cycle, Apoptosis
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Insulin Receptor Binding -> Biodomain: APP Metabolism, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Insulin Signaling, Apoptosis, Synapse, Mitochondrial Metabolism, Immune Response
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Endolysosome, Synapse
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Cell Cycle
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Integrin Binding -> Biodomain: Synapse, Structural Stabilization, Cell Adhesion, Immune Response, Proteostasis
GO Term: Hormone Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Oxidative Stress
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Lipid Metabolism
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Endolysosome, APP Metabolism
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
