Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Growth Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Synapse
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic, Vasculature
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Autophagy
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Immune Response, Cell Cycle
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Calcitonin Receptor Activity -> Biodomain: Bone and Mineral Metabolism, Signal Transduction, Calcium Signaling and Homeostasis, Hormonal Signaling, Neuroendocrine Regulation
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Reproductive Processes, Endocrine Signaling, Cell Signaling, GPCR Signaling, Hormone Activity
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Unknown, Mitochondrial Metabolism
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Immune Response
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Corticotropin Receptor Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Autophagy, Epigenetic
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Olfactory Receptor Activity -> Biodomain: Unknown, Synapse, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Unknown, Proteostasis, Endolysosome, Immune Response
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Proteostasis
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Endolysosome, Epigenetic
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Vasculature
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Endolysosome, Apoptosis
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Signal Transduction, Receptor Activity, Enzyme Activity, Cell Signaling, Protein Modification
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Proteostasis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Myelination, Autophagy
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Cell Cycle, Apoptosis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Structural Stabilization
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Endolysosome
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Neurotrophin Receptor Activity -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Unknown, Mitochondrial Metabolism
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Apoptosis, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Cell Cycle, Synapse, Immune Response, Vasculature, Structural Stabilization
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Unknown, Apoptosis
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Signal Transduction, Cytoskeleton, Intracellular Trafficking, Cell Adhesion, Synapse
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Vasculature
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Synapse, Myelination, Structural Stabilization
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Autophagy, Immune Response
GO Term: Frizzled Binding -> Biodomain: Cell Cycle, Synapse, Vasculature, Epigenetic, Myelination
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Notch Binding -> Biodomain: Cell Cycle, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Patched Binding -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Vasculature
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Synapse, Vasculature, Proteostasis
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, Autophagy
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Autophagy
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Proteostasis, Vasculature
GO Term: Growth Hormone Receptor Binding -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Synapse
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Vasculature
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Autophagy
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Vasculature
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Autophagy, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Endolysosome
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Endolysosome
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Hormone Activity -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Vasculature, Epigenetic
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Neuroendocrine Signaling, Reproductive Function, Developmental Processes, Neuronal Signaling, GPCR Signaling
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Myelination, RNA Spliceosome
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Proteostasis
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Oxidative Stress
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Signaling, Calcium Homeostasis, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
