Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Lymphocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of T-Helper Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Melanocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Melanocyte Differentiation -> Biodomain: Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Myeloid Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Eosinophil Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Erythrocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Erythrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Erythrocyte Differentiation -> Biodomain: Cell Cycle, Autophagy, Metal Binding and Homeostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Vasculature, Epigenetic
GO Term: Negative Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Macrophage Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Megakaryocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Epigenetic
GO Term: Negative Regulation Of Megakaryocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Megakaryocyte Differentiation -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Negative Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Monocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Neutrophil Differentiation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Neutrophil Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Regulation Of Myoblast Differentiation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Myoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Osteoblast Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Osteoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Osteoblast Differentiation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Osteoclast Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Epidermis Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Epidermis Development -> Biodomain: Cell Cycle, Lipid Metabolism, Structural Stabilization, Epigenetic, Autophagy
GO Term: Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Negative Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Glial Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Ketoreductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Apoptosis
GO Term: Negative Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Gluconeogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Glycogen Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Integrin Biosynthetic Process -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Autophagy
GO Term: Positive Regulation Of Translation -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Oxidative Stress
GO Term: Respiratory Burst After Phagocytosis -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Dna Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Positive Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Notch Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Epigenetic
GO Term: Positive Regulation Of Notch Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Positive Regulation Of Action Potential -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Adenylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Cell Cycle
GO Term: Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Autophagosome Size -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Negative Regulation Of Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Blood Pressure -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Bone Resorption -> Biodomain: Apoptosis, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Bone Resorption -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Negative Regulation Of Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy
GO Term: Positive Regulation Of Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cell Size -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Size -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Volume -> Biodomain: Ion Transport, Cellular Response to Stimuli, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Cell Volume -> Biodomain: Ion Homeostasis, Cell Homeostasis, Osmotic Stress Response, Transport, Signaling
GO Term: Negative Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Wnt Signaling Pathway, Calcium Modulating Pathway -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Gene Expression, Epigenetic -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, Transcriptional Regulation, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Glycogen Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Immune Response, Epigenetic
GO Term: Positive Regulation Of Glycolytic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Heart Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Heart Contraction -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Isotype Switching -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Isotype Switching -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Membrane Potential -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Mitotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Negative Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Striated Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ph Reduction -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Ph Elevation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Negative Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Smoothened Signaling Pathway -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy, Endolysosome
GO Term: Positive Regulation Of Smoothened Signaling Pathway -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Translational Elongation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Translational Elongation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Translational Fidelity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
