Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Female Somatic Sex Determination -> Biodomain: Developmental Process, Reproductive Process, Cell Cycle, Epigenetic, Synapse
GO Term: Male Somatic Sex Determination -> Biodomain: Developmental Process, Reproductive Process, Epigenetic, Cell Cycle, Synapse
GO Term: Pyrimidine Nucleotide Binding -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Myristoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Phenanthrene-9,10-Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Deoxyhypusine Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Deoxynucleoside Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Synapse
GO Term: Adp-Sugar Diphosphatase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Aminobutyraldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: D-Ribulokinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Protein-Disulfide Reductase (Glutathione) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Mannokinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Trans-2-Enoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: (3R)-Hydroxyacyl-[Acyl-Carrier-Protein] Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glyoxalase Iii Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Nadp Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Snrna-Activating Protein Complex -> Biodomain: RNA Spliceosome, Synapse, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Carbohydrate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Amino Acid Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Carbohydrate Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Nucleoside Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Kinase Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Phosphatase Activator Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Deacetylase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Intermediate Filament Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Synapse, Proteostasis, Autophagy
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Nervous System, Ion Homeostasis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization, Synapse
GO Term: Proprioception -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Nervous System, Behavior, Sensory, Cognition
GO Term: Response To Pheromone -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Endolysosome
GO Term: Centromeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Deaminase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Citrulline Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Inositol Catabolic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Hexose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Hexose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pentose Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse
GO Term: Pentose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Cysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Transsulfuration -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Arachidonate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Cyclooxygenase Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Immune Response, Proteostasis
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis, Synapse
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Myelination, Synapse, Endolysosome, Proteostasis
GO Term: Glycolipid Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Autophagy, Endolysosome, Proteostasis
GO Term: Galactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Fatty Acid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Galactitol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Sulfur Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: L-Lysine Catabolic Process -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pentitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Taurine Metabolic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Oxalate Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Protein Metabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Propionate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Propionate Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Butyrate Metabolic Process -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Urea Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Urate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Organophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ammonia Assimilation Cycle -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic
GO Term: Choline Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Epigenetic
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Calcium-Mediated Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Homeostasis -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Defense Response, Response to External Stimulus, Response to Biotic Stimulus, Response to Stress
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Defense Response, Response to External Stimulus, Response to Biotic Stimulus, Proteostasis
GO Term: Nitrogen Utilization -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Secondary Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: One-Carbon Compound Transport -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Epigenetic
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Synapse
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Oxidative Stress
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Epigenetic
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Endolysosome
