Running with TEMP=0.1, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Embryonic Skeletal Joint Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Structural Stabilization
GO Term: Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Autophagy
GO Term: Seminiferous Tubule Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Purine-Containing Compound Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Purine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Synapse, Oxidative Stress
GO Term: Pyrimidine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyrimidine-Containing Compound Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Pyrimidine-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Purine-Containing Compound Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Cell Cycle
GO Term: Pyrimidine-Containing Compound Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Perineuronal Net -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: Interleukin-23 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Fibroblast Activation -> Biodomain: Immune Response, Proteostasis, Vasculature, Structural Stabilization, Apoptosis
GO Term: T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Inflammation, Autoimmune, Cytokine Signaling, Adaptive Immunity
GO Term: T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Peroxynitrite Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Protein Phosphatase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: L-Dopa Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: L-Tyrosine Binding -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: Emc Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Terminal Button Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Blood Vessel Lumenization -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Ipaf Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nlrp1 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Nlrp3 Inflammasome Complex -> Biodomain: Immune Response, Inflammation, Cell Death, Infection Response, Proteostasis
GO Term: Type B Pancreatic Cell Maturation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Blood Microparticle -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Endothelial Microparticle -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Adp-D-Ribose Binding -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Mono-Adp-D-Ribose Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Poly-Adp-D-Ribose Binding -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Tolerance Induction To Lipopolysaccharide -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Hepatocyte Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Liver Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Neurotransmitter-Gated Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glycine Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Synapse, Proteostasis, Immune Response, Autophagy
GO Term: Caveolin-Mediated Endocytosis -> Biodomain: Endolysosome, Lipid Metabolism, Structural Stabilization, Proteostasis, Vasculature
GO Term: Box H/Aca Rnp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Box H/Aca Scarnp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: N-Acetyl-L-Aspartate-L-Glutamate Ligase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Citrate-L-Glutamate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Oxygen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Establishment Of Protein Localization To Organelle -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Maintenance Of Protein Localization In Organelle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Maintenance Of Protein Location In Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Autophagy, Lipid Metabolism
GO Term: Establishment Of Protein Localization To Peroxisome -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Establishment Of Protein Localization To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Trna-Splicing Ligase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Multinuclear Osteoclast Differentiation -> Biodomain: Immune Response, Endolysosome, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Osteoclast Fusion -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Proteostasis
GO Term: T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Mitotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Meiotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Endolysosome
GO Term: Cellular Response To Methyl Methanesulfonate -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Sodium Dodecyl Sulfate -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Sorbitol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Sorbitol -> Biodomain: Oxidative Stress, Vasculature, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Hydroxyurea -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cellular Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Selenite Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Actinomycin D -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Cellular Response To Actinomycin D -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Cellular Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Dithiothreitol -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Dithiothreitol -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Response To Amitrole -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Calcium Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Cellular Response To Staurosporine -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Cellular Response To Tert-Butyl Hydroperoxide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Diamide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Anisomycin -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Immune Response
GO Term: Cellular Response To Anisomycin -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Cellular Response To Cytochalasin B -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Leptomycin B -> Biodomain: Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic
GO Term: Cellular Response To Rapamycin -> Biodomain: Autophagy, Proteostasis, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Cellular Response To Glutathione -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, DNA Repair, Autophagy
GO Term: Cellular Response To Camptothecin -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Symbiont-Mediated Disruption Of Host Cell Pml Body -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Entry Of Viral Genome Into Host Nucleus Through Nuclear Pore Complex Via Importin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endocytosis Involved In Viral Entry Into Host Cell -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Clathrin-Dependent Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
