Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Vasculature
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Epigenetic, Cell Cycle
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Synapse, Structural Stabilization, Immune Response, Autophagy, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Synapse, Oxidative Stress, Epigenetic
GO Term: Osmosensor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Vasculature
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Apoptosis, Vasculature
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Epigenetic
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Signal Recognition Particle Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, RNA Spliceosome
GO Term: Signal Sequence Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Synapse
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Laminin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Protein Kinase C Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Autophagy, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Gtpase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Gtpase Activator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Signaling Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Frizzled Binding -> Biodomain: Synapse, Signal Transduction, Neurodevelopment, Epigenetic, Cell Adhesion
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Notch Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Patched Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Smoothened Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Toll Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Epigenetic, Cell Cycle
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Cytokine Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Cell Cycle
GO Term: Erythropoietin Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Growth Hormone Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Synapse
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Synapse, Epigenetic
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Apoptosis
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Endolysosome
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Proteostasis, Synapse, Epigenetic
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Prolactin Receptor Binding -> Biodomain: Synapse, Immune Response, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Insulin Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Epigenetic, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Signaling Receptor Binding, Immune Response, Binding
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Signaling Pathways, Neuronal Function, Neurotrophic Signaling, Synaptic Plasticity
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Immune Response
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Epigenetic
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Integrin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hormone Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Epigenetic, Immune Response
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Immune Response
GO Term: Structural Molecule Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
