Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Type I Interferon Receptor Activity -> Biodomain: Immune Response, Signaling, Receptor Activity, Cytokine Signaling, Inflammation
GO Term: Type Ii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Cell Cycle
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Apoptosis
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Synapse
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Apoptosis
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Oxidative Stress, Apoptosis, Lipid Metabolism, Vasculature, Mitochondrial Metabolism
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Synapse, Oxidative Stress
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Bombesin Receptor Activity -> Biodomain: Signal Transduction, Neurotransmission, Hormone Activity, Cell Differentiation, Receptor Signaling
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Calcitonin Receptor Activity -> Biodomain: Signal Transduction, Calcium Homeostasis, Receptor Activity, Peptide Binding, Endocrine System
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Signal Transduction, Immune Response, Vasculature, Proteostasis
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Neuronal Signaling, GPCR Signaling, Epigenetic, Neuronal Function
GO Term: Icosanoid Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Signal Transduction, Endocrine, Cardiovascular, Cellular Response
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis, Vasculature
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Endocrine, Hormone Signaling, GPCR Signaling, Reproductive System, Cell Signaling
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Glucagon Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Oxidative Stress
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Signaling Pathways, Metabolism, Immune Response, Endocrine, Receptor Signaling
GO Term: Corticotropin Receptor Activity -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Apoptosis, Epigenetic
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Signal Transduction, Proteostasis, Neuroendocrine Signaling, Neural Function & Plasticity
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Endocrine, Pigmentation Pathway, GPCR Signaling, Immune Response, Lipid Metabolism
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Neurotransmission, GPCR Signaling, Receptor Signaling, Nervous System
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Structural Stabilization
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Neural Function, Signal Transduction, Neurotransmitter Signaling, Cell Communication
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Synapse, Lipid Metabolism
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Immune Response, Vasculature, Cell Cycle
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Endolysosome, Oxidative Stress, Proteostasis, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Vasculature
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Apoptosis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Insulin Receptor Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Endolysosome, Mitochondrial Metabolism
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Cell Cycle, Signal Transduction, Vasculature, Receptor Binding & Membrane Processes, Cellular Processes
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Receptor Tyrosine Kinase, Immune Response, Signal Transduction, Growth Factor Signaling, Cell Proliferation
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Cell Cycle
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Osmosensor Activity -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Signaling, Axon Guidance, Neuronal Signaling, Cell Adhesion and Motility, Receptor Activity
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, Autophagy, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Cancer Pathways, Structural Stabilization, Proteostasis
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Cell Cycle
GO Term: Protein Kinase C Binding -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Endolysosome, Autophagy, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Endolysosome, Synapse
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Synapse
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Synapse
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Vasculature
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Autophagy
GO Term: Frizzled Binding -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Notch Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Proteostasis
GO Term: Patched Binding -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Synapse, Structural Stabilization
GO Term: Smoothened Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis, Apoptosis
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Vasculature
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Growth Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Inflammation, Antigen Processing and Presentation, Cell Communication
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Receptor Signaling, Cell Survival, Hematopoiesis, Signal Transduction
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Endolysosome
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic, Endolysosome
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Structural Stabilization
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Epigenetic
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Epigenetic, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Apoptosis, Immune Response, Cell Cycle, Autophagy
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Endolysosome
GO Term: Hormone Activity -> Biodomain: Signaling, Receptor Binding, Cell Communication, Regulation, Endocrine System
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Neuropeptide Hormone Activity -> Biodomain: Hormone Activity, Neuropeptide, Synapse, Peptide Binding, Signaling
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Synapse
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Proteostasis
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Endolysosome, Immune Response
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
