Running with TEMP=0.9, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Inhibin Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Type I Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Type Iii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Structural Stabilization
GO Term: Picln-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Smn-Gemin2 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Smn-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Gamma-Glutamyl-Peptidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Piecemeal Microautophagy Of The Nucleus -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Nucleosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Cholesterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Histone H4K16 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Scrib-Apc-Beta-Catenin Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Aryl Hydrocarbon Receptor Complex -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Epigenetic
GO Term: Cytosolic Aryl Hydrocarbon Receptor Complex -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Nuclear Aryl Hydrocarbon Receptor Complex -> Biodomain: Epigenetic, Immune Response, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Synapse, Vasculature
GO Term: Positive Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Basement Membrane Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Secretory Granule Lumen -> Biodomain: Immune Response, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glutathione Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Response To Histamine -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Endolysosome
GO Term: Recycling Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Caffeine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Trimethylamine Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Endothelin Maturation -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Set3 Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Lipid Metabolism, Oxidative Stress
GO Term: Nad-Dependent Protein Lysine Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Mitochondrial Protein Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Peptidyl-Lysine Deacetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Iron Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Immunoglobulin Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Fc-Gamma Receptor I Complex Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Meiotic Nuclear Membrane Microtubule Tethering Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Apoptosis
GO Term: Subapical Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Vasculature
GO Term: 1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylinositol 3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Somatic Stem Cell Population Maintenance -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Oxidative Stress, Immune Response, Autophagy
GO Term: Negative Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Oxidative Stress, Apoptosis, Vasculature, Immune Response
GO Term: Positive Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Apoptosis, Vasculature
GO Term: Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Autophagy
GO Term: Negative Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Vasculature
GO Term: Leading Edge Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Proteostasis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Histone Deacetylase Regulator Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Histone Acetyltransferase Regulator Activity -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Histone Acetyltransferase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Sperm-Egg Recognition -> Biodomain: Cell Adhesion, Cell Communication, Cell Surface Receptor Signaling, Cell Membrane, Reproduction
GO Term: Sperm Entry -> Biodomain: Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Female Pronucleus Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Male Pronucleus Assembly -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Sperm Dna Decondensation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Embryonic Heart Tube Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cardiocyte Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Embryonic Heart Tube Anterior/Posterior Pattern Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Brahma Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Interchromatin Granule -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Nuclear Speck Organization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Establishment Or Maintenance Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Establishment Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Sperm Dna Condensation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy
GO Term: Behavioral Response To Nicotine -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Histone Methyltransferase Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Esc/E(Z) Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Apoptosis
GO Term: Fact Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Prc1 Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Operant Conditioning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Limb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Apoptosis
GO Term: Post-Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Myelination
GO Term: Post-Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Exon-Exon Junction Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Tube Size -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Embryonic Hemopoiesis -> Biodomain: Immune Response, Developmental Processes, Cell Cycle, Vasculature, Apoptosis
GO Term: Post-Embryonic Hemopoiesis -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Histone Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H3S10 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Social Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Immune Response, Proteostasis
GO Term: Rb-E2F Complex -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Proteostasis
GO Term: Regulatory Ncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Mirna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy, Proteostasis
GO Term: Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Sirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Mirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Cell Competition In A Multicellular Organism -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Glutamate-Cysteine Ligase Catalytic Subunit Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ectopic Germ Cell Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ionotropic Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Neurodegeneration, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Vitamin A Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Autophagy
GO Term: Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Dopamine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein-Arginine Omega-N Monomethyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Metal Binding and Homeostasis, APP Metabolism
GO Term: Protein-Arginine Omega-N Asymmetric Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Protein-Arginine Omega-N Symmetric Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Apoptosis, DNA Repair, Cell Cycle
GO Term: Peptidyl-Arginine N-Methylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Alpha-1,4-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Structural Stabilization, APP Metabolism
GO Term: Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Udp-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Udp-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Udp-Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: Ciliary Rootlet -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Glutamate Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ionotropic Glutamate Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: G Protein-Coupled Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Nuclear Glucocorticoid Receptor Binding -> Biodomain: Epigenetic, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: External Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Gonad Morphogenesis -> Biodomain: Organ Morphogenesis, Cell Differentiation, Developmental Processes, Reproductive System, Tissue Development
GO Term: Multicellular Organism Growth -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Organ Growth -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Autophagy, Epigenetic
GO Term: Nua4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
