Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Metanephric Renal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Metanephric S-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, DNA Repair
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephric Renal Vesicle Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Autophagy
GO Term: Metanephric Connecting Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Metanephric Distal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Metanephric Nephron Tubule Formation -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Vasculature
GO Term: Positive Regulation Of Metanephric Glomerulus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Metanephric Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Glomerular Metanephric Mesangial Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Metanephric Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Proteostasis, Epigenetic
GO Term: Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Metanephric Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Clathrin Coat Disassembly -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Vesicle Uncoating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Volume-Sensitive Chloride Channel Activity -> Biodomain: Vasculature, Oxidative Stress, Synapse, Endolysosome, Structural Stabilization
GO Term: Signal Transduction By P53 Class Mediator -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, DNA Repair
GO Term: Udp-Galactose Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Lactam Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Modified Amino Acid Binding -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Rescue Of Stalled Ribosome -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Naadp-Sensitive Calcium-Release Channel Activity -> Biodomain: Endolysosome, Autophagy, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Response To Anesthetic -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Vasculature
GO Term: Tricarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Histone H3T3 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Chromosome Passenger Complex Localization To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Ptw/Pp1 Phosphatase Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Circulatory System Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Medium-Term Memory -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Protein Activation Cascade -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, Cell Cycle
GO Term: Blood Coagulation, Common Pathway -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Blood Coagulation, Fibrin Clot Formation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Trc Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Plus-End-Directed Vesicle Transport Along Microtubule -> Biodomain: Synapse, Endolysosome, Autophagy, Tau Homeostasis, Proteostasis
GO Term: Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Minus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Tau Homeostasis, Synapse, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Plus-End-Directed Organelle Transport Along Microtubule -> Biodomain: Synapse, Tau Homeostasis, Myelination, Autophagy, Cell Cycle
GO Term: Flavin Adenine Dinucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Flavin Adenine Dinucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Microtubule Anchoring At Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Response To Intra-S Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Response To G1 Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Msl Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Ammonium Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Methylammonium Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Mesenchymal Stem Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Autophagy, Structural Stabilization
GO Term: Embryonic Skeletal Joint Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Vasculature, Structural Stabilization, Epigenetic
GO Term: Rho-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Cell Cycle, Immune Response
GO Term: Seminiferous Tubule Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Immune Response
GO Term: Purine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Purine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, RNA Spliceosome, Lipid Metabolism
GO Term: Pyrimidine-Containing Compound Metabolic Process -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Pyrimidine-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Pyrimidine-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Purine-Containing Compound Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, DNA Repair, Epigenetic
GO Term: Pyrimidine-Containing Compound Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Epigenetic
GO Term: Perineuronal Net -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-23 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Vasculature
GO Term: Fibroblast Activation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Oxidative Stress, Epigenetic
GO Term: T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Peroxynitrite Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Protein Phosphatase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: L-Dopa Binding -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: L-Tyrosine Binding -> Biodomain: Synapse, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Emc Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Terminal Button Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Blood Vessel Lumenization -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Ipaf Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Nlrp1 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Cell Death, Proteostasis, Autophagy
GO Term: Nlrp3 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Type B Pancreatic Cell Maturation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Blood Microparticle -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Endothelial Microparticle -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Adp-D-Ribose Binding -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Mono-Adp-D-Ribose Binding -> Biodomain: DNA Repair, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Poly-Adp-D-Ribose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Apoptosis, Proteostasis
GO Term: Tolerance Induction To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Liver Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Vasculature, Cell Cycle, Epigenetic
GO Term: Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Immune Response, Oxidative Stress, Endolysosome
GO Term: Neurotransmitter-Gated Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glycine Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Caveolin-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Box H/Aca Rnp Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Box H/Aca Scarnp Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: N-Acetyl-L-Aspartate-L-Glutamate Ligase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Citrate-L-Glutamate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Proteostasis
GO Term: Establishment Of Protein Localization To Organelle -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Maintenance Of Protein Localization In Organelle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Establishment Of Protein Localization To Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Maintenance Of Protein Location In Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Protein Localization To Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Cell Cycle
GO Term: Maintenance Of Protein Location In Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Establishment Of Protein Localization To Peroxisome -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Localization To Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Establishment Of Protein Localization To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Trna-Splicing Ligase Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Multinuclear Osteoclast Differentiation -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Cell Cycle, Autophagy
GO Term: Osteoclast Fusion -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Mitotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Meiotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Proteostasis
GO Term: Protein Localization To Cell Cortex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Methyl Methanesulfonate -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Sodium Dodecyl Sulfate -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Sorbitol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Sorbitol -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Hydroxyurea -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Selenite Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Response To Actinomycin D -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Cellular Response To Actinomycin D -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Cisplatin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Immune Response
GO Term: Cellular Response To Cisplatin -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Dithiothreitol -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Response To Dithiothreitol -> Biodomain: Proteostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Amitrole -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Calcium Ion Starvation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Staurosporine -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Cellular Response To Tert-Butyl Hydroperoxide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Diamide -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Anisomycin -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Cellular Response To Anisomycin -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Cellular Response To Cytochalasin B -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Cellular Response To Leptomycin B -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Rapamycin -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Glutathione -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Camptothecin -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Symbiont-Mediated Disruption Of Host Cell Pml Body -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Entry Of Viral Genome Into Host Nucleus Through Nuclear Pore Complex Via Importin -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Endocytosis Involved In Viral Entry Into Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Clathrin-Dependent Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
