Running with TEMP=0.9, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Skeletal Muscle Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Symmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Maintenance Of Cell Number -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Macromolecule Deacylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Macromolecule Depalmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Protein Insertion Into Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Vasculature
GO Term: Import Across Plasma Membrane -> Biodomain: Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Cell Aggregation -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Cell Cycle
GO Term: Fast, Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Vesicle Trafficking, Calcium Signaling, Neuronal Signaling, Exocytosis
GO Term: Cerebellar Neuron Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cellular Response To Interleukin-8 -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Response To Interleukin-7 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Cellular Response To Interleukin-7 -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Fbxo Family Protein Binding -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: Inorganic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Skin Epidermis Development -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Mechanosensitive Potassium Channel Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Synapse, Proteostasis
GO Term: Biofilm Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Golgi Apparatus Subcompartment -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, APP Metabolism, Autophagy
GO Term: Xenophagy -> Biodomain: Autophagy, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Presynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Global Gene Silencing By Mrna Cleavage -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Membrane Protein Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, APP Metabolism, Myelination
GO Term: Plasma Membrane Protein Complex -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, APP Metabolism, Synapse
GO Term: Outer Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Inner Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Respiratory Chain Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Non-Motile Cilium Membrane -> Biodomain: Structural Stabilization, Endolysosome, Synapse, Lipid Metabolism, Proteostasis
GO Term: Mrna Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Nitrite Reductase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Vasculature
GO Term: Neurotransmitter Reuptake -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Nuclear Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Spontaneous Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Modulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Evoked Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Signal Transduction, Cell Communication, Nervous System
GO Term: Trans-Synaptic Protein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: Bmp Receptor Activity -> Biodomain: Signal Transduction, Cell Surface Receptor, Kinase/Phosphatase, Cell Differentiation, Cell Growth
GO Term: Endoplasmic Reticulum Tubular Network Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Subcompartment -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Endolysosome
GO Term: Modulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Intestinal Folate Absorption -> Biodomain: Vasculature, Epigenetic, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Presynaptic Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Presynaptic Active Zone Cytoplasmic Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Postsynaptic Recycling Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Folate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Postsynaptic Density Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Protein Transport Along Microtubule -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, APP Metabolism, Myelination
GO Term: Postsynaptic Early Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Postsynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Podocyte Foot -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Sequence-Specific Single Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Cellular Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Extrinsic Component Of Synaptic Vesicle Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Lytic Vacuole Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Hcn Channel Complex -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Structural Stabilization, Mitochondrial Metabolism
GO Term: Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Membrane Microdomain -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Actin-Based Cell Projection -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Cluster Of Actin-Based Cell Projections -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Endolysosome
GO Term: Intramembranous Bone Growth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Vasculature
GO Term: Bone Growth -> Biodomain: Structural Stabilization, Vasculature, Developmental Process, Organ Growth, Skeletal System
GO Term: Cellular Oxidant Detoxification -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Action Potential Propagation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Epididymosome -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Vasculature
GO Term: Vesicle-Mediated Transport To The Plasma Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Neurotransmitter Receptor Transport To Plasma Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Vasculature
GO Term: Neurotransmitter Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Structural Constituent Of Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Myelination
GO Term: Maintenance Of Postsynaptic Specialization Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Structural Constituent Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Synapse Pruning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Cell Junction Organization, Cellular Component Organization, Proteostasis
GO Term: Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Extrinsic Component Of Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Extrinsic Component Of Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Extrinsic Component Of Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Cardiac Muscle Cell Action Potential -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Vasculature, Oxidative Stress
GO Term: Regulation Of Membrane Depolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Regulation Of Membrane Repolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Av Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Purkinje Myocyte Action Potential -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Lipid Metabolism
GO Term: Regulation Of Cardiac Muscle Cell Action Potential Involved In Regulation Of Contraction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Synapse, Cell Cycle, Apoptosis
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Membrane Depolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Structural Constituent Of Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Structural Constituent Of Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Retrograde Trans-Synaptic Signaling By Endocannabinoid -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Retrograde Trans-Synaptic Signaling By Nitric Oxide, Modulating Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Signal Transduction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Presynaptic Signal Transduction -> Biodomain: Synapse, Signal Transduction, Neuronal Signaling, Cellular Signaling, Neuronal Function
GO Term: Axonal Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Anterograde Dendritic Transport -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, APP Metabolism
GO Term: Dendritic Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retrograde Trans-Synaptic Signaling By Trans-Synaptic Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neurotransmitter Receptor Transport, Postsynaptic Endosome To Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Structural Stabilization
GO Term: Postsynaptic Recycling Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Presynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retrograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Autophagy, Proteostasis
GO Term: Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Anterograde Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Extracellular Matrix Of Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Perisynaptic Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Neurotransmitter Receptor Transport Postsynaptic Membrane To Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Neurotransmitter Receptor Transport To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Anterograde Dendritic Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Postsynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Excitatory Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Inhibitory Chemical Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glutamatergic Synapse -> Biodomain: Synapse, Signaling, Neuronal Signaling, Neuronal Function, Structural Stabilization
GO Term: Cholinergic Synapse -> Biodomain: Synapse, Neuronal Processes, Neurotransmission, Muscle Function, Structural Stabilization
GO Term: Gaba-Ergic Synapse -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Symmetric, Gaba-Ergic, Inhibitory Synapse -> Biodomain: Synapse, Neurotransmission, Neuronal Signaling, Neuronal Structure, Neurotransmitter Systems
GO Term: Neuron To Neuron Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Asymmetric, Glutamatergic, Excitatory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Modification Of Synapse Structure, Modulating Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Nmda Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Apoptosis
GO Term: Ampa Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Neuronal Dense Core Vesicle -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Extrinsic Component Of Postsynaptic Early Endosome Membrane -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Autophagy, Proteostasis
GO Term: Vesicle-Mediated Transport In Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Modification Of Postsynaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neuronal Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Neuronal Dense Core Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Neuronal Dense Core Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Maintenance Of Protein Localization At Cell Tip -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Perinuclear Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Vesicle Tethering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Vesicle Tethering Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Ceramide Floppase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Sphingolipid Translocation -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Apoptosis, Myelination
GO Term: Ceramide Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Vesicle Tethering To Golgi -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Vesicle Tethering To Endoplasmic Reticulum -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Coat Assembly Involved In Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Vesicle Scission -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Presynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Postsynapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Regulation Of Postsynaptic Membrane Neurotransmitter Receptor Levels -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Mitochondrion-Derived Vesicle -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mitochondrion To Lysosome Vesicle-Mediated Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Histone-Dependent Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Borc Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Supramolecular Complex -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Postsynaptic Specialization Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Axonal Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, RNA Spliceosome
GO Term: Postsynaptic Specialization, Intracellular Component -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Postsynaptic Density, Intracellular Component -> Biodomain: Synapse, Signal Transduction, Structural Stabilization, Cytoskeletal Organization, Proteostasis
GO Term: Calcium Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Ligand-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Ligand-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Channel Activator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Potassium Channel Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Oxidative Stress
GO Term: Ion Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Apoptosis, Myelination
GO Term: Microtubule-Based Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy, Structural Stabilization
