Running with TEMP=0.1, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Integrin Alpha2-Beta1 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Integrin Alpha3-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Integrin Alpha4-Beta1 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Integrin Alpha4-Beta7 Complex -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Cell Cycle
GO Term: Chemotaxis To Arachidonate -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inhibin-Betaglycan-Actrii Complex -> Biodomain: Signaling, Receptor Complexes, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Integrin Alpha5-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Integrin Alpha6-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Integrin Alpha6-Beta4 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Integrin Alpha7-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Cell Cycle
GO Term: Integrin Alpha8-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Integrin Alpha9-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Integrin Alpha10-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Synapse
GO Term: Integrin Alpha11-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Integrin Alphav-Beta1 Complex -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Integrin Alphav-Beta3 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Integrin Alphav-Beta5 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Integrin Alphav-Beta6 Complex -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Integrin Alphav-Beta8 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Integrin Alphal-Beta2 Complex -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Endolysosome
GO Term: Integrin Alpham-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Integrin Alphax-Beta2 Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: U11/U12 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Response To Prostaglandin E -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Vasculature
GO Term: Response To Prostaglandin F -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Response To Gonadotropin -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To Luteinizing Hormone -> Biodomain: Cell Cycle, Proteostasis, Mitochondrial Metabolism, Apoptosis, Epigenetic
GO Term: Monoatomic Ion Channel Complex -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Oxidative Stress, Vasculature
GO Term: Cation Channel Complex -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Calcium Channel Complex -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Potassium Channel Complex -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Apoptosis
GO Term: Sodium Channel Complex -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Chloride Channel Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Methyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Methylosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Inhibin Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Type I Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Type Iii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Epigenetic, Apoptosis
GO Term: Picln-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Smn-Gemin2 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Smn-Sm Protein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Gamma-Glutamyl-Peptidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Piecemeal Microautophagy Of The Nucleus -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Nucleosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Cholesterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Structural Stabilization, Autophagy
GO Term: Histone H4K16 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Scrib-Apc-Beta-Catenin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Endolysosome
GO Term: Aryl Hydrocarbon Receptor Complex -> Biodomain: Oxidative Stress, Immune Response, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Cytosolic Aryl Hydrocarbon Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Nuclear Aryl Hydrocarbon Receptor Complex -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Iron Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Basement Membrane Disassembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Secretory Granule Lumen -> Biodomain: Proteostasis, Synapse, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Glutathione Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Histamine -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Oxidative Stress
GO Term: Recycling Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Caffeine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Trimethylamine Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Vasculature, Metal Binding and Homeostasis
GO Term: Endothelin Maturation -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Set3 Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Protein Folding In Endoplasmic Reticulum -> Biodomain: Proteostasis, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis, Immune Response
GO Term: Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Nad-Dependent Protein Lysine Deacetylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Mitochondrial Protein Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Peptidyl-Lysine Deacetylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Iron Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Immunoglobulin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Fc-Gamma Receptor I Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Meiotic Nuclear Membrane Microtubule Tethering Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Subapical Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: 1-Phosphatidylinositol-4-Phosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylinositol 3-Kinase Regulator Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Apoptosis, Immune Response
GO Term: Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Positive Regulation Of Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Vasculature, Proteostasis
GO Term: Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Positive Regulation Of Rho Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Immune Response
GO Term: Leading Edge Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Immune Response
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Histone Deacetylase Regulator Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Histone Acetyltransferase Regulator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone Acetyltransferase Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Sperm-Egg Recognition -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Sperm Entry -> Biodomain: Endolysosome, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Female Pronucleus Assembly -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Male Pronucleus Assembly -> Biodomain: Nuclear Organization, Reproduction, Fertilization, Chromatin Organization, Embryonic Development
GO Term: Sperm Dna Decondensation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Embryonic Heart Tube Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Cardiocyte Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Embryonic Heart Tube Anterior/Posterior Pattern Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Brahma Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Interchromatin Granule -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Nuclear Speck Organization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Axoneme Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Establishment Or Maintenance Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Establishment Of Apical/Basal Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Sperm Dna Condensation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Behavioral Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Histone Methyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, APP Metabolism
GO Term: Esc/E(Z) Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Fact Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Prc1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Operant Conditioning -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Myelination, Structural Stabilization
GO Term: Limb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, RNA Spliceosome
GO Term: Post-Embryonic Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Post-Embryonic Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Forelimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Myelination
GO Term: Hindlimb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Exon-Exon Junction Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis
GO Term: Regulation Of Tube Size -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Embryonic Hemopoiesis -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Post-Embryonic Hemopoiesis -> Biodomain: Immune Response, Hemopoiesis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Histone Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3S10 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Social Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Immune Response, Proteostasis
GO Term: Rb-E2F Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Apoptosis
GO Term: Regulatory Ncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Mirna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response
GO Term: Sirna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Apoptosis
GO Term: Mirna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Cell Competition In A Multicellular Organism -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Glutamate-Cysteine Ligase Catalytic Subunit Binding -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis, DNA Repair
GO Term: Ectopic Germ Cell Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ionotropic Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Vitamin A Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Dopamine Binding -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Protein-Arginine Omega-N Monomethyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Protein-Arginine Omega-N Asymmetric Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, RNA Spliceosome
GO Term: Protein-Arginine Omega-N Symmetric Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome, Immune Response
GO Term: Peptidyl-Arginine N-Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Alpha-1,4-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Udp-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Udp-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Myelination, Immune Response
GO Term: Udp-Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Ciliary Rootlet -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Ionotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Neurodegeneration, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Nuclear Glucocorticoid Receptor Binding -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: External Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Gonad Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Multicellular Organism Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Organ Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Nua4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
