Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Signaling -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Signaling -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Signal Release -> Biodomain: Synapse, Immune Response, Vasculature, Autophagy, Proteostasis
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Trapp Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Establishment Of Cell Polarity -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Ccr4-Not Complex -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle, Apoptosis
GO Term: Ccr4-Not Core Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Unknown
GO Term: Z Disc -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Immune Response
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Unknown, Synapse
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Unknown, Extracellular Matrix
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Cell Projection Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Myelination
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Cell Cycle
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Microspike Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Unknown
GO Term: Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Proteostasis
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Proteostasis
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Actin Modification -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Apoptosis
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Muscle Filament Sliding -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Immune Response
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Cell Cycle, Immune Response
GO Term: Desmosome -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Insulin Processing -> Biodomain: Proteostasis, APP Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Peptide Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Hemopoiesis -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Cell Cycle
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Vasopressin Secretion -> Biodomain: Vasculature, Proteostasis, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Epigenetic, Synapse
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Membrane Coat -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Clathrin Coat -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Ap-4 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Synapse, Autophagy, APP Metabolism, Proteostasis
GO Term: Copi Vesicle Coat -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Mitochondrial Metabolism
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, APP Metabolism
GO Term: Copi-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Immune Response, Autophagy
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Secretory Granule -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Vasculature
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Myelination, Vasculature
GO Term: Regulation Of Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Pancreatic Juice Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Signaling Receptor Complex, Proteostasis, Immune Response, Synapse, Vasculature
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Platelet Activation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Endolysosome, Apoptosis
GO Term: Troponin C Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Vasculature, Synapse
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Unknown
GO Term: Filopodium -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Synapse, Vasculature, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Unknown
GO Term: Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Melatonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
