Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Cytokine Signaling, Cell Surface Receptor Activity, Signal Transduction
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Synapse, Proteostasis
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Immune Response, Synapse, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress
GO Term: Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Signal Transduction, Neurotransmission, GPCR Signaling, Vasculature, Cell Surface Receptor Signaling
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Signaling Receptor Activity, Cell Signaling, Vasculature, Immune Response, Homeostasis
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Calcitonin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Vasculature, Apoptosis
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Cytokine Receptor Activity, Signaling Receptor Activity, G Protein-Coupled Receptor Activity, Transmembrane Signaling Receptor Activity
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Immune Response
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Prostaglandin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Vasculature, Signaling, Lipid Metabolism, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Endocrine, Signal Transduction, GPCR Signaling, Cellular Response, Reproductive System
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Endocrine, Signaling, Receptor, Metabolism, Cell Growth and Proliferation
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Vasculature, Oxidative Stress
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Autophagy, Immune Response
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Proteostasis
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Ion Channel, Receptor, Neurotransmission, Neuronal Signaling
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Metal Binding and Homeostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, APP Metabolism
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Melanocortin Receptor Activity -> Biodomain: Signaling Receptor Activity, Transmembrane Signaling Receptor Activity, Molecular Transducer Activity, G Protein-Coupled Receptor Activity, Peptide Receptor Activity
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Autophagy
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Proteostasis
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Signaling Receptor, Hormone Activity, GPCR Activity, Transmembrane Signaling, Molecular Transducer
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Signaling, Neurotransmitter Receptors, Endocrine System, GPCR Signaling, Hormone Activity
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Signaling, Vasculature, Immune Response, Synapse, Endocrine
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Vasculature, Cell Cycle
GO Term: Ephrin Receptor Activity -> Biodomain: Signaling, Kinase Activity, Transmembrane Signaling, Signal Transduction, Tyrosine Kinase Activity
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle  
Proteostasis  
Immune Response  
Apoptosis  
Epigenetic
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Synapse
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Insulin Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Signaling Receptor Activity, Kinase Activity, Catalytic Activity
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Immune Response, Autophagy, Epigenetic
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Osmosensor Activity -> Biodomain: Vasculature, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, RNA Spliceosome, APP Metabolism, Synapse, Structural Stabilization
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic, Apoptosis
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Signaling, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Protein Kinase C Binding -> Biodomain: Apoptosis, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Autophagy, Proteostasis
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Endolysosome
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Synapse
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Vasculature, Apoptosis
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Synapse, Structural Stabilization
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Signaling Receptor Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Epigenetic, Cell Cycle
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Synapse, Proteostasis, Structural Stabilization
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Frizzled Binding -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Notch Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Patched Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Vasculature
GO Term: Smoothened Binding -> Biodomain: Signaling Pathway, Receptor Binding, GPCR Signaling, Cell Cycle, Epigenetic
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Cytokine Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Synapse
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Cytokine Signaling, Neuroinflammation, Neuroprotection, Cell Survival, Neuronal Development
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Oxidative Stress
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Cell Activation, Hematopoiesis, Receptor Binding
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Growth Hormone Receptor Binding -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Signaling, Receptor Binding, Cytokine Signaling Pathway, Innate Immunity
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Cytokine Receptor Binding, Signaling Receptor Binding, Inflammatory Response, Cell Surface Receptor Binding
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Endolysosome
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Autophagy, Proteostasis
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cell Surface Receptor, Signal Transduction
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Autophagy, Cell Cycle
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Growth Factor Receptor Binding, Signaling Receptor Binding, Immune Response, Proteostasis
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Vasculature, Synapse
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Hormone Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Immune Response
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Signaling, Endocrine, Hypothalamus-Pituitary Axis, Reproductive Hormones, Receptor Signaling
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Hormone Activity, Receptor Ligand Activity, Signaling, Neuropeptide Activity, Molecular Function Regulator
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Lipid Metabolism, Proteostasis
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Immune Response, Endolysosome, Synapse
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
