Running with TEMP=0.5, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Cell Signaling, Apoptosis, Cell Cycle, Epigenetic
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Signal Transduction, Cell Communication, Cell Surface, Neurotransmission, Hormone Signaling
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Apoptosis
GO Term: Adrenergic Receptor Activity -> Biodomain: Oxidative Stress, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Receptor Activity, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Vasculature, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Calcitonin Receptor Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Autophagy, Vasculature
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Endolysosome
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Autophagy
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Signaling, Molecular Signaling, Lipid Metabolism, Immune Response
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy, Apoptosis
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Glucagon Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Histamine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Ion Channel, Neurotransmission, Neuronal Signaling, Structural Stabilization
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Leukotriene Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Melanocortin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature
GO Term: Corticotropin Receptor Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Vasculature
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Autophagy
GO Term: Somatostatin Receptor Activity -> Biodomain: Hormone Activity, GPCR Activity, Peptide Binding, Receptor Activity, Cell Signaling
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Receptor Signaling, Endocrine, Neurotransmitter Signaling, GPCR Signaling, Signaling Pathways
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Signal Transduction, Cell Proliferation, Receptor Signaling, Growth Factor Signaling, Tissue Development
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Vasculature, Apoptosis
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Signaling, Vasculature, Kinase, Cell Cycle, Immune Response
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Oxidative Stress
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Vasculature, Apoptosis
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Cell Cycle, Immune Response
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Osmosensor Activity -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Oxidative Stress, Structural Stabilization
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Structural Stabilization, Proteostasis
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Apoptosis
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, APP Metabolism
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Cell Adhesion, Vasculature, Synapse, Proteostasis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Signal Transduction, Receptor Signaling, Protein Kinase Activity, Intracellular Signaling, Protein Phosphorylation
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Signal Transduction, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Immune Response, Cell Cycle, Autophagy, Vasculature, Synapse
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Cell Cycle
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Lipid Metabolism
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Gtpase Inhibitor Activity -> Biodomain: Cell Cycle, Immune Response, Synapse, Endolysosome, Autophagy
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Signaling Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Frizzled Binding -> Biodomain: Signal Transduction, Cell Communication, Development, Receptor Binding, Cell Proliferation
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Synapse, Structural Stabilization, Proteostasis
GO Term: Notch Binding -> Biodomain: Signal Transduction, Developmental Biology, Cell Surface Receptor Signaling, Cell Differentiation, Cancer Biology
GO Term: Patched Binding -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Structural Stabilization
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Signal Transduction, Kinase Signaling, Receptor Signaling, Cell Communication, Cell Surface Receptor Signaling
GO Term: Smoothened Binding -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy, Epigenetic
GO Term: Toll Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Erythropoietin Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Growth Hormone Receptor Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Oxidative Stress
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Immune Response, Vasculature, Endolysosome, Autophagy
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Insulin Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Endolysosome
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Myelination, Apoptosis, Structural Stabilization
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Growth Factor Signaling, Cell Growth and Proliferation, Cell Migration and Motility, Angiogenesis, Wound Healing
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Autophagy, Proteostasis
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Cell Cycle
GO Term: Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Synapse, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Immune Response, Vasculature
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Proteostasis
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Synapse
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Apoptosis, Vasculature, Proteostasis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Immune Response, Lipid Metabolism, Vasculature
