Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Protein Glycosylation, APP Metabolism, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Neurofilament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Neurofilament Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Angiogenesis Involved In Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Mammary Gland Involution -> Biodomain: Apoptosis, Autophagy, Proteostasis, Immune Response, Structural Stabilization
GO Term: Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Positive Regulation Of Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Proteostasis
GO Term: Post-Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Unknown
GO Term: Spemann Organizer Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Spemann Organizer Formation At The Anterior End Of The Primitive Streak -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Unknown, Proteostasis
GO Term: Uterus Development -> Biodomain: Reproduction, Organ Morphology, Developmental Biology, Hormone Signaling, Cell Differentiation
GO Term: Oviduct Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Cervix Development -> Biodomain: Reproductive System, Structural Stabilization, Cell Cycle, Epigenetic, Vasculature
GO Term: Vagina Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Unknown
GO Term: Canonical Wnt Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Micturition -> Biodomain: Synapse, Myelination, Proteostasis, Vasculature, Structural Stabilization
GO Term: Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Resting Membrane Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Excitatory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Inhibitory Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Membrane Hyperpolarization -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response, Apoptosis
GO Term: Eye Blink Reflex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Smooth Muscle Contraction Involved In Micturition -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Unknown
GO Term: Synaptic Transmission Involved In Micturition -> Biodomain: Synapse, Vasculature, Proteostasis, Autophagy, Oxidative Stress
GO Term: Circadian Temperature Homeostasis -> Biodomain: Vasculature, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Relaxation Of Vascular Associated Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Auditory Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Unknown
GO Term: Molecular Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Cell Cycle
GO Term: Kinocilium -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Cell Cycle
GO Term: Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cytoskeletal Rearrangement Involved In Phagocytosis, Engulfment -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Generation Of Ovulation Cycle Rhythm -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Inner Ear Receptor Cell Differentiation -> Biodomain: Sensory Systems, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Auditory Receptor Cell Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Vestibular Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Inner Ear Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Vestibular Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Apoptosis, Unknown
GO Term: Inner Ear Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Growth Hormone Secretion -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Growth Hormone Secretion -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Vasculature, Epigenetic
GO Term: Negative Regulation Of Growth Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Synapse, Immune Response
GO Term: Somatotropin Secreting Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Vasculature
GO Term: Prolactin Secreting Cell Differentiation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Epigenetic
GO Term: Corticotropin Hormone Secreting Cell Differentiation -> Biodomain: Endocrine, Cell Differentiation, Pituitary, Signaling, Stress Response
GO Term: Thyroid-Stimulating Hormone-Secreting Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Somatotropin Secreting Cell Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Endolysosome, Immune Response
GO Term: Prepulse Inhibition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Maternal Process Involved In Female Pregnancy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Embryonic Process Involved In Female Pregnancy -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Maternal Process Involved In Parturition -> Biodomain: Lipid Metabolism, Immune Response, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Proteostasis, Cell Cycle
GO Term: Microtubule-Based Peroxisome Localization -> Biodomain: Structural Stabilization, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Platelet Dense Granule Organization -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Urinary Bladder Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Unknown
GO Term: Phospholipase C-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Dopamine Metabolism, Neurotransmitter Signaling Pathways, Proteostasis, Endolysosome
GO Term: Subpallium Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Synapse
GO Term: Regulation Of Timing Of Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Timing Of Subpallium Neuron Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Olfactory Pit Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Vasculature
GO Term: Positive Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Vasculature, Oxidative Stress, Synapse
GO Term: Ciliary Membrane -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Stereocilium Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Limb Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Limb Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Brain-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Angiotensin Metabolic Process -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Exocyst Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Male Mating Behavior -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Female Mating Behavior -> Biodomain: Reproductive Behavior, Neurotransmission, Synapse, Hormonal Regulation, Behavioral Neuroscience
GO Term: Apelin Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Apelin Receptor Signaling Pathway -> Biodomain: Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Cell Pole -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Cloacal Septation -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Immune Response
GO Term: Clathrin-Sculpted Acetylcholine Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Clathrin-Sculpted Glutamate Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cytoplasmic Vesicle Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Endocardium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Primitive Hemopoiesis -> Biodomain: Immune Response, Vasculature, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Definitive Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Hemangioblast Cell Differentiation -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Vasculature, Epigenetic
GO Term: Camera-Type Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Camera-Type Eye Photoreceptor Cell Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Retinal Rod Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activator Activity -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Lipase Activator Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Lipoprotein Lipase Activator Activity -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Mesenchymal To Epithelial Transition -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Delamination -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Neuroblast Delamination -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Lens Induction In Camera-Type Eye -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Unknown
GO Term: Regulation Of Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Contact Inhibition -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Negative Regulation Of Cell Growth Involved In Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Proliferation Involved In Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Detection Of Cell Density -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Anatomical Structure Homeostasis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Glial Cell Proliferation -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Endolysosome
GO Term: Positive Regulation Of Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Immune Response, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Glial Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Structural Stabilization
GO Term: Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Regulation Of Feeding Behavior -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of N-Terminal Protein Palmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Endolysosome, Autophagy
GO Term: Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Lipid Metabolism
GO Term: Embryonic Skeletal Joint Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Ovulation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Ovulation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Oocyte Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Negative Regulation Of Oocyte Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Synapse, Proteostasis
GO Term: Cilium-Dependent Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Lipid Metabolism
GO Term: Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry -> Biodomain: Cellular Motility, Developmental Biology, Epithelium, Fluid Dynamics, Cilia and Centrosomes
GO Term: Transdifferentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Long-Term Synaptic Depression -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Cilium Movement Involved In Cell Motility -> Biodomain: Cilia, Cell Motility, Motor Proteins, Cell Structure, Cytoskeleton Organization
GO Term: Regulation Of Cilium Beat Frequency Involved In Ciliary Motility -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Positive Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Immune Response
GO Term: Regulation Of Cell Diameter -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature, Synapse
GO Term: Regulation Of Membrane Repolarization -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Gtp Cyclohydrolase I Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
