Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Fad Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Glutathione Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Glutathione Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nucleoside Phosphate Metabolic Process -> Biodomain: DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Folic Acid-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Vitamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Biotin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nicotinamide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Riboflavin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Thiamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vitamin A Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Immune Response, Oxidative Stress
GO Term: Mo-Molybdopterin Cofactor Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Porphyrin-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Porphyrin-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Uroporphyrinogen Iii Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Succinyl-Coa Pathway -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Protoporphyrinogen Ix Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Heme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Heme B Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Porphyrin-Containing Compound Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Heme Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Bilirubin Conjugation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Sulfur Compound Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Phosphate-Containing Compound Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Epigenetic
GO Term: Superoxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Xenobiotic Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Nitrogen Utilization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature, Cell Cycle
GO Term: Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Synapse, Metal Binding and Homeostasis
GO Term: Monoatomic Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Endolysosome, Apoptosis
GO Term: Monoatomic Cation Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Endolysosome, Vasculature
GO Term: Potassium Ion Transport -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Cell Cycle
GO Term: Sodium Ion Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Myelination, Oxidative Stress
GO Term: Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Phosphate Ion Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Cell Cycle
GO Term: Monoatomic Anion Transport -> Biodomain: Synapse, Vasculature, Oxidative Stress, Endolysosome, Autophagy
GO Term: Chloride Transport -> Biodomain: Endolysosome, Synapse, Vasculature, Immune Response, Structural Stabilization
GO Term: Cobalt Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Iron Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Manganese Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Water Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Dicarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Neurotransmitter Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Serotonin Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mitochondrial Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Tricarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Citrate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acetate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Pyruvate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Import Into Mitochondria -> Biodomain: Mitochondrial Metabolism, Metabolic Pathways, Cellular Transport and Import, Carbohydrate Metabolism, Mitochondrial Transport
GO Term: Mitochondrial Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Carnitine Shuttle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Xenobiotic Transmembrane Transport -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Oligopeptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Extracellular Transport -> Biodomain: Vasculature, Immune Response, Synapse, APP Metabolism, Lipid Metabolism
GO Term: Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Autophagy, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Purine Nucleobase Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Pyrimidine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Endolysosome
GO Term: Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Asparagine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Intracellular Monoatomic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Intracellular Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Intracellular Copper Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Intracellular Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Intracellular Zinc Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Intracellular Sodium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Cell Volume Homeostasis -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Ph -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Intracellular Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Exocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Intra-Golgi Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Post-Golgi Vesicle-Mediated Transport -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Synapse
GO Term: Golgi To Plasma Membrane Transport -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Golgi To Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Golgi To Vacuole Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Vesicle Budding From Membrane -> Biodomain: Endolysosome, Synapse, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Vesicle Targeting -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Vesicle Docking Involved In Exocytosis -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Vesicle Fusion -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Pinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Phagocytosis, Recognition -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Phagocytosis, Engulfment -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Nucleocytoplasmic Transport -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle
GO Term: Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Component Disassembly Involved In Execution Phase Of Apoptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Inflammatory Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Substrate-Dependent Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Substrate-Dependent Cell Migration, Cell Extension -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Substrate-Dependent Cell Migration, Cell Attachment To Substrate -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of Cell Adhesion Involved In Substrate-Bound Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Muscle Contraction -> Biodomain: Muscle Contraction, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Vasculature
GO Term: Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Striated Muscle Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Structural Stabilization, Proteostasis
GO Term: Regulation Of Striated Muscle Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Syncytium Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Response To Stress -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Defense Response -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Acute-Phase Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Inflammatory Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Autophagy
GO Term: Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Complement Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Complement Activation, Classical Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Humoral Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Defense Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Hypotonic Response -> Biodomain: Structural Stabilization, Oxidative Stress, Lipid Metabolism, Vasculature, Epigenetic
GO Term: Hyperosmotic Response -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Dna Damage Response -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Oxidative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Er Overload Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Er-Nucleus Signaling Pathway -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Response To Unfolded Protein -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Nitrogen Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Organelle Organization -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Nucleus Organization -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Nuclear Envelope Organization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Nuclear Pore Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Nucleolus Organization -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Membrane Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Inner Mitochondrial Membrane Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Plasma Membrane Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Synapse
GO Term: Actin Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Actin Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Immune Response, Endolysosome
GO Term: Microtubule-Based Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Microtubule-Based Movement -> Biodomain: Cell Cycle, Synapse, Autophagy, Proteostasis, Structural Stabilization
GO Term: Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Apoptosis
GO Term: Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Synapse
GO Term: Tubulin Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Post-Chaperonin Tubulin Folding Pathway -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Cytoplasm Organization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Endoplasmic Reticulum Organization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Golgi Organization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Peroxisome Organization -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Endosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vacuole Organization -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Vacuolar Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Vacuolar Acidification -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Catabolic Process In The Vacuole -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lysosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Lysosomal Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Lysosomal Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cell-Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Cell-Substrate Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, APP Metabolism, Vasculature
GO Term: Spindle Organization -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Spindle Assembly Involved In Female Meiosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Spindle Assembly Involved In Female Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Chromosome Segregation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Male Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
