Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Neuron Projection Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dendrite Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: Hair Follicle Maturation -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Erythrocyte Development -> Biodomain: Vasculature, Metal Binding and Homeostasis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Enucleate Erythrocyte Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Inner Ear Development -> Biodomain: Developmental Process, Sensory System, Structural Stabilization, Cellular Organization, Neuronal Development
GO Term: Otolith Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Tau Homeostasis
GO Term: Positive Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Myelination
GO Term: Negative Regulation Of Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Artery Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Venous Blood Vessel Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Axon Extension Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Hypophysis Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Unknown, Mitochondrial Metabolism
GO Term: Diencephalon Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Forebrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Endolysosome
GO Term: Brain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Neural Nucleus Development -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Autophagy, Cell Cycle
GO Term: Cell Projection Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Formation Of Anatomical Boundary -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Proteostasis
GO Term: Leukemia Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, DNA Repair
GO Term: Stem Cell Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Stem Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Autophagy
GO Term: Cellular Developmental Process -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Proteostasis
GO Term: Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Multicellular Organismal-Level Homeostasis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Homeostasis Of Number Of Cells -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Immune Response
GO Term: Homeostasis Of Number Of Cells Within A Tissue -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Host-Mediated Regulation Of Intestinal Microbiota Composition -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Homeostasis Of Number Of Retina Cells -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Autophagy, Epigenetic
GO Term: Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Endolysosome
GO Term: Efferent Axon Development In A Lateral Line Nerve -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Peripheral Nervous System Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Peripheral Nervous System Neuron Development -> Biodomain: Neurogenesis and Neuronal Function, Peripheral Nervous System, Developmental Processes, Cell Differentiation, Neuronal Cell Types
GO Term: Peripheral Nervous System Neuron Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Itaconyl-Coa Hydratase Activity -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: L-Fuconate Dehydratase Activity -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: L-Pipecolate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: L-Xylulose Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown, Autophagy
GO Term: Delta7-Sterol 5(6)-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Unknown, Metal Binding and Homeostasis
GO Term: Leukotriene-B4 20-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Unknown, Vasculature
GO Term: Long-Chain Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Methionine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: L-Gulonate 3-Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Inositol Oxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Myosin-Light-Chain-Phosphatase Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: N-Acetylglucosamine Deacetylase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, Autophagy
GO Term: N-Acylglucosamine 2-Epimerase Activity -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: N-Acylneuraminate-9-Phosphatase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Myelination, Synapse
GO Term: N-Formylglutamate Deformylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Nadp+ Nucleosidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Nadh Dehydrogenase (Quinone) (Non-Electrogenic) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nadph Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Nucleoside Monophosphate Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Nucleoside Phosphotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Cell Cycle, Epigenetic
GO Term: Omega-Amidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Omega-Hydroxydecanoate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oxaloacetate Tautomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phenylpyruvate Tautomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Phosphatidylinositol Deacylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Phosphoamidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: [Phosphorylase] Phosphatase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Phytanate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Fucokinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Unknown
GO Term: Plasmanylethanolamine Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Procollagen Galactosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Unknown
GO Term: Propionate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Prostaglandin-E Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin E2 9-Reductase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Putrescine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Retinol Isomerase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy, Endolysosome
GO Term: Retinol O-Fatty-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Unknown, Autophagy, Oxidative Stress, Endolysosome
GO Term: Retinyl-Palmitate Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Rhodopsin Kinase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Oxidative Stress
GO Term: Ribitol 2-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown, Proteostasis
GO Term: Ribosylnicotinamide Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Rna Uridylyltransferase Activity -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Unknown, Epigenetic
GO Term: Sedoheptulokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Unknown
GO Term: Sphingomyelin Phosphodiesterase D Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Myelination
GO Term: Sphingosine N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Cell Cycle, Endolysosome
GO Term: Steroid Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Unknown
GO Term: Steryl-Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Sulfur Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Tau-Protein Kinase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Thiamine Triphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Thiosulfate-Thiol Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Trans-L-3-Hydroxyproline Dehydratase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Trimethyllysine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Triokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis
GO Term: Inorganic Triphosphate Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nitrite Reductase (No-Forming) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Immune Response
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process -> Biodomain: Sulfur Compound Metabolism,Lipid Metabolism,Detoxification,Small Molecule Biosynthesis,Metabolic Intermediate Processing
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Calcium-Dependent Phospholipase C Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Transforming Growth Factor Beta Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Catecholamine Secretion -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Regulation Of Catecholamine Secretion -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: Positive Regulation Of Viral Transcription -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Amyloid-Beta Metabolic Process -> Biodomain: APP Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Microfibril Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix Organization, Cell Adhesion
GO Term: Ethanolamine-Phosphate Phospho-Lyase Activity -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: N-Acetylneuraminate Synthase Activity -> Biodomain: Lipid Metabolism, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Arachidonate 15-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Glyceryl-Ether Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Imidazolonepropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
