Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: F-Actin Capping Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Dna Binding, Bending -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Synapse
GO Term: Caspase Complex -> Biodomain: Apoptosis, Proteostasis, Synapse, Oxidative Stress, Cell Cycle
GO Term: Integrin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Associative Learning -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Structural Constituent Of Muscle -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Epigenetic, Synapse
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: 7S Rna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Prenyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Synapse
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Determination Of Adult Lifespan -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Adult Feeding Behavior -> Biodomain: Synapse, Behavior, Proteostasis, Autophagy, Oxidative Stress
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glial Cell Migration -> Biodomain: Synapse, Myelination, Immune Response, Structural Stabilization, Cell Cycle
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Katanin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Germ Cell Migration -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Olfactory Learning -> Biodomain: Synapse, Nervous System, Cognition, Sensory Processing, Behavior
GO Term: Asymmetric Cell Division -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Cell Shape -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Cell Size -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Autophagy, Proteostasis
GO Term: Sialyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Galactosyltransferase Activity -> Biodomain: Synapse, Myelination, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Cell Cycle
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Immune Response, Proteostasis
GO Term: Steroid Hydroxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Synapse, Epigenetic
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress
GO Term: Gonad Development -> Biodomain: Development, Sexual Development, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, RNA Spliceosome, Synapse
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Fucosyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Synapse, Endolysosome
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Beta-Glucosidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Jun Kinase Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic,Synapse,Proteostasis,Cell Cycle,Autophagy
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Pyridoxal Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
