Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis
GO Term: Cytidine Deaminase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Synapse, Epigenetic, Oxidative Stress
GO Term: Deoxycytidine Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Synapse, Oxidative Stress
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Dihydrofolate Reductase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dihydroorotase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Dihydropyrimidinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Structural Stabilization
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dopachrome Isomerase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Dolichol Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Proteostasis, Synapse, Mitochondrial Metabolism, Epigenetic
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Endopeptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse, Oxidative Stress
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Metal Binding and Homeostasis
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, APP Metabolism
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Autophagy, Proteostasis, Synapse, Endolysosome
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Metalloendopeptidase Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Endolysosome
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Epoxide Hydrolase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis, Synapse
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Ethanolamine Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Exopolyphosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Myelination, Proteostasis
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Ferrochelatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, DNA Repair, Lipid Metabolism
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Fumarylacetoacetase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Galactokinase Activity -> Biodomain: Lipid Metabolism, Myelination, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Myelination, Autophagy, Endolysosome, Synapse
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Gluconolactonase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Glutamine Synthetase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Glutaminase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycerol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, Immune Response
GO Term: Gdp Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Guanylate Cyclase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Gmp Kinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Helicase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy, Proteostasis
GO Term: Histidine Decarboxylase Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy
