Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Developmental Process, Anatomical Structure Development, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Radial Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Apoptosis
GO Term: Epidermal Cell Fate Specification -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Signal Transduction -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Cell Surface -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Cell-Cell Recognition -> Biodomain: Synapse, Immune Response, Structural Stabilization, Vasculature, Myelination
GO Term: Intracellular Water Homeostasis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Oocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Cardioblast Differentiation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Response To Aluminum Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Nickel Cation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Response To Mycotoxin -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Polarity Specification Of Proximal/Distal Axis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Specification Of Animal Organ Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Endolysosome
GO Term: L-Arginine Catabolic Process To Proline Via Ornithine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Phenylacetate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Xenobiotic Metabolism, Oxidative Stress, Proteostasis
GO Term: L-Proline Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Pyrimidine Ribonucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Endolysosome, Proteostasis
GO Term: Farnesyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Chlorate -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Specification Of Animal Organ Position -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Response To Cesium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Body Morphogenesis -> Biodomain: Developmental, Structural Stabilization, Cell Cycle, Epigenetic, Synapse
GO Term: Embryonic Body Morphogenesis -> Biodomain: Developmental Biology, Developmental Signaling, Cell Adhesion, Cell Differentiation, Cell Migration
GO Term: Fmn Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Cellular Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Vitamin E Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Response To Ozone -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Response To Ionizing Radiation -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Response To Uv-B -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Immune Response
GO Term: Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Response To Lithium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic, Cell Cycle
GO Term: Endomembrane System Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Scf Complex Assembly -> Biodomain: Proteostasis, Ubiquitin Proteasome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Response To Selenium Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Response To Silver Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Detoxification Of Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Lead Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Acireductone Dioxygenase (Ni2+-Requiring) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Acireductone Dioxygenase [Iron(Ii)-Requiring] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Detoxification Of Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Phosphatidylinositol-5-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Membrane Invagination -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Response To Gamma Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Autophagy, Cell Cycle
GO Term: Lithium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Lithium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Anion Channel Activity -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Chromocenter -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Perinucleolar Chromocenter -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Double-Stranded Methylated Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Cop9 Signalosome Assembly -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Epigenetic
GO Term: Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Regulation, Cellular Processes, DNA Repair, Epigenetic
GO Term: Polyprenyldihydroxybenzoate Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Methyl-Cpnpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Fatty Acid Omega-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carotenoid Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 9,10 (9', 10')-Carotenoid-Cleaving Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Response To Acidic Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle  
Developmental Biology  
Epigenetic  
Cell Differentiation  
Stem Cell Biology
GO Term: Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Exit From Mitosis -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Heart Rate -> Biodomain: Vasculature, Metal Binding and Homeostasis, Synapse, Myelination, Epigenetic
GO Term: Positive Regulation Of Heart Rate -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Nerve Growth Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Negative Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Gene Expression -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, APP Metabolism
GO Term: Regulation Of Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Regulation Of Signaling Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Regulation Of Gastrulation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Cytoplasmic Stress Granule -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, RNA Spliceosome, Autophagy
GO Term: Intercellular Transport -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Proteasomal Ubiquitin-Independent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Positive Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Immune Response
GO Term: Telomerase Inhibitor Activity -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Autophagy
GO Term: Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Autophagy, Oxidative Stress
GO Term: Transposable Element Silencing -> Biodomain: Epigenetic, DNA Repair, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Cell Cycle, RNA Spliceosome
GO Term: Positive Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Epigenetic, Autophagy
GO Term: Negative Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis  
Immune Response  
Autophagy  
Endolysosome  
APP Metabolism
GO Term: Negative Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Autophagy, Apoptosis
