Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Proteostasis, Epigenetic, Synapse, Apoptosis, Oxidative Stress
GO Term: S-Methyltransferase Activity -> Biodomain: Epigenetic, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Rna Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Mrna Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Immune Response
GO Term: Trna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Trna (Guanine(46)-N7)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Succinate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Adenylate Cyclase Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Cop9 Signalosome -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Glycogen Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism,Oxidative Stress,Proteostasis,Autophagy,Lipid Metabolism
GO Term: Atp-Dependent Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Poly-Pyrimidine Tract Binding -> Biodomain: RNA Spliceosome, APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: Neuropeptide Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Eukaryotic Initiation Factor 4E Binding -> Biodomain: Proteostasis, Synapse, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Metalloendopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Immune Response, Tau Homeostasis, Proteostasis, Metal Binding and Homeostasis
GO Term: Rna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Trna Guanylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Udp-Glycosyltransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Phosphatidate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Ferrous Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Ferric Iron Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Ion Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Heparin Binding -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Cholesterol Metabolic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Bile Acid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: C21-Steroid Hormone Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Androgen Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Estrogen Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis
GO Term: Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Spermine Metabolic Process -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Spermidine Metabolic Process -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism
GO Term: Regulation Of Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: G Protein-Coupled Amine Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Endolysosome
GO Term: Opsonization -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cysteine-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Apoptosis, Autophagy
GO Term: Metalloexopeptidase Activity -> Biodomain: APP Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Serine-Type Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Metallopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Exopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Dipeptidyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Tripeptidyl-Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Peptidyl-Dipeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Omega Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Autophagy
GO Term: 1-Alkyl-2-Acetylglycerophosphocholine Esterase Complex -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Oligosaccharyltransferase Complex -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Trna-Specific Adenosine Deaminase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: 5'-Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome, Proteostasis
GO Term: 3'-Nucleotidase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Succinyl-Coa:3-Oxo-Acid Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Cell Cycle
GO Term: Molybdenum Cofactor Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Poly(U) Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Synapse, APP Metabolism
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Endolysosome
GO Term: Protein Methyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, APP Metabolism, Synapse
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, APP Metabolism
GO Term: Cohesin Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Cell Population Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: F-Actin Capping Protein Complex -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Dna Binding, Bending -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Caspase Complex -> Biodomain: Apoptosis, Immune Response, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Integrin Complex -> Biodomain: APP Metabolism, Immune Response, Synapse, Structural Stabilization, Apoptosis
GO Term: Associative Learning -> Biodomain: Synapse, Cognition, Neurogenesis, Neuronal Activity, Epigenetic
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Apoptosis, Tau Homeostasis
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Tau Homeostasis
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Immune Response
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Protein Prenyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Tau Homeostasis, Synapse
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Synapse
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, APP Metabolism
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Determination Of Adult Lifespan -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Adult Feeding Behavior -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Glial Cell Migration -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Tau Homeostasis, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Katanin Complex -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Germ Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Olfactory Learning -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Proteostasis, Endolysosome
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Synapse
GO Term: Regulation Of Cell Shape -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Regulation Of Cell Size -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Synapse, Oxidative Stress
GO Term: Axon Ensheathment -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Tau Homeostasis
GO Term: Sialyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: O-Acyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, Gene Expression, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, APP Metabolism, Mitochondrial Metabolism
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Proteostasis
GO Term: Steroid Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, APP Metabolism
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Endolysosome
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Proteostasis
GO Term: Gonad Development -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Endolysosome
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Oxidative Stress, Apoptosis
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Epigenetic, Autophagy
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress
GO Term: Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Oxidative Stress
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Synapse, Immune Response
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Autophagy, Synapse, Proteostasis, Oxidative Stress
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Jun Kinase Binding -> Biodomain: Oxidative Stress, Apoptosis, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Neuroendocrine, Signaling, Signaling Receptor Activator Activity, Peptide, Hormone Activity
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Tau Homeostasis, Oxidative Stress
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: APP Metabolism, Endolysosome, Tau Homeostasis, Structural Stabilization, Proteostasis
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Lipid Metabolism, Synapse
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Structural Stabilization
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Proteostasis, Autophagy, Oxidative Stress
