Running with TEMP=0.1, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Sertoli Cell Fate Commitment -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Sertoli Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Righting Reflex -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Granulosa Cell Differentiation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Parathyroid Gland Development -> Biodomain: Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Astrocyte Fate Commitment -> Biodomain: Cell Cycle, Myelination, Structural Stabilization, Synapse, Proteostasis
GO Term: Radial Glial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Bergmann Glial Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Roof Of Mouth Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Hard Palate Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Soft Palate Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Endolysosome
GO Term: Rhythmic Synaptic Transmission -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Synaptic Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Convergent Extension -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Convergent Extension Involved In Gastrulation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Convergent Extension Involved In Axis Elongation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Convergent Extension Involved In Organogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Notochord Regression -> Biodomain: Apoptosis, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Anatomical Structure Regression -> Biodomain: Apoptosis, Autophagy, Proteostasis, Endolysosome, Cell Cycle
GO Term: Notochord Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Pharyngeal System Development -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Pericardium Development -> Biodomain: Structural Stabilization, Vasculature, Heart, Embryogenesis, Cavity Development
GO Term: Retinal Bipolar Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Retina Development In Camera-Type Eye -> Biodomain: Synapse, Vasculature, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Synapse
GO Term: Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Vasculature
GO Term: Positive Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Acrosome Reaction -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Heart Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Cardiac Muscle Contraction -> Biodomain: Muscle System, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Endolysosome, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Structural Stabilization, Synapse
GO Term: Negative Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Immune Response
GO Term: Neurofilament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Autophagy
GO Term: Neurofilament Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Angiogenesis Involved In Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Mammary Gland Involution -> Biodomain: Apoptosis, Autophagy, Proteostasis, Structural Stabilization, Immune Response
GO Term: Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Positive Regulation Of Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Post-Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Spemann Organizer Formation -> Biodomain: Developmental Biology, Cell Signaling, Morphogenesis, Cell Differentiation, Embryogenesis
GO Term: Spemann Organizer Formation At The Anterior End Of The Primitive Streak -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Uterus Development -> Biodomain: Reproductive System, Developmental Biology, Organ Development, Hormonal Regulation, Tissue Remodeling
GO Term: Oviduct Development -> Biodomain: Reproductive System, Female-Specific, Structural Stabilization, Developmental Process, Organismal Systems
GO Term: Cervix Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Vagina Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Canonical Wnt Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Oxidative Stress
GO Term: Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Micturition -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Resting Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Excitatory Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Inhibitory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress
GO Term: Eye Blink Reflex -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Smooth Muscle Contraction Involved In Micturition -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Synapse, Proteostasis
GO Term: Synaptic Transmission Involved In Micturition -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Circadian Temperature Homeostasis -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Relaxation Of Vascular Associated Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Auditory Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Molecular Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Kinocilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Cytoskeletal Rearrangement Involved In Phagocytosis, Engulfment -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Generation Of Ovulation Cycle Rhythm -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Synapse, Proteostasis
GO Term: Inner Ear Receptor Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Synapse
GO Term: Auditory Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Vestibular Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Inner Ear Receptor Cell Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Epigenetic
GO Term: Vestibular Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Inner Ear Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Growth Hormone Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Growth Hormone Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Autophagy, Vasculature
GO Term: Negative Regulation Of Growth Hormone Secretion -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Somatotropin Secreting Cell Differentiation -> Biodomain: Endocrine, Developmental, Organogenesis, Cell Differentiation, Hormone Activity
GO Term: Prolactin Secreting Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Endolysosome, Cell Cycle, Structural Stabilization
GO Term: Corticotropin Hormone Secreting Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Thyroid-Stimulating Hormone-Secreting Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Somatotropin Secreting Cell Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Prepulse Inhibition -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Maternal Process Involved In Female Pregnancy -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Proteostasis, Vasculature
GO Term: Embryonic Process Involved In Female Pregnancy -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Vasculature, Lipid Metabolism
GO Term: Maternal Process Involved In Parturition -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Proteostasis
GO Term: Microtubule-Based Peroxisome Localization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Platelet Dense Granule Organization -> Biodomain: Metal Binding and Homeostasis, Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Urinary Bladder Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Immune Response, DNA Repair
GO Term: Phospholipase C-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Positive Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Subpallium Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Regulation Of Timing Of Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, RNA Spliceosome
GO Term: Regulation Of Timing Of Subpallium Neuron Differentiation -> Biodomain: Neurodevelopment, Cell Differentiation, Developmental Regulation, Neural Differentiation, Brain Development
GO Term: Olfactory Pit Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Ciliary Membrane -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Stereocilium Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Limb Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Limb Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Brain-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Angiotensin Metabolic Process -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Immune Response, Oxidative Stress
GO Term: Regulation Of Exocyst Localization -> Biodomain: Synapse, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Male Mating Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Lipid Metabolism, Structural Stabilization
GO Term: Female Mating Behavior -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Immune Response
GO Term: Apelin Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Apelin Receptor Signaling Pathway -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cell Pole -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Positive Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cloacal Septation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Clathrin-Sculpted Acetylcholine Transport Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Clathrin-Sculpted Glutamate Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cytoplasmic Vesicle Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Endocardium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Primitive Hemopoiesis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Definitive Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Hemangioblast Cell Differentiation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Camera-Type Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Lipid Metabolism, RNA Spliceosome
GO Term: Camera-Type Eye Photoreceptor Cell Fate Commitment -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retinal Rod Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activator Activity -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Lipase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Lipoprotein Lipase Activator Activity -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mesenchymal To Epithelial Transition -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Delamination -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Neuroblast Delamination -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Apoptosis
GO Term: Lens Induction In Camera-Type Eye -> Biodomain: Developmental Biology, Cell Signaling, Tissue Morphogenesis, Developmental Signaling, Organ Development
GO Term: Regulation Of Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Cell Growth Involved In Contact Inhibition -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Proliferation Involved In Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Detection Of Cell Density -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Anatomical Structure Homeostasis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Glial Cell Proliferation -> Biodomain: Immune Response, Synapse, Myelination, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Immune Response, Structural Stabilization, Synapse
GO Term: Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, RNA Spliceosome
GO Term: Regulation Of Feeding Behavior -> Biodomain: Synapse, Lipid Metabolism, Myelination, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: Positive Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Oxidative Stress, DNA Repair
GO Term: Negative Regulation Of N-Terminal Protein Palmitoylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Regulation Of Respiratory Burst -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Negative Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Embryonic Skeletal Joint Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Ovulation -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Ovulation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Apoptosis, Immune Response
GO Term: Positive Regulation Of Oocyte Development -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Oocyte Development -> Biodomain: Reproductive System, Cell Cycle, Cell Differentiation, Apoptosis, Epigenetic
GO Term: Regulation Of Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Cilium-Dependent Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Transdifferentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cilium Movement Involved In Cell Motility -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Regulation Of Cilium Beat Frequency Involved In Ciliary Motility -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Sarcomere Organization -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Negative Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Cell Diameter -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Membrane Repolarization -> Biodomain: Synapse, Vasculature, Myelination, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
