Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Pituitary Gland Development -> Biodomain: Endocrine, Signaling, Cell Growth and Differentiation, Organ Development, Regulation of Biological Processes
GO Term: Adenohypophysis Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Neurohypophysis Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Habenula Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Cerebral Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Olfactory Lobe Development -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Olfactory Cortex Development -> Biodomain: Neurodevelopment, Synapse, Structural Stabilization, Cell Differentiation, Neuron Development
GO Term: Initiation Of Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Neural Plate Axis Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Neural Plate Mediolateral Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Autophagy
GO Term: Neural Plate Anterior/Posterior Regionalization -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Endolysosome
GO Term: Midbrain-Hindbrain Boundary Maturation During Brain Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Convergent Extension Involved In Neural Plate Elongation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Neurogenesis -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Central Nervous System Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Central Nervous System Myelination -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse
GO Term: Myelination In Peripheral Nervous System -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse
GO Term: Pallium Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Synapse, Myelination
GO Term: Lateral Ganglionic Eminence Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Epigenetic
GO Term: Interkinetic Nuclear Migration -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, Proteostasis
GO Term: Tangential Migration From The Subventricular Zone To The Olfactory Bulb -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Telencephalon Cell Migration -> Biodomain: Cell Migration, Neurogenesis, Central Nervous System, Brain Development, Cell Differentiation
GO Term: Metencephalon Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Corpus Callosum Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Regulation Of Opsin-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Negative Adaptation Of Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Immune Response
GO Term: Hair Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Membrane Docking -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Vasculature
GO Term: Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Synapse
GO Term: Negative Regulation Of Cell-Cell Adhesion -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Circadian Sleep/Wake Cycle Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Reproductive Process -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Digestive System Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Ovulation Cycle Process -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Regulation Of Anatomical Structure Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Immune Response
GO Term: Regulation Of Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Mammalian Oogenesis Stage -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cellular Component Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Ribonucleoprotein Complex Biogenesis -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Membrane To Membrane Docking -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Protein To Membrane Docking -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Protein-Rna Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Proteasome Accessory Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, APP Metabolism
GO Term: Cytosolic Large Ribosomal Subunit -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Cytosolic Ribosome -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Cytosolic Small Ribosomal Subunit -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Transmitter-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Wide Pore Channel Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Voltage-Gated Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Ligand-Gated Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Gated Channel Activity -> Biodomain: Synapse, Myelination, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Monoatomic Ion-Gated Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Leak Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Potassium Ion Leak Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Voltage-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glutamate-Gated Calcium Ion Channel Activity -> Biodomain: Synapse, Calcium Signaling, Ion Channels, Neurotransmission, Proteostasis
GO Term: Serotonin-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Gaba-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Glycine-Gated Chloride Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Alanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Zinc Efflux Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Macromolecule Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Immune Response
GO Term: Inorganic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Endolysosome
GO Term: Intermediate Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Regulation Of Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Respiratory Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Signal Transduction Involved In Regulation Of Gene Expression -> Biodomain: Epigenetic, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Termination Of Signal Transduction -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Mhc Class I Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Mhc Class Ib Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Mhc Class Ib Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Vasculature
GO Term: Neuronal Signal Transduction -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Endolysosome
GO Term: Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Synapse
GO Term: Negative Regulation Of Signaling -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Signal Release -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Metal Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Intracellular Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Intracellular Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Trapp Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Establishment Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Maintenance Of Cell Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Ccr4-Not Complex -> Biodomain: RNA Metabolism, Gene Expression Regulation, Protein Synthesis, Proteostasis, Autophagy
GO Term: Ccr4-Not Core Complex -> Biodomain: Proteostasis, Autophagy, Epigenetic, Cell Cycle, DNA Repair
GO Term: Myofibril -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sarcomere -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Z Disc -> Biodomain: Structural Stabilization, Muscle System, Cytoskeleton Organization, Cell Adhesion, Extracellular Matrix Organization
GO Term: Extracellular Matrix Structural Constituent Conferring Tensile Strength -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Extracellular Matrix Structural Constituent Conferring Compression Resistance -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Extracellular Matrix Constituent Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Intracellular Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Lamellipodium -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Synapse
GO Term: Actin Filament-Based Process -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Cell Projection Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Cell Projection Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Microvillar Actin Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Microspike Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Actin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Contractile Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Proteostasis
GO Term: Actin Filament Polymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Actin Filament Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Actin Filament Fragmentation -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Motility, Proteostasis, Autophagy
GO Term: Parallel Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Immune Response
GO Term: Actin Modification -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Actin Filament-Based Movement -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Proteostasis
GO Term: Muscle Filament Sliding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Vesicle Transport Along Actin Filament -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Cell Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Proteostasis
GO Term: Cell-Substrate Junction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Hemidesmosome -> Biodomain: Structural Stabilization, Cell Adhesion, Cell Junction, Extracellular Matrix Organization, Cellular Component Organization
GO Term: Desmosome -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: L-Malate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Crista -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Insulin Processing -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Mitotic Metaphase/Anaphase Transition -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Peptide Hormone Secretion -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Repair -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, APP Metabolism
GO Term: Hemopoiesis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lymphocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Myeloid Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Vasopressin Secretion -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Hla-A Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Hla-A Specific Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Hla-B Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Hla-C Specific Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Membrane Coat -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Clathrin Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, APP Metabolism
GO Term: Ap-Type Membrane Coat Adaptor Complex -> Biodomain: Intracellular Trafficking, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Ap-1 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Ap-2 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Ap-3 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Ap-4 Adaptor Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Clathrin Vesicle Coat -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Copi Vesicle Coat -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Copii Vesicle Coat -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Clathrin Coat Of Trans-Golgi Network Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Clathrin Coat Of Coated Pit -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Copii-Coated Er To Golgi Transport Vesicle -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Clathrin-Coated Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Synapse
GO Term: Copi-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Trans-Golgi Network Transport Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Secretory Granule -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Autophagy
GO Term: Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Manganese Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Oxidative Stress
GO Term: Sphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Import Into Mitochondrial Matrix -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Molybdenum Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Myelination
GO Term: Regulation Of Cell Adhesion -> Biodomain: Vasculature, Immune Response, Synapse, Structural Stabilization, Proteostasis
GO Term: Benzodiazepine Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Pancreatic Juice Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Protein Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Endolysosome
GO Term: Signaling Receptor Complex Adaptor Activity -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Synapse, Cell Cycle
GO Term: Synaptic Receptor Adaptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Pdz Domain Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Platelet Activation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Pyridoxal Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Voltage-Gated Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Endolysosome, Synapse
GO Term: Troponin C Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Filopodium -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Wnt Signaling Pathway -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, Proteostasis
GO Term: Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Synapse
