Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Synapse, Oxidative Stress
GO Term: Amidophosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Peptidyl-Trna Hydrolase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Endolysosome
GO Term: Aminoacylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Aminomethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Apyrase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Arachidonate 5-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Arachidonate 12(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Arginase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Argininosuccinate Synthase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Argininosuccinate Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Arginyl-Trna--Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Aromatic-L-Amino-Acid Decarboxylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Aralkylamine N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Arylamine N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Arylformamidase Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Aryl Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Aryldialkylphosphatase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Arylesterase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Arylsulfatase Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Asparagine Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Asparaginase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Aspartate 1-Decarboxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Aspartate:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Aspartate Carbamoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Biliverdin Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Biotin Carboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Biotin--[Biotin Carboxyl-Carrier Protein] Ligase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Asymmetrical) Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Epigenetic, Synapse
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, RNA Spliceosome, Epigenetic
GO Term: Carbonate Dehydratase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Myelination, Lipid Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Choline Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Catalytic Activity
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cytidine Deaminase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Mitochondrial Metabolism, Synapse
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Deoxycytidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: DNA Repair, Proteostasis, Synapse, Mitochondrial Metabolism, Epigenetic
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dihydrofolate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Synapse, Oxidative Stress
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dihydroorotase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Cell Cycle
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Dihydropyrimidinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Autophagy
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dopachrome Isomerase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Dolichol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Endopeptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Oxidative Stress
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Synapse
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, APP Metabolism
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Metalloendopeptidase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Apoptosis
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Synapse, Apoptosis
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epoxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Estrone Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Ethanolamine Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Exopolyphosphatase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Ferrochelatase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Fumarylacetoacetase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Galactokinase Activity -> Biodomain: Lipid Metabolism, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Structural Stabilization, Autophagy
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Epigenetic
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Gluconolactonase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Glutamine Synthetase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Glutaminase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glycerol Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Autophagy
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Structural Stabilization, Epigenetic
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Gdp Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Guanylate Cyclase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Gmp Kinase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Helicase Activity -> Biodomain: DNA Repair, Proteostasis, RNA Spliceosome, Epigenetic, Synapse
GO Term: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Epigenetic, Structural Stabilization
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Histidine Decarboxylase Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, DNA Repair
GO Term: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse
