Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Prolactin Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Synapse, Signaling Pathways, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Cell Cycle
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Synapse, Signaling Pathways, Epigenetic, Proteostasis, Autophagy
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Vasculature
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Bradykinin Receptor Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Synapse, Proteostasis
GO Term: Calcitonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy, Structural Stabilization
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Epigenetic
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Epigenetic, Immune Response
GO Term: Icosanoid Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Oxidative Stress, Apoptosis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Thromboxane Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Endolysosome, Synapse
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Cell Cycle, Oxidative Stress
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Signaling, Neuropeptide, GPCR, Neuronal Function
GO Term: Glucagon Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Histamine Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Oxidative Stress
GO Term: Corticotropin Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Autophagy
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Immune Response
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Behavior, Signaling Pathways, Oxidative Stress, Proteostasis
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Signaling Pathways, Neurotransmission, Neuronal Function, Neurological Disorders
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Epigenetic, Synapse, Structural Stabilization, Cell Cycle
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Synapse, Signaling Receptor Activity, Immune Response, Vasculature, Apoptosis
GO Term: Vasopressin Receptor Activity -> Biodomain: Synapse, Signaling, Peptide Hormone Signaling, GPCR Signaling, Neural Circuits
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Ephrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Insulin Receptor Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Vasculature, Proteostasis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Epigenetic, Cell Cycle
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Structural Stabilization, Immune Response
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Cell Cycle
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Osmosensor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Epigenetic
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Scavenger Receptor Activity -> Biodomain: Endolysosome, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, RNA Spliceosome, Synapse, Autophagy, Structural Stabilization
GO Term: Signal Sequence Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Laminin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Epigenetic
GO Term: Protein Kinase C Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Gtpase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Gtpase Activator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Signaling Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Frizzled Binding -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Notch Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Patched Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Synapse, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Smoothened Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Toll Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Synapse, Cell Cycle
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Cytokine Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Erythropoietin Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Cell Cycle
GO Term: Growth Hormone Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Endolysosome
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Synapse, Epigenetic, Proteostasis, Endolysosome
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Epigenetic, Synapse, Endolysosome
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Epigenetic
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Epigenetic, Endolysosome
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Autophagy
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Synapse, Endolysosome
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Synapse, Immune Response, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Prolactin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Insulin Receptor Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Synapse
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Epigenetic
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Signaling Receptors, Growth Factor Signaling, Neurovascular Interactions, Angiogenesis
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Epigenetic
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Integrin Binding -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Hormone Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Structural Molecule Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
