Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Collagen V Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Thrombospondin Receptor Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Unknown
GO Term: Mrna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: 'De Novo' Actin Filament Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Fructose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Extracellular Exosome -> Biodomain: Endolysosome, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Rna Polymerase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Synapse
GO Term: Proline-Rich Region Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, APP Metabolism
GO Term: Cytochrome Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Tear Secretion -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Titin Z Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Autophagy, Apoptosis
GO Term: Clathrin-Sculpted Monoamine Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Glycosylation -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Ubiquitin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Chromo Shadow Domain Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Unknown
GO Term: Chloride-Activated Potassium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Unknown
GO Term: Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Vasculature, Epigenetic
GO Term: Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Glucagon Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Fructose-6-Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Delta-Catenin Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Interleukin-27-Mediated Signaling Pathway -> Biodomain: Immune Response, Synapse, Autophagy, Apoptosis, Oxidative Stress
GO Term: Ciliary Neurotrophic Factor Receptor Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Myelination
GO Term: Ciliary Neurotrophic Factor Binding -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Ciliary Neurotrophic Factor-Mediated Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Iii -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Mitochondrial Translational Initiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Mitochondrial Translational Elongation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrial Translational Termination -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Trna Aminoacylation For Mitochondrial Protein Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Sumo-Specific Endopeptidase Activity -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Apoptosis, Epigenetic
GO Term: Response To Uv-A -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Mitochondrial Alanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy
GO Term: Mitochondrial Asparaginyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Mitochondrial Glycyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Protein Synthesis, Translation, Mitochondrial Translation, Amino Acid Metabolism
GO Term: Mitochondrial Seryl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Unknown, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Mitochondrial Threonyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Endolysosome
GO Term: Anchoring Junction -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Adiponectin Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Adiponectin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Biomineral Tissue Development -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Apoptosis, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Tooth Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Tooth Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Drm Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: D-Serine Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: D-Serine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Large Ribosomal Subunit Rrna Binding -> Biodomain: Translation, RNA Binding, Protein Synthesis, Ribosome Biogenesis, Nucleic Acid Binding
GO Term: Small Ribosomal Subunit Rrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dna Polymerase Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Mitochondrial Tryptophanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Tyrosyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Unknown, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Growth Hormone Activity -> Biodomain: Growth, Endocrine, Receptor Binding, Hormone Activity, Metabolism
GO Term: Shelterin Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Autophagy, Apoptosis
GO Term: Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Synapse
GO Term: Synaptonemal Complex Organization -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Synapse
GO Term: Synaptonemal Complex Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Growth Hormone Receptor Complex -> Biodomain: Cell Cycle, Immune Response, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Meiotic Attachment Of Telomere To Nuclear Envelope -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Unknown
GO Term: Protein Localization To Chromosome, Telomeric Region -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Unknown
GO Term: Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Establishment Of Protein Localization To Chromosome -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, APP Metabolism
GO Term: Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Protein Trimerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Protein Homotrimerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Heterotrimerization -> Biodomain: Proteostasis, Structural Stabilization, Unknown, Autophagy, Apoptosis
GO Term: Rpd3L-Expanded Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Protein Poly-Adp-Ribosylation -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Protein Auto-Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Apoptosis, Cell Cycle
GO Term: Sulfide Oxidation, Using Sulfide:Quinone Oxidoreductase -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Sulfide:Quinone Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Autophagy, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Activated T Cell Autonomous Cell Death -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Natural Killer Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Pristanate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Actin-Mediated Cell Contraction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Immune Response
GO Term: Somatostatin Secretion -> Biodomain: Secretory Processes, Signaling Pathways, Endocrine System, Pancreatic Function, Hormone Regulation
GO Term: Mucus Secretion -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Mucus Secretion -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Mucus Secretion -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mucus Secretion -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Unknown
GO Term: Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle
GO Term: 5'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Structural Stabilization
GO Term: Peptidyl-Serine Dephosphorylation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Unknown
GO Term: Necroptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Cornification -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis, Unknown
GO Term: Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylinositol-4-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Res Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Autophagy
GO Term: Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Autophagy
GO Term: Vitamin B6 Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Pyridoxal Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pigment Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Axonemal Dynein Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Unknown
GO Term: Ferritin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ferritin Complex -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization, Endolysosome, Proteostasis
GO Term: N-Acylphosphatidylethanolamine-Specific Phospholipase D Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: N-Acylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: N-Acylphosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Renal Absorption -> Biodomain: Vasculature, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Renal Sodium Ion Absorption -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Renal Water Absorption -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Unknown
GO Term: Sarcoplasmic Reticulum Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Phosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Proteostasis, DNA Repair
GO Term: Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Response To Cgmp -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Lens Fiber Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Proteostasis
GO Term: Lens Fiber Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Atr-Atrip Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Unknown, Proteostasis
GO Term: G1 To G0 Transition -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Epigenetic, Apoptosis
GO Term: G1 To G0 Transition Involved In Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Negative Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, DNA Repair
GO Term: Positive Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Inward Rectifier Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Thyroid Hormone Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Oxidative Stress
GO Term: Very-Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Thyroid Hormone Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Aromatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Aspartate Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Synapse
GO Term: Flap-Structured Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: 3'-Flap-Structured Dna Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Immune Response
GO Term: Brown Fat Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
