Running with TEMP=0.9, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Neurofibrillary Tangle Assembly -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Phospholipid Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Vasculature, Structural Stabilization
GO Term: Negative Regulation Of Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lipid Transport Across Blood-Brain Barrier -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, DNA Repair, Apoptosis
GO Term: Organelle Disassembly -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Cell Cycle
GO Term: Regulation Of Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Bone Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Exo-Alpha-Sialidase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Glycoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Regulation Of Rna Polymerase Ii Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Rna Polymerase Ii Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Opsonization -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Opsonization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Regulation Of Response To Wounding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Leukocyte Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Apoptosis
GO Term: Positive Regulation Of Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Autophagy, Cell Cycle, Vasculature, Epigenetic
GO Term: Protein Localization To Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Positive Regulation Of Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Melanosome Organization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Lipidation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Positive Regulation Of Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Synapse, Autophagy
GO Term: Negative Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Vasculature, Immune Response
GO Term: Positive Regulation Of C-C Chemokine Receptor Ccr7 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Regulation Of Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Protein K48-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, APP Metabolism
GO Term: Protein Localization To Meiotic Spindle Midzone -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 3,5-Bisphosphate Metabolic Process -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Protein Localization To Actin Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Negative Regulation Of Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mononuclear Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Epigenetic
GO Term: Cupric Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cuprous Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Establishment Of Endothelial Barrier -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Adrenomedullin Receptor Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Calcium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Oxidative Stress
GO Term: Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Dopamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Positive Regulation Of Dopamine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glyoxal Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Glyoxal Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of L-Dopa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Podocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Protein Processing Involved In Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Endodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Endodermal Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Mrna Base-Pairing Post-Transcriptional Repressor Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: Melanosome Assembly -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Negative Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: U2-Type Prespliceosome Assembly -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy In Response To Stress -> Biodomain: Oxidative Stress, Structural Stabilization, Autophagy, Epigenetic, Immune Response
GO Term: Negative Regulation Of Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Multi-Ciliated Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Endolysosome
GO Term: Exon-Exon Junction Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sodium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Immune Response, Synapse
GO Term: Positive Regulation Of Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Potassium Ion Import -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Potassium Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Potassium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Protein Localization To Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Glutamate Secretion, Neurotransmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Hypoxia-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Regulated Secretory Pathway -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Regulated Secretory Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Protein Maturation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Iron-Sulfur Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Protein Folding -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Meiotic Dna Double-Strand Break Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Omegasome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Dopamine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cellular Response To Dopamine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: L-Ornithine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Nucleus Organization -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Regulation Of Golgi Organization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Protein Localization To Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Fear Response -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Facioacoustic Ganglion Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Immune Response
GO Term: Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Proteostasis, Autophagy
GO Term: Negative Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Negative Regulation Of Hydrogen Peroxide-Induced Neuron Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Regulation Of Homophilic Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Homophilic Cell Adhesion -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Myelination
GO Term: Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Protein Localization To Kinetochore Involved In Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: L-Lysine Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Regulation Of Renal Phosphate Excretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Renal Phosphate Excretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Autophagy
GO Term: Response To Bile Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Bile Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Glycoside -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Protein Localization To Endoplasmic Reticulum Tubular Network -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Fluoride Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Reactive Oxygen Species Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Cell Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Torc1 Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Constitutive Secretory Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Apoptosis
GO Term: Positive Regulation Of Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Localization To Ciliary Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Response To Lipoic Acid -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
