Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Interleukin-1 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Interleukin-1, Type I, Activating Receptor Activity -> Biodomain: Immune Response, Signaling, Inflammation, Cellular Response, Cytokine Signaling
GO Term: Interleukin-1, Type Ii, Blocking Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-2 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Cytokine Receptor Activity, Apoptosis, Proteostasis
GO Term: Interleukin-3 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Cytokine Signaling, Signal Transduction, Cell Activation
GO Term: Interleukin-4 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Cytokine Signaling, Immune Receptor Activity, Cell Surface Receptor Activity
GO Term: Interleukin-5 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Interleukin-6 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Autophagy
GO Term: Interleukin-7 Receptor Activity -> Biodomain: Immune Response, Signaling, Receptors, Cytokine Signaling, Cell Surface
GO Term: Interleukin-8 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Cytokine Signaling, Inflammation, GPCR Pathways
GO Term: Interleukin-9 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Interleukin-10 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-11 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Leukemia Inhibitory Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Oncostatin-M Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Inflammation, Transmembrane Signaling, Cell Growth And Proliferation
GO Term: Prolactin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Synapse, Mitochondrial Metabolism
GO Term: G Protein-Coupled Receptor Activity -> Biodomain: Signaling, Receptor Activity, Cell Communication, Molecular Function, Signal Transduction
GO Term: Extracellularly Atp-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Immune Response
GO Term: Alpha1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Alpha2-Adrenergic Receptor Activity -> Biodomain: Signaling, Receptor Signaling, GPCR Signaling, Neurotransmission, Cell Signaling
GO Term: Beta-Adrenergic Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Beta1-Adrenergic Receptor Activity -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Beta2-Adrenergic Receptor Activity -> Biodomain: Signaling, GPCR Signaling, Neurotransmission, Neuroinflammation, Immune Response
GO Term: Angiotensin Type Ii Receptor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Bombesin Receptor Activity -> Biodomain: Synapse, Proteostasis, Signaling Receptor Activity, Neuropeptide Activity, G-Protein Coupled Receptor Activity
GO Term: Bradykinin Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Calcitonin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Apoptosis, Lipid Metabolism, Immune Response
GO Term: Cannabinoid Receptor Activity -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cholecystokinin Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dopamine Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Icosanoid Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Prostaglandin Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Autophagy
GO Term: Prostaglandin D Receptor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Prostaglandin E Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Prostaglandin F Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thromboxane Receptor Activity -> Biodomain: Vasculature, Signaling, Vascular Biology, Receptor Activity, Platelet Aggregation
GO Term: Thromboxane A2 Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Endothelin Receptor Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Follicle-Stimulating Hormone Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Luteinizing Hormone Receptor Activity -> Biodomain: Signaling, Hormone, Reproductive System, GPCR, Receptor Activity
GO Term: G Protein-Coupled Gaba Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Galanin Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Glucagon Receptor Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Gonadotropin-Releasing Hormone Receptor Activity -> Biodomain: Signaling Receptor Activity, Endocrine System, GPCR Signaling, Hormone Activity, Reproductive Process
GO Term: Histamine Receptor Activity -> Biodomain: Signaling, Immune Response, Vasculature, Synapse, Membrane Biology
GO Term: Glutamate-Gated Receptor Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Ampa Glutamate Receptor Activity -> Biodomain: Synapse, Receptor, Ion Channel, Neuroplasticity, Learning and Memory
GO Term: Nmda Glutamate Receptor Activity -> Biodomain: Synapse, Ion Transport, Neurotransmission, Receptor Signaling, Calcium Signaling
GO Term: Leukotriene Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Melanocortin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Corticotropin Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Proteostasis, Apoptosis
GO Term: Beta-Endorphin Receptor Activity -> Biodomain: Synapse, Signaling, Opioid, Pain, Neuropeptide
GO Term: Melanocyte-Stimulating Hormone Receptor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: N-Formyl Peptide Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Neuropeptide Y Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Vasculature
GO Term: Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: G Protein-Coupled Opioid Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Oxytocin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Parathyroid Hormone Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Immune Response, Epigenetic, Autophagy
GO Term: Platelet Activating Factor Receptor Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Somatostatin Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Tachykinin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Thyroid-Stimulating Hormone Receptor Activity -> Biodomain: Hormone Signaling, GPCR Signaling, Receptor Signaling, Cell Communication, Cell Signaling
GO Term: Thyrotropin-Releasing Hormone Receptor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Transferrin Receptor Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Vasoactive Intestinal Polypeptide Receptor Activity -> Biodomain: Vasculature, Signal Transduction, Neurotransmission, Hormonal Signaling, Synapse
GO Term: Vasopressin Receptor Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Ephrin Receptor Activity -> Biodomain: Vasculature, Synapse, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Gpi-Linked Ephrin Receptor Activity -> Biodomain: Synapse, Vasculature, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Transmembrane-Ephrin Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Structural Stabilization, Immune Response
GO Term: Epidermal Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Fibroblast Growth Factor Receptor Activity -> Biodomain: Vasculature, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Hepatocyte Growth Factor Receptor Activity -> Biodomain: Signaling, Kinases, Receptors, Cell Signaling, Signal Transduction
GO Term: Insulin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Insulin-Like Growth Factor Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle, Lipid Metabolism
GO Term: Macrophage Colony-Stimulating Factor Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Platelet-Derived Growth Factor Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Structural Stabilization, Immune Response
GO Term: Platelet-Derived Growth Factor Alpha-Receptor Activity -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Platelet-Derived Growth Factor Beta-Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Stem Cell Factor Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Transforming Growth Factor Beta Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Transforming Growth Factor Beta Receptor Activity, Type I -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Neurotrophin Receptor Activity -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Osmosensor Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Death Receptor Activity -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, APP Metabolism
GO Term: Netrin Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Netrin Receptor Activity Involved In Chemorepulsion -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Scavenger Receptor Activity -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Kdel Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Signal Recognition Particle Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Signal Sequence Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Nuclear Export Signal Receptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Peroxisome Matrix Targeting Signal-1 Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Peroxisome Matrix Targeting Signal-2 Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Laminin Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Map-Kinase Scaffold Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Protein Kinase C Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Guanyl-Nucleotide Exchange Factor Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Immune Response
GO Term: Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Rab Gdp-Dissociation Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Rho Gdp-Dissociation Inhibitor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gtpase Inhibitor Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Gtpase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Synapse
GO Term: Signaling Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Fibroblast Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Autophagy, Epigenetic
GO Term: Type 1 Fibroblast Growth Factor Receptor Binding -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Frizzled Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Type 2 Fibroblast Growth Factor Receptor Binding -> Biodomain: Signaling, Growth Factor, Receptor Binding, Cell Surface Receptor, Developmental Processes
GO Term: Notch Binding -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, Immune Response
GO Term: Patched Binding -> Biodomain: Signaling Receptor Binding, Cell Signaling, Protein Binding, Developmental Processes, Lipid Metabolism
GO Term: Type Ii Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Vasculature
GO Term: Receptor Tyrosine Kinase-Like Orphan Receptor Binding -> Biodomain: Signal Transduction, Receptor Signaling, Protein Binding, Cell Adhesion, Developmental Biology
GO Term: Smoothened Binding -> Biodomain: GPCR Signaling, Hedgehog Signaling, Signal Transduction, Cell Communication, Protein Binding
GO Term: Toll Binding -> Biodomain: Immune Response, Receptor, Protein Binding, Apoptosis, Autophagy
GO Term: Death Receptor Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Scavenger Receptor Binding -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Ciliary Neurotrophic Factor Receptor Binding -> Biodomain: Synapse, Myelination, Immune Response, Proteostasis, Autophagy
GO Term: Erythropoietin Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Granulocyte Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Growth Hormone Receptor Binding -> Biodomain: Immune Response, Hormone Activity, Receptor Signaling, Cellular Response, Metabolism
GO Term: Type I Interferon Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Type Ii Interferon Receptor Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Interleukin-2 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Cell Cycle
GO Term: Interleukin-3 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Growth Factor Activity, Cell Proliferation, Hematopoiesis
GO Term: Interleukin-4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Interleukin-5 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Interleukin-6 Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Signaling, Inflammation, Cell Surface Receptor
GO Term: Interleukin-7 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Interleukin-9 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Interleukin-10 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Interleukin-11 Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-12 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Interleukin-13 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Autophagy, Apoptosis
GO Term: Leukemia Inhibitory Factor Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Cell Signaling, Protein Binding, Apoptosis
GO Term: Oncostatin-M Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Prolactin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Autophagy, Apoptosis
GO Term: Interleukin-1 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Interleukin-1, Type I Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Interleukin-1, Type Ii Receptor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-1 Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-8 Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Structural Stabilization, Proteostasis
GO Term: Epidermal Growth Factor Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Macrophage Colony-Stimulating Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Insulin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Insulin-Like Growth Factor Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse
GO Term: Transforming Growth Factor Beta Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Nerve Growth Factor Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Tumor Necrosis Factor Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Neurotrophin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Neurotrophin P75 Receptor Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Structural Stabilization, Immune Response
GO Term: Neurotrophin Trka Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Neurotrophin Trkb Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Neurotrophin Trkc Receptor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Binding -> Biodomain: Growth Factor Signaling, Receptor Binding, Cellular Signaling, Developmental Processes, Cell Adhesion and Motility
GO Term: Vascular Endothelial Growth Factor Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Stem Cell Factor Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Cd40 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Cd27 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Erbb-2 Class Receptor Binding -> Biodomain: Signaling, Cell Differentiation, Cell Proliferation, Tissue Development, Tissue Repair
GO Term: Integrin Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Hormone Activity -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Cell Cycle, Epigenetic
GO Term: Gonadotropin Hormone-Releasing Hormone Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, Vasculature
GO Term: Neuropeptide Hormone Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Neurohypophyseal Hormone Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Endolysosome
GO Term: Structural Molecule Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Structural Constituent Of Cytoskeleton -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Extracellular Matrix Structural Constituent -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Eye Lens -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Monoatomic Ion Channel Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Intracellularly Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Synapse
GO Term: Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Inositol 1,4,5-Trisphosphate-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
