Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Membrane Transport, Nitrogen Metabolism, Cellular Metabolism
GO Term: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Epigenetic
GO Term: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Sulfur Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfur Amino Acid Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sulfate Assimilation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: L-Histidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Histone Deacetylase Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Rna Polymerase I Transcription Regulator Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Saga Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Transcription Factor Tfiiib Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Transcription Factor Tfiiic Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Golgi Cis Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, APP Metabolism, Autophagy
GO Term: Golgi Trans Cisterna -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, APP Metabolism
GO Term: Golgi Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Exocyst -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Microfilament Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Snare Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Rrna Modification -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Protein Phosphatase Type 2A Complex -> Biodomain: Signal Transduction, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Protein Phosphatase Type 1 Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Mapk Cascade -> Biodomain: Signal Transduction, Cell Communication, Stress Response, Gene Expression Regulation, Cell Cycle
GO Term: Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Immune Response, Apoptosis, Autophagy
GO Term: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Rdna Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Autophagy, Apoptosis
GO Term: Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Epigenetic
GO Term: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Nuclear Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Astral Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Pericentriolar Material -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Allantoin Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Allantoin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Peroxisome Targeting Sequence Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Polysaccharide Biosynthetic Process -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Polysaccharide Catabolic Process -> Biodomain: Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Nuclear Division -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Lipid Metabolism
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Epigenetic, Proteostasis, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Spermine Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Endopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Apoptosis
GO Term: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Autophagy, Proteostasis
GO Term: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Storage Vacuole -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Lytic Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Telomerase Catalytic Core Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Deneddylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Rna Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Transcription Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Tho Complex -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, RNA Metabolism, Enzymatic Activity, Protein Complex Assembly, Gene Expression
GO Term: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, RNA Metabolism, Molecular Enzymology, Gene Expression Regulation, Post-Transcriptional Regulation
GO Term: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, RNA Metabolism, Nuclear Processes, Molecular Recognition, Gene Expression
GO Term: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Four-Way Junction Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Y-Form Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Heteroduplex Dna Loop Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Bubble Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Phagophore Assembly Site -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ekc/Keops Complex -> Biodomain: RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Hir Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Autophagosome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Pexophagy -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Dna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Metabolic Signaling, Epigenetic, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Transcription Factor Tfiih Core Complex -> Biodomain: DNA Repair, Epigenetic, Transcription, Genome Integrity, RNA Spliceosome
GO Term: Mis12/Mind Type Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, DNA Repair
GO Term: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Epigenetic
GO Term: Rrna 2'-O-Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: Structural Stabilization, RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis
GO Term: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle, Proteostasis, Structural Stabilization
