Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Retina Development In Camera-Type Eye -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Epigenetic
GO Term: Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Immune Response, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Acrosome Reaction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Heart Contraction -> Biodomain: Muscle System, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Cardiac Muscle Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, APP Metabolism, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Protein Glycosylation -> Biodomain: Proteostasis, Glycosylation, Lipid Metabolism, Endolysosome, APP Metabolism
GO Term: Neurofilament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Neurofilament Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Angiogenesis Involved In Wound Healing -> Biodomain: Vasculature, Wound Healing, Tissue Regeneration, Angiogenesis, Cell Growth and Proliferation
GO Term: Mammary Gland Involution -> Biodomain: Apoptosis, Autophagy, Proteostasis, Structural Stabilization, Immune Response
GO Term: Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Autophagy, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Apoptotic Process Involved In Mammary Gland Involution -> Biodomain: Apoptosis, Autophagy, Endolysosome, Proteostasis, Cell Cycle
GO Term: Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Post-Embryonic Retina Morphogenesis In Camera-Type Eye -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Spemann Organizer Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Spemann Organizer Formation At The Anterior End Of The Primitive Streak -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Uterus Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Endolysosome
GO Term: Oviduct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Cervix Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Vagina Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Vasculature
GO Term: Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Wnt Signaling Pathway, Planar Cell Polarity Pathway -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Epigenetic
GO Term: Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Micturition -> Biodomain: Neural, Excretion, Homeostasis, Muscle Function, Renal System
GO Term: Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Cell Cycle
GO Term: Regulation Of Resting Membrane Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Excitatory Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Inhibitory Synapse -> Biodomain: Synapse, Neuronal Signaling, Neurotransmitter Signaling, Structural Stabilization, Neural Circuits
GO Term: Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Ion Homeostasis, Vasculature, Myelination
GO Term: Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Eye Blink Reflex -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Smooth Muscle Contraction Involved In Micturition -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Synaptic Transmission Involved In Micturition -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Circadian Temperature Homeostasis -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Relaxation Of Vascular Associated Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Auditory Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cytoskeleton Organization, Cell Morphogenesis
GO Term: Molecular Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Kinocilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Neurotransmitter Release, Proteostasis, Inhibitory Neurotransmission, Synaptic Plasticity
GO Term: Positive Regulation Of Synaptic Transmission, Glycinergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cytoskeletal Rearrangement Involved In Phagocytosis, Engulfment -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Phagocytosis, Engulfment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Generation Of Ovulation Cycle Rhythm -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Inner Ear Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Auditory Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Vestibular Receptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Inner Ear Receptor Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Vestibular Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Inner Ear Receptor Cell Stereocilium Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Growth Hormone Secretion -> Biodomain: Hormonal Signaling, Neurotransmitter Release, Signaling Pathways, Cell Growth and Proliferation, Endocrine System
GO Term: Positive Regulation Of Growth Hormone Secretion -> Biodomain: Synapse, Vasculature, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Growth Hormone Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Somatotropin Secreting Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Prolactin Secreting Cell Differentiation -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Corticotropin Hormone Secreting Cell Differentiation -> Biodomain: Endocrine, Cell Differentiation, Developmental Processes, Stress Response, Cell Signaling
GO Term: Thyroid-Stimulating Hormone-Secreting Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Somatotropin Secreting Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Epigenetic
GO Term: Prepulse Inhibition -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Maternal Process Involved In Female Pregnancy -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Embryonic Process Involved In Female Pregnancy -> Biodomain: Embryonic, Developmental, Reproductive, Cell Differentiation, Cell Division
GO Term: Maternal Process Involved In Parturition -> Biodomain: Reproductive Process, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Regulation Of Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Cell Cycle, Proteostasis
GO Term: Microtubule-Based Peroxisome Localization -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Platelet Dense Granule Organization -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Urinary Bladder Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Phospholipase C-Activating Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Subpallium Neuron Fate Commitment -> Biodomain: Neurodevelopment, Synapse, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Regulation Of Timing Of Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Timing Of Subpallium Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Olfactory Pit Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Adenosine Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Oxidative Stress
GO Term: Ciliary Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Stereocilium Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Limb Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Limb Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Brain-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Angiotensin Metabolic Process -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Exocyst Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Male Mating Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Structural Stabilization, Immune Response
GO Term: Female Mating Behavior -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Apelin Receptor Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Apelin Receptor Signaling Pathway -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Cell Pole -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Cloacal Septation -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Endolysosome
GO Term: Clathrin-Sculpted Acetylcholine Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Clathrin-Sculpted Glutamate Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cytoplasmic Vesicle Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Positive Regulation Of Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Endocardium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Primitive Hemopoiesis -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Definitive Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Vasculature, Epigenetic, Metal Binding and Homeostasis
GO Term: Hemangioblast Cell Differentiation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Autophagy
GO Term: Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Epigenetic
GO Term: Camera-Type Eye Photoreceptor Cell Differentiation -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Camera-Type Eye Photoreceptor Cell Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Vasculature
GO Term: Retinal Rod Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Lipase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Lipoprotein Lipase Activator Activity -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Mesenchymal To Epithelial Transition -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, DNA Repair
GO Term: Delamination -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Neuroblast Delamination -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Lens Induction In Camera-Type Eye -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Proteostasis
GO Term: Regulation Of Mitotic Spindle Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cell Growth Involved In Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cell Proliferation Involved In Contact Inhibition -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Detection Of Cell Density -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Epigenetic
GO Term: Anatomical Structure Homeostasis -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Regulation Of Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Glial Cell Proliferation -> Biodomain: Cell Cycle, Myelination, Immune Response, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Glial Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Synapse
GO Term: Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Epigenetic, RNA Spliceosome
GO Term: Regulation Of Feeding Behavior -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Transcription Initiation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Immune Response
GO Term: Negative Regulation Of N-Terminal Protein Palmitoylation -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome
GO Term: Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Respiratory Burst -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Respiratory Burst -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Embryonic Skeletal Joint Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Ovulation -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Ovulation -> Biodomain: Apoptosis, Autophagy, Synapse, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Oocyte Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Oocyte Development -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Cilium-Dependent Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism, Autophagy
GO Term: Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Transdifferentiation -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Autophagy, RNA Spliceosome
GO Term: Long-Term Synaptic Potentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Long-Term Synaptic Depression -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cilium Movement Involved In Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cilium Beat Frequency Involved In Ciliary Motility -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Cytoskeletal Organization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Cytokine Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Phosphatidylinositol Dephosphorylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Cell Diameter -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Membrane Repolarization -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Vasculature
