Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Jak Pathway Signal Transduction Adaptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Zinc Ion Binding -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Secondary Active Sulfate Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Calcium, Potassium:Sodium Antiporter Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Gamma-Tubulin Small Complex -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Protein Methyltransferase Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Regulation Of G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Cohesin Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Sulfonylurea Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Tau Homeostasis, Proteostasis
GO Term: Inward Rectifying Potassium Channel -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Endolysosome
GO Term: Cell Population Proliferation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Cell Population Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Cell Population Proliferation -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Tau Homeostasis, DNA Repair
GO Term: Insulin Receptor Signaling Pathway -> Biodomain: APP Metabolism, Tau Homeostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Complex -> Biodomain: Tau Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Lipid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: F-Actin Capping Protein Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Acetylcholine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Calcium- And Calmodulin-Responsive Adenylate Cyclase Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Spermidine Biosynthetic Process -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism
GO Term: 3'-5'-Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Single-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Intracellular Mrna Localization -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Tau Homeostasis
GO Term: Isoprenoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Apoptosis, Cell Cycle
GO Term: Caspase Complex -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Integrin Complex -> Biodomain: Immune Response, Synapse, Vasculature, Structural Stabilization, Proteostasis
GO Term: Associative Learning -> Biodomain: Synapse, Cognition, Nervous System, Neurodegeneration, Tau Homeostasis
GO Term: Structural Constituent Of Muscle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Voltage-Gated Monoatomic Anion Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Synapse, Autophagy
GO Term: Double-Stranded Dna Exodeoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Single-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Double-Stranded Dna 3'-5' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: 7S Rna Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Tau Homeostasis
GO Term: Protein Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Protein Transmembrane Transporter Activity -> Biodomain: Proteostasis, APP Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Methyl-Cpg Binding -> Biodomain: Epigenetic,DNA Repair,APP Metabolism,Tau Homeostasis,Immune Response
GO Term: Ionotropic Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Protein Tyrosine/Threonine Phosphatase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Low Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Apoptosis, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Endosome To Lysosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Histone Mrna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Gamma-Butyrobetaine Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Determination Of Adult Lifespan -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Adult Feeding Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Adult Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Glial Cell Migration -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Myelination
GO Term: Map Kinase Kinase Kinase Kinase Activity -> Biodomain: Apoptosis, Tau Homeostasis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Katanin Complex -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Kinase Activity -> Biodomain: Epigenetic, Proteostasis, Tau Homeostasis, Synapse, Immune Response
GO Term: Germ Cell Migration -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Epigenetic, Cell Cycle
GO Term: Olfactory Learning -> Biodomain: Synapse, Cognition, Immune Response, Proteostasis, Endolysosome
GO Term: Asymmetric Cell Division -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Regulation Of Cell Shape -> Biodomain: Tau Homeostasis, Structural Stabilization, Apoptosis, Synapse, Proteostasis
GO Term: Regulation Of Cell Size -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Proteostasis, Autophagy
GO Term: Axon Ensheathment -> Biodomain: Myelination, Structural Stabilization, Synapse, Immune Response, Lipid Metabolism
GO Term: Sialyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Synapse, Immune Response, Endolysosome
GO Term: O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Acetylgalactosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Myelination
GO Term: Galactosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Thioredoxin Peroxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Rna Splicing -> Biodomain: RNA Spliceosome, APP Metabolism, Tau Homeostasis, Proteostasis, Epigenetic
GO Term: Mechanosensitive Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Structural Stabilization
GO Term: Ikappab Kinase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Ikappab Kinase Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cholesterol Monooxygenase (Side-Chain-Cleaving) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: Steroid 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Coumarin 7-Hydroxylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Testosterone 16-Alpha-Hydroxylase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Arachidonate Monooxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Vasculature, Apoptosis
GO Term: Arachidonate Epoxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Steroid Hydroxylase Activity -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Oxysterol 7-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Sterol 12-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis
GO Term: Sterol 14-Demethylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Retinoic Acid 4-Hydroxylase Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: 25-Hydroxycholecalciferol-24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Endolysosome
GO Term: Arachidonate 14,15-Epoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Arachidonate 11,12-Epoxygenase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Autophagy, DNA Repair, Structural Stabilization
GO Term: 3'-5' Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis, Apoptosis
GO Term: 5'-3' Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 4-Hydroxybenzoate Polyprenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 8-Oxo-7,8-Dihydroguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Protein-N-Terminal Asparagine Amidohydrolase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Endolysosome
GO Term: Rna Lariat Debranching Enzyme Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat Phosphatase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, Oxidative Stress, DNA Repair
GO Term: Beta-Glucosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycoprotein 6-Alpha-L-Fucosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: 2-Methoxy-6-Polyprenyl-1,4-Benzoquinol Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Kinase C Inhibitor Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Oxidative Stress, Proteostasis
GO Term: Calcium-Dependent Protein Kinase Inhibitor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Ribonuclease Inhibitor Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, RNA Spliceosome
GO Term: Phosphatidylethanolamine Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: Selenium Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Vitamin E Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Jun Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Tau Homeostasis
GO Term: Thyrotropin-Releasing Hormone Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Inositol-1,4,5-Trisphosphate 3-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: 3'(2'),5'-Bisphosphate Nucleotidase Activity -> Biodomain: Proteostasis, Endolysosome, Epigenetic, DNA Repair, Autophagy
GO Term: 3-Hydroxyisobutyrate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphofructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cdp-Diacylglycerol-Glycerol-3-Phosphate 3-Phosphatidyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: D-Aspartate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Gdp-Mannose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, APP Metabolism
GO Term: N-Acetylglucosamine-6-Phosphate Deacetylase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine-6-Sulfatase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Alanine-Glyoxylate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Alpha-1,3-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Glycosylation, Endolysosome, Autophagy, APP Metabolism
GO Term: Alpha-N-Acetylgalactosaminidase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Carnitine O-Octanoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chondroitin 6-Sulfotransferase Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Dtdp-Glucose 4,6-Dehydratase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
