Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Alkaloid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Unidimensional Cell Growth -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Autophagy
GO Term: Mitochondrial Endopeptidase Clp Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Determination Of Bilateral Symmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Embryonic Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Photoreceptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Blue Light Photoreceptor Activity -> Biodomain: Oxidative Stress, Proteostasis, Epigenetic, Synapse, Autophagy
GO Term: Animal Organ Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Catabolic Process -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Catabolic Process -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: External Side Of Plasma Membrane -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Cytoplasmic Side Of Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Endolysosome
GO Term: Auditory Receptor Cell Fate Commitment -> Biodomain: Cell Differentiation, Developmental Process, Sensory Organ Development, Neurogenesis, Cell Cycle
GO Term: Epidermal Cell Differentiation -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Epigenetic, Cell Cycle
GO Term: Hormone Transport -> Biodomain: Vasculature, Lipid Metabolism, Synapse, Proteostasis, Immune Response
GO Term: Fatty Acid Elongase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fatty Acid Elongase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Basal Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Endolysosome, Proteostasis
GO Term: Calcium-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Cell Tip Growth -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Proximal/Distal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Anterior/Posterior Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Polarity Specification Of Anterior/Posterior Axis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Dorsal/Ventral Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Synapse
GO Term: Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Dorsal/Ventral Pattern Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Synapse, Autophagy
GO Term: Proximal/Distal Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Radial Pattern Formation -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Epigenetic
GO Term: Epidermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Immune Response, Proteostasis
GO Term: Regulation Of Signal Transduction -> Biodomain: Signal Transduction, Cell Communication, Cell Signaling, Molecular Signaling, Regulatory Processes
GO Term: Positive Regulation Of Signal Transduction -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Signal Transduction -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Cell Cycle
GO Term: Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Cell Surface -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Cell-Cell Recognition -> Biodomain: Synapse, Structural Stabilization, Immune Response, Cell Cycle, Vasculature
GO Term: Intracellular Water Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Oocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Glial Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Cardioblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cytoplasmic Side Of Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Amylopectin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Wax Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Meiotic Chromosome Condensation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Response To Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Response To Carbon Dioxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Apoptosis, Epigenetic
GO Term: Response To Metal Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Response To Iron(Ii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Response To Aluminum Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Nickel Cation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Response To Mycotoxin -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Zygote Asymmetric Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Polarity Specification Of Proximal/Distal Axis -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Specification Of Animal Organ Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: L-Arginine Catabolic Process To Proline Via Ornithine -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phenylacetate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: L-Proline Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Pyrimidine Ribonucleotide Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Farnesyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Proton Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Chlorate -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Specification Of Animal Organ Position -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Response To Cesium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Body Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Synapse
GO Term: Embryonic Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Fmn Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cellular Defense Response -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Vitamin E Biosynthetic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Ozone -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Response To Ionizing Radiation -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Response To Lithium Ion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Establishment Or Maintenance Of Transmembrane Electrochemical Gradient -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Endomembrane System Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Nadh Dehydrogenase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Scf Complex Assembly -> Biodomain: Proteostasis, Ubiquitin Proteasome, Protein Degradation, Cell Cycle, Signal Transduction
GO Term: Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Selenium Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Response To Silver Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Detoxification Of Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Response To Lead Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Autophagy
GO Term: Acireductone Dioxygenase (Ni2+-Requiring) Activity -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Acireductone Dioxygenase [Iron(Ii)-Requiring] Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Detoxification Of Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-5-Phosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Membrane Invagination -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Response To Gamma Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Lithium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Autophagy, Tau Homeostasis
GO Term: Lithium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Negative Regulation Of Anion Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Chromocenter -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Perinucleolar Chromocenter -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Autophagy
GO Term: Double-Stranded Methylated Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Cop9 Signalosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Apoptosis, Proteostasis
GO Term: Polyprenyldihydroxybenzoate Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methyl-Cpnpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, APP Metabolism
GO Term: Fatty Acid Omega-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carotenoid Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: 9,10 (9', 10')-Carotenoid-Cleaving Dioxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Response To Alkaline Ph -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Response To Acidic Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Centriole-Centriole Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Exit From Mitosis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Myelination, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Heart Rate -> Biodomain: Vasculature, Synapse, Mitochondrial Metabolism, Epigenetic, Myelination
GO Term: Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Apoptosis
GO Term: Nerve Growth Factor Receptor Activity -> Biodomain: Apoptosis, Synapse, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Gene Expression -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Regulation Of Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Regulation Of Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Myelination, Proteostasis
GO Term: Regulation Of Gastrulation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Epidermal Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Histone H3 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H4 Acetyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Cytoplasmic Stress Granule -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy, Immune Response
GO Term: Intercellular Transport -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Proteasomal Ubiquitin-Independent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Phosphoinositides, Signal Transduction, Cell Signaling, Cellular Processes
GO Term: Positive Regulation Of Phospholipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Telomerase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Structural Stabilization
GO Term: Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Synapse, Endolysosome
GO Term: Positive Regulation Of Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Transposable Element Silencing -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Apoptosis
GO Term: Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, RNA Spliceosome, Lipid Metabolism
GO Term: Positive Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, RNA Spliceosome, Cell Cycle
GO Term: Negative Regulation Of Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, RNA Spliceosome, Cell Cycle
GO Term: Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Glycosylation, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
