Running with TEMP=0.9, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Sphingomyelin Phosphodiesterase Activator Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Beta-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Hnk-1 Sulfotransferase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Telomere Capping -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Inclusion Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Aggresome -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Microautophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Autophagosome Membrane Docking -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Cellular Stress Response, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Macroautophagy -> Biodomain: Autophagy, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Regulation Of Autophagosome Size -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Channel Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Metal Binding and Homeostasis
GO Term: N-Sulfoglucosamine Sulfohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Attachment Of Gpi Anchor To Protein -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: N-Glycan Processing To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Selenocysteine Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Selenocysteine Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Selenocysteine Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Protein N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Cell Cycle, Apoptosis
GO Term: Glycoprotein-N-Acetylgalactosamine 3-Beta-Galactosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Core O-Glycan Biosynthetic Process -> Biodomain: Glycosylation, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Core 2 O-Glycan Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Vasculature, APP Metabolism
GO Term: Core 3 O-Glycan Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome
GO Term: Prefoldin Complex -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Protein-Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Apoptosis, Cell Cycle
GO Term: Protein-Lysine N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Eukaryotic Translation Initiation Factor 4F Complex -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Epigenetic
GO Term: Eukaryotic 43S Preinitiation Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Alanyl Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Small Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Glycerone-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Acyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fatty Acyl-[Acp] Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Trna (Uridine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: 1-Phosphatidylinositol-3-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: 1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Structural Stabilization, Autophagy
GO Term: 1-Phosphatidylinositol-5-Phosphate 4-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phosphorylation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Synapse, Apoptosis
GO Term: Inositol Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Membrane Fusion -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Female Meiosis Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Neuron Remodeling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Basolateral Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Apical Plasma Membrane -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Apicolateral Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lateral Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle, Vasculature
GO Term: Morphogenesis Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Establishment Or Maintenance Of Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Lipid Metabolism
GO Term: Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Calcium-Dependent Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Synapse, Proteostasis
GO Term: Catenin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Meiotic Chromosome Movement Towards Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Activin Receptor Activity, Type I -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Activin Receptor Activity, Type Ii -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Nuclear Matrix -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Palmitoyl-Coa Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pristanoyl-Coa Oxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Dimethylargininase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Vasculature, Oxidative Stress, Immune Response
GO Term: 15-Hydroxyprostaglandin Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Vasculature, Oxidative Stress
GO Term: Coa-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Acylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Serine O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: O-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Synapse, Endolysosome
GO Term: Mrna (2'-O-Methyladenosine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Trna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna (Adenine) Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna (Cytidine) Methyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Trna-Uridine Aminocarboxypropyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Rrna (Adenine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Rrna (Guanine) Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Trna-Queuosine(34) Beta-Mannosyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Proteostasis, Apoptosis
GO Term: Risc Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Immune Response, Autophagy
GO Term: Somatic Cell Dna Recombination -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Epigenetic, Autophagy
GO Term: Somatic Diversification Of Immunoglobulins -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Somatic Hypermutation Of Immunoglobulin Genes -> Biodomain: Immune Response, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Somatic Recombination Of Immunoglobulin Gene Segments -> Biodomain: Immune Response, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Myosin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Myosin Ii Complex -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Apoptosis
GO Term: Unconventional Myosin Complex -> Biodomain: Structural Stabilization, Endolysosome, Synapse, Autophagy, Proteostasis
GO Term: Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, DNA Repair, Proteostasis
GO Term: Proton-Transporting Two-Sector Atpase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Tau Homeostasis, Apoptosis
GO Term: Regulation Of Embryonic Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Synapse
GO Term: Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Cytosolic Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Peptide Hormone Processing -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Farnesol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: G Protein-Coupled Neurotensin Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: C-C Chemokine Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Cell Adhesion, Inflammation, Vasculature
GO Term: C-X-C Chemokine Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: C-X3-C Chemokine Receptor Activity -> Biodomain: Immune Response, Signaling, Inflammation, Cell Surface, Cell Adhesion and Migration
GO Term: Substance P Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Substance K Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Orexin Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Protein-Hormone Receptor Activity -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Vasculature
GO Term: Prostacyclin Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Immune Response, Oxidative Stress
GO Term: Pheromone Receptor Activity -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Peptidase Activator Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Peptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Mitochondrial Fatty Acid Beta-Oxidation Multienzyme Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Core-Binding Factor Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Swi/Snf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Interleukin-13 Receptor Activity -> Biodomain: Immune Response, Endolysosome, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Interleukin-12 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Gastric Inhibitory Peptide Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Growth Hormone-Releasing Hormone Receptor Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Apoptosis
GO Term: Pituitary Adenylate Cyclase Activating Polypeptide Activity -> Biodomain: Vasculature, Synapse, Immune Response, Mitochondrial Metabolism, Cell Cycle
GO Term: Latrotoxin Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Sarcoplasm -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Metallochaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Copper Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Superoxide Dismutase Copper Chaperone Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Protein Kinase 5 Complex -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Intein-Mediated Protein Splicing -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Protein Autoprocessing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Base Conversion Or Substitution Editing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy
GO Term: Cytidine To Uridine Editing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Mrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Peroxisome Membrane Biogenesis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Protein Import Into Peroxisome Matrix -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Peroxisome Fission -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Docking -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Translocation -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Protein Import Into Peroxisome Matrix, Receptor Recycling -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Protein Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Protein Deubiquitination -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Cell Cycle, Apoptosis
GO Term: Nurd Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rsc-Type Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Nurf Complex -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Acf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Ii, Holoenzyme -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Mediator Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Cdc73/Paf1 Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair
GO Term: Glycine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Glutamate Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Amino Acid Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Endolysosome, Autophagy
GO Term: Protein Arginylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Flotillin Complex -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Rac Protein Signal Transduction -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Ccaat-Binding Factor Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis
GO Term: Glutaminyl-Peptide Cyclotransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Nuclear Body -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Pml Body -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Immune Response
