Running with TEMP=0.9, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Transforming Growth Factor Beta Ligand-Receptor Complex -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Carbon Monoxide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Vasculature
GO Term: Nitric Oxide Binding -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin I Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A-Complexin Ii Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Telomerase Rna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: Rrna (Pseudouridine) Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Rrna (Guanosine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Rrna (Uridine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Rrna (Uridine-N3-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Rrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-1A Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Neuron Cellular Homeostasis -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Fibrinogen Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Collagen V Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Structure, Cell Adhesion, Proteostasis
GO Term: Thrombospondin Receptor Activity -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Mrna Splicing, Via Endonucleolytic Cleavage And Ligation -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Endolysosome
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: 'De Novo' Actin Filament Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Fructose Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Extracellular Exosome -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: Rna Polymerase Binding -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, DNA Repair
GO Term: Proline-Rich Region Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Epigenetic, Cell Cycle
GO Term: Cytochrome Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Vacuolar Proton-Transporting V-Type Atpase Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Tear Secretion -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Vasculature, Structural Stabilization
GO Term: Titin Z Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Clathrin-Sculpted Monoamine Transport Vesicle Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: Ubiquitin-Dependent Endocytosis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, APP Metabolism
GO Term: Chromo Shadow Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Chloride-Activated Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Endolysosome, Vasculature
GO Term: Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Negative Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Glucagon Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructose-6-Phosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Delta-Catenin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Apoptosis, Proteostasis
GO Term: Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Chemokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-6-Mediated Signaling Pathway -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Signaling, Immune System Processes
GO Term: Interleukin-27-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Ciliary Neurotrophic Factor Receptor Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Ciliary Neurotrophic Factor Binding -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Myelination
GO Term: Ciliary Neurotrophic Factor-Mediated Signaling Pathway -> Biodomain: Synapse, Myelination, Apoptosis, Immune Response, Structural Stabilization
GO Term: Transforming Growth Factor Beta Receptor Activity, Type Iii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Vasculature
GO Term: Mitochondrial Translational Initiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress, Cell Cycle
GO Term: Mitochondrial Translational Elongation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Translational Termination -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Trna Aminoacylation For Mitochondrial Protein Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Sumo-Specific Endopeptidase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Cell Cycle
GO Term: Response To Uv-A -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Mitochondrial Alanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Mitochondrial Asparaginyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Glycyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Seryl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Mitochondrial Threonyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Tight Junction -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Anchoring Junction -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Negative Regulation Of Adiponectin Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Adiponectin Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Biomineral Tissue Development -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Biomineral Tissue Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Tooth Mineralization -> Biodomain: Structural Stabilization, Mineral Homeostasis, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Tooth Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Enamel Mineralization -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Positive Regulation Of Enamel Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Epigenetic
GO Term: Drm Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: D-Serine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Serine Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Large Ribosomal Subunit Rrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Small Ribosomal Subunit Rrna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Dna Polymerase Binding -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Apoptosis, Immune Response
GO Term: Mitochondrial Tryptophanyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Tyrosyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Growth Hormone Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Shelterin Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Kynurenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Synapse
GO Term: Chromosome Organization Involved In Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Chromosome Organization
GO Term: Synaptonemal Complex Organization -> Biodomain: Synapse, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Synaptonemal Complex Disassembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Growth Hormone Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Meiotic Attachment Of Telomere To Nuclear Envelope -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Protein Localization To Chromosome, Telomeric Region -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, APP Metabolism
GO Term: Regulation Of Establishment Of Protein Localization To Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: Proteostasis, DNA Repair, Structural Stabilization, Epigenetic, APP Metabolism
GO Term: Protein Trimerization -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Protein Homotrimerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, APP Metabolism
GO Term: Protein Heterotrimerization -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Rpd3L-Expanded Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Protein Poly-Adp-Ribosylation -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Protein Auto-Adp-Ribosylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Sulfide Oxidation, Using Sulfide:Quinone Oxidoreductase -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Sulfide:Quinone Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Lymphocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Activation-Induced Cell Death Of T Cells -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Activated T Cell Autonomous Cell Death -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Thymocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Natural Killer Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Pristanate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Actin-Mediated Cell Contraction -> Biodomain: Structural Stabilization, Actin Cytoskeleton, Cell Motility, Cytoskeleton Organization, Cell Adhesion
GO Term: Somatostatin Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Oxidative Stress
GO Term: Mucus Secretion -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Regulation Of Mucus Secretion -> Biodomain: Proteostasis, Immune Response, Vasculature, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Mucus Secretion -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Mucus Secretion -> Biodomain: Proteostasis, Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: 5'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Peptidyl-Serine Dephosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Cornification -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylinositol-4-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Res Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Vitamin B6 Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pyridoxal Binding -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Pigment Cell Development -> Biodomain: Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Axonemal Dynein Complex Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Ferritin Receptor Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Ferritin Complex -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: N-Acylphosphatidylethanolamine-Specific Phospholipase D Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: N-Acylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: N-Acylphosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Renal Absorption -> Biodomain: Proteostasis, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Renal Sodium Ion Absorption -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Renal Water Absorption -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Sarcoplasmic Reticulum Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Phosphatidic Acid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cellular Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: Response To Cgmp -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: Lens Fiber Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Lens Fiber Cell Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Lens Fiber Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Atr-Atrip Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: G1 To G0 Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: G1 To G0 Transition Involved In Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, DNA Repair, Proteostasis
GO Term: Positive Regulation Of G0 To G1 Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Inward Rectifier Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Thyroid Hormone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Vasculature, Proteostasis
GO Term: Thyroid Hormone Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature, Structural Stabilization
GO Term: Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Aromatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Aspartate Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Flap-Structured Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: 3'-Flap-Structured Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Structural Stabilization
GO Term: Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Proteostasis
