Running with TEMP=0.1, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Bisphosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Branched-Chain-Amino-Acid Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Carbamoyl-Phosphate Synthase (Ammonia) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Carbamoyl-Phosphate Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Carbonate Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Carbonyl Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Carnitine O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carnitine O-Palmitoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Cerebroside-Sulfatase Activity -> Biodomain: Myelination, Lipid Metabolism, Endolysosome, Structural Stabilization, Immune Response
GO Term: Choline O-Acetyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis
GO Term: Choline Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Cholinesterase Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Choline-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Coproporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Creatine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism
GO Term: 2',3'-Cyclic-Nucleotide 3'-Phosphodiesterase Activity -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Tau Homeostasis
GO Term: 3',5'-Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Calmodulin-Activated Dual Specificity 3',5'-Cyclic-Gmp, 3',5'-Cyclic-Amp Phosphodiesterase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Immune Response, Endolysosome
GO Term: 3',5'-Cgmp-Stimulated Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: 3',5'-Cgmp-Inhibited Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Cystathionine Beta-Synthase Activity -> Biodomain: Homocysteine Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Cytidine Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Immune Response
GO Term: Cytochrome-B5 Reductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Dcmp Deaminase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: 4-Alpha-Glucanotransferase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Amylo-Alpha-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Deoxyadenosine Kinase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Deoxycytidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Deoxyguanosine Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Deoxyribose-Phosphate Aldolase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Dephospho-Coa Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Diacylglycerol Cholinephosphotransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Autophagy, Endolysosome
GO Term: Atp-Dependent Diacylglycerol Kinase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Diacylglycerol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Diamine N-Acetyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis, Lipid Metabolism
GO Term: Dihydrofolate Reductase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Dihydrolipoyl Dehydrogenase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dihydrolipoyllysine-Residue Succinyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dihydroorotase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Dihydroorotate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: 6,7-Dihydropteridine Reductase Activity -> Biodomain: Oxidative Stress, Neurotransmission, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Dihydropyrimidinase Activity -> Biodomain: Proteostasis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Dimethylallyltranstransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Diphosphomevalonate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Delta(3)-Delta(2)-Enoyl-Coa Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Dopachrome Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Dolichol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dolichyl-Phosphate-Mannose-Protein Mannosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Lipid Metabolism
GO Term: Dutp Diphosphatase Activity -> Biodomain: DNA Repair, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Electron-Transferring-Flavoprotein Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Endopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Atp-Dependent Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Tau Homeostasis
GO Term: Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Tau Homeostasis, APP Metabolism
GO Term: Metallocarboxypeptidase Activity -> Biodomain: Metal Binding and Homeostasis, APP Metabolism, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Serine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Aspartic-Type Endopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cysteine-Type Endopeptidase Activity -> Biodomain: Apoptosis, Tau Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, APP Metabolism, Metal Binding and Homeostasis
GO Term: Metalloendopeptidase Activity -> Biodomain: APP Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glutamyl Aminopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Initiator Methionyl Aminopeptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Serine-Type Endopeptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Immune Response
GO Term: Threonine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Enoyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Epoxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Estradiol 17-Beta-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism
GO Term: Estrone Sulfotransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ethanolamine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Ethanolamine-Phosphate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Ethanolaminephosphotransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Exo-Alpha-Sialidase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Immune Response, Synapse
GO Term: Exopolyphosphatase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Geranylgeranyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Fatty Acid Synthase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: [Acyl-Carrier-Protein] S-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: [Acyl-Carrier-Protein] S-Malonyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, APP Metabolism, Oxidative Stress, Autophagy
GO Term: 3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Fatty-Acyl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ferroxidase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Ferredoxin-Nadp+ Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Ferrochelatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Tetrahydrofolylpolyglutamate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Proteostasis
GO Term: Formate-Tetrahydrofolate Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Fructose-2,6-Bisphosphate 2-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fructose-Bisphosphate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fumarate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Fumarylacetoacetase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Galactokinase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Myelination
GO Term: Galactosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Myelination
GO Term: (2E,6E)-Farnesyl Diphosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Glucan 1,4-Alpha-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gluconolactonase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glucosamine-6-Phosphate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glucosamine 6-Phosphate N-Acetyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism
GO Term: Glucose-6-Phosphate Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Glucose-6-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucose-6-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glucosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Glutamate 5-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Glutamate-5-Semialdehyde Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Glutamate Decarboxylase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Glutamate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Glutamate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Glutamate Dehydrogenase (Nadp+) Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Glutamine Synthetase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Tau Homeostasis
GO Term: Glutamate-Cysteine Ligase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Glutaminase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glutamine-Fructose-6-Phosphate Transaminase (Isomerizing) Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Glutaryl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutathione-Disulfide Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glutathione Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Glutathione Transferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glyceraldehyde-3-Phosphate Dehydrogenase (Nad+) (Phosphorylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Glycerol-3-Phosphate O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Glycerol-3-Phosphate Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Glycerol Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glycerone Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Glycine Hydroxymethyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Alpha-1,4-Glucan Glucosyltransferase (Udp-Glucose Donor) Activity -> Biodomain: Tau Homeostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Glycine Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Lipid Metabolism, Apoptosis
GO Term: Gpi Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Gdp-Man:Man(3)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, APP Metabolism
GO Term: Gdp-Man:Man(1)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Glycylpeptide N-Tetradecanoyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Synapse, Endolysosome
GO Term: Glycoprotein-Fucosylgalactoside Alpha-N-Acetylgalactosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Synapse, Endolysosome
GO Term: Fucosylgalactoside 3-Alpha-Galactosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Gdp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Guanylate Cyclase Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Gmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Helicase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Epigenetic, Apoptosis
GO Term: Heme Oxygenase (Decyclizing) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Heparan Sulfate 2-Sulfotransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Endolysosome
