Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Mhc Class Ii Protein Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Urm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Isg15 Transferase Activity -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Vocal Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Phosphate Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Protein Import Into Nucleus -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Protein Import Into Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Protein Import Into Nucleus -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Homoiothermy -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Vasodilation -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Protein Kinase C Deactivation -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, APP Metabolism
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Circadian, Sleep/Wake, Neural Activity, Synapse, Epigenetic
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Phosphorylation -> Biodomain: Cell Cycle, Apoptosis, Synapse, Proteostasis, Immune Response
GO Term: Positive Regulation Of Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Heparan Sulfate N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Synapse, Vasculature
GO Term: Cuticle Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Keratan Sulfate Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Keratan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Gdp-L-Fucose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 'De Novo' Gdp-L-Fucose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis, Endolysosome
GO Term: Gdp-L-Fucose Salvage -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: L-Fucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Gdp-4-Dehydro-D-Rhamnose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Thiamine Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Vitamin D Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Vitamin E Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Menaquinone Catabolic Process -> Biodomain: Vitamin K Metabolism, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Vitamin D Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Vitamin D Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Vitamin K Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Vitamin K Metabolic Process -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Phylloquinone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Phylloquinone Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Autophagy, Oxidative Stress
GO Term: Vitamin K Catabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Paraspeckles -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Sarcolemma -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Membrane Potential -> Biodomain: Ion Channels and Transporters, Synapse, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Sphingosine-1-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Histone Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Biogenic Amine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Thyroid Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Thyroid Hormone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nuclear Inclusion Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Extrinsic Component Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Cristae Formation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Taurine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Carnitine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Epinephrine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Norepinephrine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Dopamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Epinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Dopamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Norepinephrine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Catecholamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Catecholamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy, Proteostasis
GO Term: Choline Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Serotonin Biosynthetic Process -> Biodomain: Neurotransmitter Systems, Monoamine Transport, Metabolism, Small Molecule Transport, Synapse
GO Term: Serotonin Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Indole Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Melanin Biosynthetic Process -> Biodomain: Endolysosome, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Pigment Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Hormone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Progesterone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Vasculature
GO Term: L-Arginine Biosynthetic Process Via Ornithine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Photoreceptor Cell Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Eye Photoreceptor Cell Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Melanosome -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Inner Ear Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Outer Ear Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Immune Response, Epigenetic
GO Term: Middle Ear Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Endolysosome
GO Term: Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Immune Response
GO Term: Odontogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Regulation Of Eye Photoreceptor Cell Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Odontogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Positive Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Odontogenesis Of Dentin-Containing Tooth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Mechanoreceptor Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Inner Ear Auditory Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Gamma-Delta T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Detection Of Bacterial Lipoprotein -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Detection Of Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Detection Of Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Triacyl Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Diacyl Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Aspartic Endopeptidase Activity, Intramembrane Cleaving -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Tyrosine Phosphorylation Of Stat Protein -> Biodomain: Immune Response, Proteostasis, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Benzene-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Hyperosmotic Salinity Response -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hemoglobin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Response To Hydrogen Peroxide -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Neuron Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Myelination -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Superoxide Anion Generation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Autophagy
GO Term: Mcm Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Pteridine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Pteridine-Containing Compound Biosynthetic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Hormone Binding -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Nls-Dependent Protein Nuclear Import Complex -> Biodomain: Nuclear Transport, Nucleocytoplasmic Transport, Nuclear Pore, Protein Complex Assembly, Intracellular Trafficking
GO Term: Rna Nuclear Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Insulin-Like Growth Factor Ternary Complex -> Biodomain: Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy, Immune Response
GO Term: Insulin-Like Growth Factor Binary Complex -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Immunoglobulin Complex, Circulating -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Retinol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Epigenetic, Cell Cycle
GO Term: Retinoic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Apoptosis, Autophagy
GO Term: Retinal Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Lipid Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphoric Ester Hydrolase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Specific Granule -> Biodomain: Immune Response, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Vasculature
GO Term: Azurophil Granule -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Chromaffin Granule -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Chromaffin Granule Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Structural Stabilization
GO Term: Germinal Vesicle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Peptide Deformylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Protein Synthesis and Modification, Autophagy, Metal Binding and Homeostasis
GO Term: Glycogen Granule -> Biodomain: Carbohydrate Metabolism, Energy Metabolism, Organelle, Metabolic Process, Cellular Structure
GO Term: Zymogen Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Zymogen Granule Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Homeostatic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Glucose Homeostasis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Starvation -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Behavioral Response To Starvation -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Epigenetic, Oxidative Stress
GO Term: Fear Response -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Lamellar Body -> Biodomain: Endolysosome, Lipid Metabolism, Structural Stabilization, Proteostasis, Immune Response
GO Term: Riboflavin Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Peptide Antigen Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: T Cell Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Cd4 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Cell Cycle
GO Term: Cd8 Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Photoreceptor Outer Segment Membrane -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Atpase-Coupled Ion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Atpase-Coupled Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Chylomicron -> Biodomain: Lipid Metabolism, APP Metabolism, Vasculature, Endolysosome, Proteostasis
GO Term: Mating Plug Formation -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Mast Cell Granule -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Cellular Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cholesterol Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Myelination, Structural Stabilization
GO Term: Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Hair Cycle -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Hair Cycle -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Hair Cycle -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Actomyosin -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Synapse
GO Term: Mitochondrial Nucleoid -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis
GO Term: Mhc Class Ii Protein Binding, Via Antigen Binding Groove -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Positive Regulation Of Cell Fate Specification -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Regulation Of Endodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Negative Regulation Of Endodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Ectodermal Cell Fate Specification -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Auditory Receptor Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Synapse, Structural Stabilization
GO Term: Auditory Receptor Cell Fate Determination -> Biodomain: Epigenetic, Cell Cycle, Synapse, Structural Stabilization, Autophagy
GO Term: Regulation Of Inner Ear Auditory Receptor Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Retinal Cone Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Muscle Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Muscle Cell Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Muscle Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, Vasculature
GO Term: Ovulation Cycle -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Vasculature, Lipid Metabolism
GO Term: Follicle-Stimulating Hormone Signaling Pathway -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Luteinizing Hormone Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Uterine Wall Breakdown -> Biodomain: Apoptosis, Vasculature, Endolysosome, Autophagy, Immune Response
GO Term: Succinate-Coa Ligase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
