Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Histone H3K9 Deacetylase Activity, Hydrolytic Mechanism -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Chromosome Passenger Complex -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Epigenetic
GO Term: Guanine/Thymine Mispair Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Single Base Insertion Or Deletion Binding -> Biodomain: DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Dinucleotide Insertion Or Deletion Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Single Guanine Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Single Thymine Insertion Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Autophagy
GO Term: 4-Aminobutyrate Transaminase Complex -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Succinate-Semialdehyde Dehydrogenase Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Activation Of Protein Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Activation Of Protein Kinase B Activity -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Cell Division Site -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cleavage Furrow -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Septin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Autophagy
GO Term: Septin Collar -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Dinucleotide Repeat Insertion Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Ubiquitin-Like Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Sumo Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Sumo Polymer Binding -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Cell Cycle
GO Term: Septin Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Acrosin Binding -> Biodomain: Reproductive Processes, Enzyme Activities, Protein Interactions, Cellular Structures, Developmental Processes
GO Term: Transposition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Retrotransposition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Apoptosis
GO Term: Telomere Organization -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Telomere Assembly -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Telomere Formation Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Telomere Maintenance -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Telomere Maintenance Via Telomerase -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Telomere Maintenance Via Semi-Conservative Replication -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Glucosaminyl-Phosphatidylinositol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Riboflavin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Riboflavin Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Synaptic Transmission, Cholinergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Synaptic Transmission, Dopaminergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Neurotransmitter Release, Neurotransmission, Signaling, Neuronal Signaling
GO Term: Negative Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Actin Filament Bundle Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Activation Of Store-Operated Calcium Channel Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Adenosine Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Negative Regulation Of Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Endolysosome, Immune Response
GO Term: Positive Regulation Of Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Secretory Granule Localization -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Vasculature
GO Term: Methylation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Purine Nucleotide Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Endolysosome
GO Term: Gmp Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, RNA Spliceosome
GO Term: Imp Salvage -> Biodomain: Autophagy, Cell Cycle, DNA Repair, Immune Response, Epigenetic
GO Term: Phosphatidylinositol-3-Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein Polymerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Gonadotropin Secretion -> Biodomain: Synapse, Vasculature, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Luteinizing Hormone Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Gonadotropin Secretion -> Biodomain: Synapse, Epigenetic, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Asymmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Ampa Glutamate Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Central Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Peripheral Nervous System Myelin Maintenance -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse
GO Term: Myelin Assembly -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism
GO Term: Central Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Cell Cycle
GO Term: Peripheral Nervous System Myelin Formation -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Dna-Templated Dna Replication Initiation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Ribonuclease H2 Complex -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Mismatch Repair Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Mutsalpha Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Mutsbeta Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Icosanoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Icosanoid Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Prostaglandin Secretion -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Prostaglandin Secretion -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Autophagy, Oxidative Stress
GO Term: Angiogenin-Pri Complex -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, RNA Spliceosome, Immune Response
GO Term: Molybdopterin Cofactor Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Alanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Serine Transport -> Biodomain: Lipid Metabolism, Cell Cycle, DNA Repair, Myelination, Proteostasis
GO Term: Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Positive Regulation Of Chondrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Aldosterone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Aldosterone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Regulation Of Hormone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Follicle-Stimulating Hormone -> Biodomain: Reproductive System, Endocrine System, Cell Signaling, Cell Growth and Proliferation, Hormone Metabolism
GO Term: Response To Estradiol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Oxidized Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Oxidized Purine Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Oxidized Pyrimidine Dna Binding -> Biodomain: Oxidative Stress, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Pyridoxal Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Intracellular Oxygen Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Sterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Endolysosome, Myelination
GO Term: Negative Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Myelination, Vasculature
GO Term: Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Vasculature, Myelination, APP Metabolism, Endolysosome
GO Term: Negative Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cholesterol Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Myelination
GO Term: Positive Regulation Of Intracellular Lipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intracellular Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Intracellular Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Positive Regulation Of Intracellular Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mutlalpha Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Photoreceptor Connecting Cilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dna Geometric Change -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mhc Class I Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mhc Class Ii Receptor Activity -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Inhibitory Mhc Class I Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Activating Mhc Class I Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Mhc Class Ib Protein Complex -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Hect Domain Binding -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Protein Degradation, Autophagy, Epigenetic
GO Term: Melanosome Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Establishment Of Melanosome Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Melanosome Transport -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Mutlalpha Complex Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Mutlbeta Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Mutsalpha Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Mutsbeta Complex Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Transporter Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Positive Regulation Of Ion Transmembrane Transporter Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lysosome Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Stereocilium -> Biodomain: Structural Stabilization, Sensory, Cellular Structures, Cytoskeleton, Mechanobiology
GO Term: Stereocilium Bundle -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Purine-Rich Negative Regulatory Element Binding -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Stereocilium Tip -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Gbd Domain Binding -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: Beta-N-Acetylgalactosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Actin Filament Bundle -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Cell Cycle
GO Term: Filopodium Tip -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Cell Cycle
GO Term: Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Cuticular Plate -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Melanosome Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: 2-Alkenal Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Activin Responsive Factor Complex -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Protein Modification By Small Protein Conjugation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Urmylation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Dna Hairpin Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Cbm Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Histone Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K4 Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K9 Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Slow Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Negative Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Oxidative Stress
